Iteration_1 # 2 agents, 2 dimensions
rep = 1, x_best = [-0.00318282 -0.00409318], f_best = 1.224952170552502
rep = 2, x_best = [-0.05686038 -0.11368168], f_best = 9.353726582980931
rep = 3, x_best = [ 0.02959017 -0.08755809], f_best = 7.4827595990649325
rep = 4, x_best = [-0.02804547 -0.05697499], f_best = 5.4043768551225355
rep = 5, x_best = [ 0.02783667 -0.00090698], f_best = 2.6198299414392743
rep = 6, x_best = [-0.0012581   0.03075762], f_best = 3.0247506877328476
rep = 7, x_best = [-0.02940526  0.28502232], f_best = 15.195601948519993
rep = 8, x_best = [-0.05625972  0.05626633], f_best = 6.5610299546791815
rep = 9, x_best = [ 1. -1.], f_best = 19.981762360688908
rep = 10, x_best = [0.00582445 0.01233425], f_best = 3.2918383565810885
rep = 11, x_best = [ 1.12745151e-04 -4.79837922e-05], f_best = 0.012619661313841846
rep = 12, x_best = [-0.08559665  0.05844359], f_best = 8.081421141949068
rep = 13, x_best = [-0.00142538  0.00093371], f_best = 0.2611197481418337
rep = 14, x_best = [-0.00521676  0.03516431], f_best = 4.640722475348301
rep = 15, x_best = [-1. -1.], f_best = 19.981762360688908
rep = 16, x_best = [-0.05707835 -0.00025435], f_best = 4.924724161590067
rep = 17, x_best = [ 0.02839253 -0.02731474], f_best = 3.5956213878161556
rep = 18, x_best = [-0.00515747  0.06016396], f_best = 6.0540329922336475
rep = 19, x_best = [ 0.02972954 -0.0237184 ], f_best = 4.085053626722772
rep = 20, x_best = [0.02782122 0.00037992], f_best = 2.596259257445517
rep = 21, x_best = [-0.05667228  0.22786828], f_best = 13.767752780567314
rep = 22, x_best = [ 0.05725568 -0.99984435], f_best = 19.86054611058559
rep = 23, x_best = [0.22969012 0.02754385], f_best = 13.71030074711209
rep = 24, x_best = [-0.0004198   0.00266113], f_best = 0.48726088819979907
rep = 25, x_best = [0.16814256 0.14358273], f_best = 13.639836912304403
rep = 26, x_best = [-0.02623883  0.02515764], f_best = 3.783359974042508
rep = 27, x_best = [-0.00942664 -0.00048473], f_best = 2.3388492150672207
rep = 28, x_best = [0.02820819 0.02743122], f_best = 3.585742009097917
rep = 29, x_best = [-0.08494319 -0.05663136], f_best = 7.961711738719785
rep = 30, x_best = [-0.00099315 -0.00204253], f_best = 0.3856508615360852
Iteration_2
rep = 1, x_best = [-0.14260375  0.19966905], f_best = 14.068477178854137
rep = 2, x_best = [ 0.02944097 -0.08479203], f_best = 7.226387237675491
rep = 3, x_best = [-0.05579522  0.03342148], f_best = 6.169325768079382
rep = 4, x_best = [0.00415429 0.027876  ], f_best = 3.0977696943127278
rep = 5, x_best = [-1.  1.], f_best = 19.981762360688908
rep = 6, x_best = [ 0.17416186 -0.17346427], f_best = 14.423650363409005
rep = 7, x_best = [0.0270296  0.02771513], f_best = 3.587155201569967
rep = 8, x_best = [-0.00544105  0.22782964], f_best = 14.278528270484722
rep = 9, x_best = [-0.11188446  0.28633286], f_best = 15.823568252868295
rep = 10, x_best = [ 0.02680654 -0.0227741 ], f_best = 4.076236524104761
rep = 11, x_best = [-0.28567893  0.99999942], f_best = 19.883793390724442
rep = 12, x_best = [-0.00506059  0.02439903], f_best = 3.348686400845981
rep = 13, x_best = [-1.13482918e-01  3.59270497e-05], f_best = 8.61644406078951
rep = 14, x_best = [ 0.36846864 -0.0784129 ], f_best = 18.156553161494234
rep = 15, x_best = [-0.45718505 -0.11451884], f_best = 18.061492852487447
rep = 16, x_best = [-0.11277936  0.12206747], f_best = 12.436577044153255
rep = 17, x_best = [-0.08512809  0.08512674], f_best = 9.001096373134564
rep = 18, x_best = [ 0.02979606 -0.00120262], f_best = 2.839092663875096
rep = 19, x_best = [-0.1730313  -0.14297321], f_best = 13.498170535535884
rep = 20, x_best = [-0.2613821   0.08327369], f_best = 15.503676414866982
rep = 21, x_best = [-0.02788503 -0.02666378], f_best = 3.6069245601861475
