Iteration_1 # 2 agents, 2 dimensions
rep = 1, x_best = [ 0.01012803 -0.40154324  0.01048905], f_best = 5.932858304849283
rep = 2, x_best = [-0.01807461  0.19142528 -0.2049455 ], f_best = 4.26802917854819
rep = 3, x_best = [-0.00806965  0.02225797  0.17987526], f_best = 4.8617995416667945
rep = 4, x_best = [-0.00577587 -0.18511536  0.1605374 ], f_best = 7.911744980583659
rep = 5, x_best = [-0.17674901 -0.0220935  -0.1941761 ], f_best = 5.978849617034669
rep = 6, x_best = [5.19158265e-03 3.71976924e-05 1.91321353e-01], f_best = 1.1817173499742992
rep = 7, x_best = [-0.01321977  0.19511703  0.38421999], f_best = 5.974972023218022
rep = 8, x_best = [-0.37717337 -0.00144941  0.18802538], f_best = 5.862260230679581
rep = 9, x_best = [-0.18654226  0.17692678 -0.18291603], f_best = 5.488726254732985
rep = 10, x_best = [ 0.01353962 -0.01904752 -0.00727127], f_best = 3.0410815422235444
rep = 11, x_best = [-0.00375513 -0.01615689 -0.39320753], f_best = 5.488290274724456
rep = 12, x_best = [ 0.02648232 -0.01380739 -0.01002998], f_best = 4.92716387239021
rep = 13, x_best = [ 0.19997998 -0.01885456  0.17812974], f_best = 5.275045805561625
rep = 14, x_best = [ 0.00948005  0.20905188 -0.20899527], f_best = 4.668681927796424
rep = 15, x_best = [-0.19778483 -0.18106562  0.20617707], f_best = 4.667502839522914
rep = 16, x_best = [ 0.2145549   0.18807189 -0.02090011], f_best = 6.447475857968406
rep = 17, x_best = [-0.19724542  0.17436782 -0.1972259 ], f_best = 5.060237329700918
rep = 18, x_best = [0.19614192 0.01547119 0.20932559], f_best = 4.379201121752878
rep = 19, x_best = [-0.18448972  0.02522881 -0.19876211], f_best = 5.722759564991932
rep = 20, x_best = [-0.01040998 -0.21832096  0.01095851], f_best = 5.042522274126981
rep = 21, x_best = [-0.00652425 -0.18627807  0.17809615], f_best = 3.8759854247128906
rep = 22, x_best = [ 0.01444569 -0.39084438 -0.01574116], f_best = 6.332219466357756
rep = 23, x_best = [7.00878187e-06 1.74022487e-01 5.20011286e-03], f_best = 3.1893431380393373
rep = 24, x_best = [-0.21484548  0.20229584  0.19784218], f_best = 5.503417133628801
rep = 25, x_best = [-0.01453417 -0.38475578 -0.01622425], f_best = 6.475594423727422
rep = 26, x_best = [-0.21153463 -0.18839367 -0.00764187], f_best = 3.98338473315863
rep = 27, x_best = [-0.19218311  0.18002817 -0.19571025], f_best = 4.058015290031662
rep = 28, x_best = [-0.01167574 -0.18318084  0.17175276], f_best = 5.842897293441734
rep = 29, x_best = [-0.21851025 -0.19002211 -0.01313665], f_best = 5.884708732205162
rep = 30, x_best = [-0.01448081  0.19338908 -0.18283456], f_best = 3.7418317603459172
Iteration_2
rep = 1, x_best = [ 0.20440525 -0.01301142 -0.18604018], f_best = 3.736707183169134
