Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.48125909907424, 'angle': 15.77721851800687, 'sigma': 1.8368859321039053, 'factor': 0.5416665816353674, 'self_conf': 2.54, 'swarm_conf': 2.54, 'version': 'constriction'}
Mejor rendimiento encontrado:
45.519218963000725

Stderr:
[I 2024-11-22 18:10:16,781] A new study created in memory with name: no-name-05b1f0ae-d453-4f92-9f1e-c100ad7c7b10
[I 2024-11-22 18:10:19,917] Trial 0 finished with value: 84.12035050262192 and parameters: {'radius': 0.5859362660679432, 'angle': 7.614228194018405, 'sigma': 0.3626033571480502, 'factor': 0.6998730083778913, 'self_conf': 2.54, 'swarm_conf': 2.54, 'version': 'inertial'}. Best is trial 0 with value: 84.12035050262192.
[I 2024-11-22 18:10:21,045] Trial 1 finished with value: 68.29759324006349 and parameters: {'radius': 0.4287374782183762, 'angle': 19.815835444909595, 'sigma': 0.8254134791439128, 'factor': 0.4668367529160592, 'self_conf': 2.54, 'swarm_conf': 2.54, 'version': 'constriction'}. Best is trial 1 with value: 68.29759324006349.
[I 2024-11-22 18:10:22,123] Trial 2 finished with value: 112.3133578339959 and parameters: {'radius': 0.2089883498297671, 'angle': 24.907769707767134, 'sigma': 2.829755336649556, 'factor': 0.16965960496291635, 'self_conf': 2.54, 'swarm_conf': 2.54, 'version': 'constriction'}. Best is trial 1 with value: 68.29759324006349.
[I 2024-11-22 18:10:23,216] Trial 3 finished with value: 136.3891704215462 and parameters: {'radius': 0.7925979149733398, 'angle': 20.75597756713014, 'sigma': 1.4917249815611482, 'factor': 0.8535120556720154, 'self_conf': 2.54, 'swarm_conf': 2.54, 'version': 'inertial'}. Best is trial 1 with value: 68.29759324006349.
[I 2024-11-22 18:10:24,368] Trial 4 finished with value: 59.67647273583118 and parameters: {'radius': 0.5607725620552519, 'angle': 8.836333301458357, 'sigma': 0.4363993363479933, 'factor': 0.6347316428845152, 'self_conf': 2.54, 'swarm_conf': 2.54, 'version': 'constriction'}. Best is trial 4 with value: 59.67647273583118.
[I 2024-11-22 18:10:25,459] Trial 5 finished with value: 151.137706715227 and parameters: {'radius': 0.31090665086851654, 'angle': 11.282282619150887, 'sigma': 2.720778229944952, 'factor': 0.33128028718828495, 'self_conf': 2.54, 'swarm_conf': 2.54, 'version': 'inertial'}. Best is trial 4 with value: 59.67647273583118.
[I 2024-11-22 18:10:26,556] Trial 6 finished with value: 151.8270103492733 and parameters: {'radius': 0.3396712030874536, 'angle': 14.9946069257286, 'sigma': 2.7350113714342577, 'factor': 0.36705284812721867, 'self_conf': 2.54, 'swarm_conf': 2.54, 'version': 'inertial'}. Best is trial 4 with value: 59.67647273583118.
[I 2024-11-22 18:10:27,644] Trial 7 finished with value: 144.2754134421636 and parameters: {'radius': 0.7013419692755392, 'angle': 22.39619227122029, 'sigma': 2.041284686281244, 'factor': 0.8547684579041992, 'self_conf': 2.54, 'swarm_conf': 2.54, 'version': 'inertial'}. Best is trial 4 with value: 59.67647273583118.
[I 2024-11-22 18:10:28,756] Trial 8 finished with value: 59.199758885857136 and parameters: {'radius': 0.42746280812117865, 'angle': 11.535779454586233, 'sigma': 0.48805507782999336, 'factor': 0.3918157583237587, 'self_conf': 2.54, 'swarm_conf': 2.54, 'version': 'inertial'}. Best is trial 8 with value: 59.199758885857136.
[I 2024-11-22 18:10:29,841] Trial 9 finished with value: 87.60732660006937 and parameters: {'radius': 0.7347890116926648, 'angle': 7.2778516946138785, 'sigma': 0.22197817063826622, 'factor': 0.11479734483449562, 'self_conf': 2.54, 'swarm_conf': 2.54, 'version': 'inertial'}. Best is trial 8 with value: 59.199758885857136.
[I 2024-11-22 18:10:30,973] Trial 10 finished with value: 69.26525997424034 and parameters: {'radius': 0.1272850722508897, 'angle': 0.6681823570420509, 'sigma': 1.171830492122719, 'factor': 0.29318247017291954, 'self_conf': 2.54, 'swarm_conf': 2.54, 'version': 'constriction'}. Best is trial 8 with value: 59.199758885857136.
[I 2024-11-22 18:10:32,106] Trial 11 finished with value: 51.56815783784606 and parameters: {'radius': 0.548309735875047, 'angle': 13.388215254427394, 'sigma': 0.7292807517690113, 'factor': 0.6094445331697202, 'self_conf': 2.54, 'swarm_conf': 2.54, 'version': 'constriction'}. Best is trial 11 with value: 51.56815783784606.
[I 2024-11-22 18:10:33,244] Trial 12 finished with value: 47.28388208161455 and parameters: {'radius': 0.48899630193405763, 'angle': 15.11905030091975, 'sigma': 0.8755978027842649, 'factor': 0.568453841638786, 'self_conf': 2.54, 'swarm_conf': 2.54, 'version': 'constriction'}. Best is trial 12 with value: 47.28388208161455.
[I 2024-11-22 18:10:34,385] Trial 13 finished with value: 59.43699225825351 and parameters: {'radius': 0.6125004198841272, 'angle': 16.167595517297617, 'sigma': 1.0284803945417265, 'factor': 0.606117280896578, 'self_conf': 2.54, 'swarm_conf': 2.54, 'version': 'constriction'}. Best is trial 12 with value: 47.28388208161455.
[I 2024-11-22 18:10:35,514] Trial 14 finished with value: 45.519218963000725 and parameters: {'radius': 0.48125909907424, 'angle': 15.77721851800687, 'sigma': 1.8368859321039053, 'factor': 0.5416665816353674, 'self_conf': 2.54, 'swarm_conf': 2.54, 'version': 'constriction'}. Best is trial 14 with value: 45.519218963000725.
