Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.28180536892289515, 'self_conf': 0.13997387179411896, 'swarm_conf': 0.852703493312263, 'version': 'inertial', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
49.107881268673545

Stderr:
[I 2024-11-22 18:27:07,513] A new study created in memory with name: no-name-e083b49d-7e89-408e-89b9-52ef6d5ddbbf
[I 2024-11-22 18:27:10,342] Trial 0 finished with value: 116.10015653063768 and parameters: {'factor': 0.7398935484596114, 'self_conf': 0.1880568200854756, 'swarm_conf': 0.3511309202269887, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 0 with value: 116.10015653063768.
[I 2024-11-22 18:27:11,116] Trial 1 finished with value: 97.28473736568088 and parameters: {'factor': 0.4116346946019047, 'self_conf': 0.23839177295941574, 'swarm_conf': 0.810469233507725, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 1 with value: 97.28473736568088.
[I 2024-11-22 18:27:11,873] Trial 2 finished with value: 115.37431685945457 and parameters: {'factor': 0.3154090820662372, 'self_conf': 0.28532579511645967, 'swarm_conf': 2.338493152409285, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 1 with value: 97.28473736568088.
[I 2024-11-22 18:27:12,643] Trial 3 finished with value: 120.5017528619718 and parameters: {'factor': 0.8566840128536515, 'self_conf': 0.2918415244435166, 'swarm_conf': 1.3144009939414254, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 97.28473736568088.
[I 2024-11-22 18:27:13,473] Trial 4 finished with value: 121.72605300007869 and parameters: {'factor': 0.14256214266777975, 'self_conf': 0.22728574492969936, 'swarm_conf': 2.498903146409468, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 1 with value: 97.28473736568088.
[I 2024-11-22 18:27:14,245] Trial 5 finished with value: 88.96845667237417 and parameters: {'factor': 0.11107995163326452, 'self_conf': 0.2698275205816595, 'swarm_conf': 0.6880636729575548, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 5 with value: 88.96845667237417.
[I 2024-11-22 18:27:15,121] Trial 6 finished with value: 124.46392051813072 and parameters: {'factor': 0.24922274457822502, 'self_conf': 0.16581010398964507, 'swarm_conf': 1.9694001507950942, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 5 with value: 88.96845667237417.
[I 2024-11-22 18:27:15,917] Trial 7 finished with value: 116.66471388306061 and parameters: {'factor': 0.6492504993922114, 'self_conf': 0.25640224783578214, 'swarm_conf': 1.5447933480382725, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 5 with value: 88.96845667237417.
[I 2024-11-22 18:27:16,710] Trial 8 finished with value: 49.107881268673545 and parameters: {'factor': 0.28180536892289515, 'self_conf': 0.13997387179411896, 'swarm_conf': 0.852703493312263, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 8 with value: 49.107881268673545.
[I 2024-11-22 18:27:17,537] Trial 9 finished with value: 121.31381563195018 and parameters: {'factor': 0.825843993231985, 'self_conf': 0.11748077244242186, 'swarm_conf': 2.720447632604355, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 8 with value: 49.107881268673545.
[I 2024-11-22 18:27:18,321] Trial 10 finished with value: 122.7296528002837 and parameters: {'factor': 0.543981165847913, 'self_conf': 0.10195710957788488, 'swarm_conf': 1.0377436384619427, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 8 with value: 49.107881268673545.
[I 2024-11-22 18:27:19,136] Trial 11 finished with value: 99.36001339742411 and parameters: {'factor': 0.10077731409296008, 'self_conf': 0.15781453213052293, 'swarm_conf': 0.4171408541115872, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 8 with value: 49.107881268673545.
[I 2024-11-22 18:27:19,911] Trial 12 finished with value: 101.91872627301991 and parameters: {'factor': 0.2572412230995736, 'self_conf': 0.13761314688119053, 'swarm_conf': 0.7901583259381089, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 8 with value: 49.107881268673545.
[I 2024-11-22 18:27:20,689] Trial 13 finished with value: 97.9418080505522 and parameters: {'factor': 0.3920218525069886, 'self_conf': 0.2195408195584132, 'swarm_conf': 1.2118321351716068, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 8 with value: 49.107881268673545.
[I 2024-11-22 18:27:21,483] Trial 14 finished with value: 69.65644104207627 and parameters: {'factor': 0.18676414616871476, 'self_conf': 0.17168256633464227, 'swarm_conf': 1.869773478006977, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 8 with value: 49.107881268673545.
