Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.4559119122576877, 'self_conf': 2.885114996229021, 'swarm_conf': 0.6866532547798144, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7997321761150928, 'angle': 1.0102645723350037, 'sigma': 0.8531097767389534}
Mejor rendimiento encontrado:
21.145816418214867

Stderr:
[I 2024-11-24 23:05:14,882] A new study created in memory with name: no-name-56956645-22ea-4dcf-9df3-c4e0f8958b9f
[I 2024-11-24 23:05:17,892] Trial 0 finished with value: 39.51112743903644 and parameters: {'factor': 0.23939068662029295, 'self_conf': 2.6814261085100375, 'swarm_conf': 1.5387160838299545, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5433392212114609, 'angle': 5.609034975945857, 'sigma': 0.5861795137828867}. Best is trial 0 with value: 39.51112743903644.
[I 2024-11-24 23:05:18,919] Trial 1 finished with value: 35.55974544697482 and parameters: {'factor': 0.2629094304540595, 'self_conf': 2.3549799429254272, 'swarm_conf': 1.0063512577080458, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7195615482170266, 'angle': 2.9007237600649747, 'sigma': 0.7237069834779756}. Best is trial 1 with value: 35.55974544697482.
[I 2024-11-24 23:05:19,902] Trial 2 finished with value: 98.29279447544691 and parameters: {'factor': 0.690196826631357, 'self_conf': 1.7519032701465327, 'swarm_conf': 1.272106203685222, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.44949381004813416, 'angle': 23.612926171876552, 'sigma': 0.6173163327602774}. Best is trial 1 with value: 35.55974544697482.
[I 2024-11-24 23:05:20,876] Trial 3 finished with value: 79.7892807276641 and parameters: {'factor': 0.7479523464473021, 'self_conf': 2.2065154966565186, 'swarm_conf': 0.6635865248970931, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7596605048082018, 'angle': 11.127799398000251, 'sigma': 0.4190638953292388}. Best is trial 1 with value: 35.55974544697482.
[I 2024-11-24 23:05:21,844] Trial 4 finished with value: 28.858720689846432 and parameters: {'factor': 0.4054742454601379, 'self_conf': 1.6583620885533816, 'swarm_conf': 0.48452712170933804, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.6882763229465214, 'angle': 24.358984115118844, 'sigma': 0.1148590079208815}. Best is trial 4 with value: 28.858720689846432.
[I 2024-11-24 23:05:22,828] Trial 5 finished with value: 72.0120216608119 and parameters: {'factor': 0.16380058777530238, 'self_conf': 0.8396400168154122, 'swarm_conf': 1.8541722395319606, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6140459652931914, 'angle': 4.057941274779816, 'sigma': 0.08026248498032017}. Best is trial 4 with value: 28.858720689846432.
[I 2024-11-24 23:05:23,782] Trial 6 finished with value: 92.03326311130505 and parameters: {'factor': 0.755861113007005, 'self_conf': 0.831967292640305, 'swarm_conf': 2.6411384215488907, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.11503025219679781, 'angle': 18.738978314258944, 'sigma': 0.07943812651898391}. Best is trial 4 with value: 28.858720689846432.
[I 2024-11-24 23:05:24,744] Trial 7 finished with value: 127.85152819294765 and parameters: {'factor': 0.7117695435826008, 'self_conf': 1.507207831930716, 'swarm_conf': 2.1956138945185217, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6693627553424812, 'angle': 23.50766573714329, 'sigma': 0.7400549641098058}. Best is trial 4 with value: 28.858720689846432.
[I 2024-11-24 23:05:25,742] Trial 8 finished with value: 84.82285238396486 and parameters: {'factor': 0.6628637745817929, 'self_conf': 2.0668205900639776, 'swarm_conf': 2.043300320086166, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.2525704429262697, 'angle': 18.461234243253898, 'sigma': 0.15268280626090802}. Best is trial 4 with value: 28.858720689846432.
[I 2024-11-24 23:05:26,708] Trial 9 finished with value: 69.97369524976408 and parameters: {'factor': 0.2074437138008518, 'self_conf': 1.8163967638516543, 'swarm_conf': 0.21365805251847989, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6343945219550287, 'angle': 14.540872444715987, 'sigma': 0.5947289591612808}. Best is trial 4 with value: 28.858720689846432.
[I 2024-11-24 23:05:27,718] Trial 10 finished with value: 76.79139566019421 and parameters: {'factor': 0.42466432075018895, 'self_conf': 0.20598994242226776, 'swarm_conf': 0.1105356690301817, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.4236788965641922, 'angle': 9.737237024755249, 'sigma': 0.297599236130739}. Best is trial 4 with value: 28.858720689846432.
