Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.014364587766935777, 'self_conf': 2.54, 'swarm_conf': 0.6866532547798144, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6578318017710648, 'angle': 1.0102645723350037, 'sigma': 0.8531097767389534}
Mejor rendimiento encontrado:
21.703610620032507

Stderr:
[I 2024-11-24 23:09:41,186] A new study created in memory with name: no-name-96172967-0255-4d2c-aed4-75ff6d36210f
[I 2024-11-24 23:09:44,475] Trial 0 finished with value: 37.06215024467002 and parameters: {'factor': 0.7061025461131344, 'self_conf': 2.54, 'swarm_conf': 0.6866532547798144, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.2440290179489296, 'angle': 1.0102645723350037, 'sigma': 0.8531097767389534}. Best is trial 0 with value: 37.06215024467002.
[I 2024-11-24 23:09:45,493] Trial 1 finished with value: 24.597673284566046 and parameters: {'factor': 0.2590882334111296, 'self_conf': 2.54, 'swarm_conf': 0.6866532547798144, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.752088142520839, 'angle': 1.0102645723350037, 'sigma': 0.8531097767389534}. Best is trial 1 with value: 24.597673284566046.
[I 2024-11-24 23:09:46,502] Trial 2 finished with value: 39.73555897119762 and parameters: {'factor': 0.11451202399241264, 'self_conf': 2.54, 'swarm_conf': 0.6866532547798144, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.432290249973265, 'angle': 1.0102645723350037, 'sigma': 0.8531097767389534}. Best is trial 1 with value: 24.597673284566046.
[I 2024-11-24 23:09:47,521] Trial 3 finished with value: 46.51655713188437 and parameters: {'factor': 0.4763863875802173, 'self_conf': 2.54, 'swarm_conf': 0.6866532547798144, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.08920937434946305, 'angle': 1.0102645723350037, 'sigma': 0.8531097767389534}. Best is trial 1 with value: 24.597673284566046.
[I 2024-11-24 23:09:48,506] Trial 4 finished with value: 40.5163144732508 and parameters: {'factor': 0.8142785607966916, 'self_conf': 2.54, 'swarm_conf': 0.6866532547798144, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8071737870847749, 'angle': 1.0102645723350037, 'sigma': 0.8531097767389534}. Best is trial 1 with value: 24.597673284566046.
[I 2024-11-24 23:09:49,503] Trial 5 finished with value: 26.366509910367302 and parameters: {'factor': 0.6407002120551769, 'self_conf': 2.54, 'swarm_conf': 0.6866532547798144, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.5559902607999481, 'angle': 1.0102645723350037, 'sigma': 0.8531097767389534}. Best is trial 1 with value: 24.597673284566046.
[I 2024-11-24 23:09:50,481] Trial 6 finished with value: 43.03175506386948 and parameters: {'factor': 0.7008247697869052, 'self_conf': 2.54, 'swarm_conf': 0.6866532547798144, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.027485650868988642, 'angle': 1.0102645723350037, 'sigma': 0.8531097767389534}. Best is trial 1 with value: 24.597673284566046.
[I 2024-11-24 23:09:51,445] Trial 7 finished with value: 33.14414338858063 and parameters: {'factor': 0.7347703247421558, 'self_conf': 2.54, 'swarm_conf': 0.6866532547798144, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8686014854739716, 'angle': 1.0102645723350037, 'sigma': 0.8531097767389534}. Best is trial 1 with value: 24.597673284566046.
[I 2024-11-24 23:09:52,457] Trial 8 finished with value: 31.012821691677708 and parameters: {'factor': 0.27148202572446634, 'self_conf': 2.54, 'swarm_conf': 0.6866532547798144, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.48066111752216184, 'angle': 1.0102645723350037, 'sigma': 0.8531097767389534}. Best is trial 1 with value: 24.597673284566046.
[I 2024-11-24 23:09:53,459] Trial 9 finished with value: 37.47388478424047 and parameters: {'factor': 0.2911230577758975, 'self_conf': 2.54, 'swarm_conf': 0.6866532547798144, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.3116674038331697, 'angle': 1.0102645723350037, 'sigma': 0.8531097767389534}. Best is trial 1 with value: 24.597673284566046.
[I 2024-11-24 23:09:54,450] Trial 10 finished with value: 24.49057529675466 and parameters: {'factor': 0.13248216419083503, 'self_conf': 2.54, 'swarm_conf': 0.6866532547798144, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.683433704007487, 'angle': 1.0102645723350037, 'sigma': 0.8531097767389534}. Best is trial 10 with value: 24.49057529675466.
