Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.12029192812721312, 'self_conf': 1.4337393918338495, 'swarm_conf': 0.9178395336932267, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6983044504929179, 'angle': 0.33416059171790624, 'sigma': 0.07674938682730732}
Mejor rendimiento encontrado:
22.14765624491656

Stderr:
[I 2024-11-24 23:15:15,331] A new study created in memory with name: no-name-572ad050-15c6-49f4-941e-89a6a48dfe35
[I 2024-11-24 23:15:18,718] Trial 0 finished with value: 69.14861829195912 and parameters: {'factor': 0.47294528029055327, 'self_conf': 2.835733154789432, 'swarm_conf': 2.375331687198101, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.5049725204631772, 'angle': 13.583615487827663, 'sigma': 0.36128650077345903}. Best is trial 0 with value: 69.14861829195912.
[I 2024-11-24 23:15:19,763] Trial 1 finished with value: 74.10005799631611 and parameters: {'factor': 0.33953014223589745, 'self_conf': 0.05731411207707579, 'swarm_conf': 1.6558439866941579, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.20123352178344717, 'angle': 4.169285591621764, 'sigma': 0.6965092218491972}. Best is trial 0 with value: 69.14861829195912.
[I 2024-11-24 23:15:20,804] Trial 2 finished with value: 66.66205551515952 and parameters: {'factor': 0.7470563565892243, 'self_conf': 0.20582188918827193, 'swarm_conf': 0.20998485671184242, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.32335944447760356, 'angle': 17.52581989264335, 'sigma': 0.6046312482857606}. Best is trial 2 with value: 66.66205551515952.
[I 2024-11-24 23:15:21,863] Trial 3 finished with value: 115.19504059286855 and parameters: {'factor': 0.2642040686751466, 'self_conf': 0.30137914078255673, 'swarm_conf': 2.195108593669066, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8607944085041268, 'angle': 22.247285214763583, 'sigma': 0.39604470131345487}. Best is trial 2 with value: 66.66205551515952.
[I 2024-11-24 23:15:22,846] Trial 4 finished with value: 44.8106891929245 and parameters: {'factor': 0.22213885760028307, 'self_conf': 2.6662532727344663, 'swarm_conf': 0.10239567678884619, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8667433350526731, 'angle': 1.901518019217984, 'sigma': 0.16520202961384672}. Best is trial 4 with value: 44.8106891929245.
[I 2024-11-24 23:15:23,855] Trial 5 finished with value: 44.46643910202171 and parameters: {'factor': 0.3744714634680441, 'self_conf': 1.159595030294692, 'swarm_conf': 2.1941841934481765, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5539884005145742, 'angle': 6.562604896523929, 'sigma': 0.07735099585681401}. Best is trial 5 with value: 44.46643910202171.
[I 2024-11-24 23:15:24,922] Trial 6 finished with value: 65.68651219400533 and parameters: {'factor': 0.24751707037198392, 'self_conf': 2.600321749906553, 'swarm_conf': 0.277983474721098, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.23259529606098817, 'angle': 11.02635693182566, 'sigma': 0.012337962778882891}. Best is trial 5 with value: 44.46643910202171.
[I 2024-11-24 23:15:25,959] Trial 7 finished with value: 74.3741091473359 and parameters: {'factor': 0.6878399374232376, 'self_conf': 2.3459611544082732, 'swarm_conf': 1.590413458686785, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.19940003907841303, 'angle': 14.382781399282745, 'sigma': 0.33575189073748335}. Best is trial 5 with value: 44.46643910202171.
[I 2024-11-24 23:15:26,989] Trial 8 finished with value: 54.2252229580098 and parameters: {'factor': 0.5739103298911038, 'self_conf': 1.4577104322091932, 'swarm_conf': 0.3649315992108029, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.11300447457988483, 'angle': 24.038214587401836, 'sigma': 0.537300871304564}. Best is trial 5 with value: 44.46643910202171.
[I 2024-11-24 23:15:27,991] Trial 9 finished with value: 97.86082292519238 and parameters: {'factor': 0.6618671876844865, 'self_conf': 1.8577870606118843, 'swarm_conf': 2.090940972745794, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8577173103516591, 'angle': 7.567851600066324, 'sigma': 0.4766587668358955}. Best is trial 5 with value: 44.46643910202171.
[I 2024-11-24 23:15:28,989] Trial 10 finished with value: 87.93141402553222 and parameters: {'factor': 0.8481627214979626, 'self_conf': 0.9256234277383075, 'swarm_conf': 2.9307567152944554, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6302298689042046, 'angle': 7.028472957119915, 'sigma': 0.8704860891040005}. Best is trial 5 with value: 44.46643910202171.
[I 2024-11-24 23:15:30,024] Trial 11 finished with value: 22.14765624491656 and parameters: {'factor': 0.12029192812721312, 'self_conf': 1.4337393918338495, 'swarm_conf': 0.9178395336932267, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6983044504929179, 'angle': 0.33416059171790624, 'sigma': 0.07674938682730732}. Best is trial 11 with value: 22.14765624491656.
[I 2024-11-24 23:15:31,035] Trial 12 finished with value: 26.023827433797898 and parameters: {'factor': 0.12650202629917343, 'self_conf': 1.1478669570967424, 'swarm_conf': 0.9309223926337523, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6353586779655912, 'angle': 0.4876506680094792, 'sigma': 0.019366920760387867}. Best is trial 11 with value: 22.14765624491656.
[I 2024-11-24 23:15:32,057] Trial 13 finished with value: 22.316510811232117 and parameters: {'factor': 0.1015864225184401, 'self_conf': 1.9216131996352368, 'swarm_conf': 0.8635952176692896, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6983475621260278, 'angle': 0.7687700051088343, 'sigma': 0.18654039106400086}. Best is trial 11 with value: 22.14765624491656.
[I 2024-11-24 23:15:33,049] Trial 14 finished with value: 27.881143222443978 and parameters: {'factor': 0.12740489064542027, 'self_conf': 1.961496528860887, 'swarm_conf': 0.9786656385157376, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7295550708843344, 'angle': 2.9952877394432846, 'sigma': 0.23442013379783733}. Best is trial 11 with value: 22.14765624491656.
