Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'swarm_factor': 0.5983282920131456, 'self_confidence': 2.0352449286741456, 'swarm_confidence': 2.705004838456189, 'swarm_version': 'constriction', 'swarm_distribution': 'uniform', 'spiral_radius': 0.8751554141908461, 'spiral_angle': 19.063189464673663, 'spiral_sigma': 0.1635202272331174}
Mejor rendimiento encontrado:
42.32799805755889

Stderr:
[I 2024-11-24 23:22:43,109] A new study created in memory with name: no-name-c47ddd69-09ae-439c-a730-b60547d861cc
[I 2024-11-24 23:22:46,980] Trial 0 finished with value: 94.72037518907135 and parameters: {'swarm_factor': 0.6540043436955154, 'self_confidence': 2.210485946230751, 'swarm_confidence': 2.9372952516547484, 'swarm_version': 'constriction', 'swarm_distribution': 'levy', 'spiral_radius': 0.7273662872580714, 'spiral_angle': 21.927288516731895, 'spiral_sigma': 0.10288210457675968}. Best is trial 0 with value: 94.72037518907135.
[I 2024-11-24 23:22:48,117] Trial 1 finished with value: 129.65226817494198 and parameters: {'swarm_factor': 0.5227741365893539, 'self_confidence': 2.14267759400977, 'swarm_confidence': 2.0345634251856612, 'swarm_version': 'inertial', 'swarm_distribution': 'levy', 'spiral_radius': 0.7605665420944225, 'spiral_angle': 15.707113262202693, 'spiral_sigma': 0.0826875602440183}. Best is trial 0 with value: 94.72037518907135.
[I 2024-11-24 23:22:49,316] Trial 2 finished with value: 52.48376768369 and parameters: {'swarm_factor': 0.8782182934460855, 'self_confidence': 2.3210579287256747, 'swarm_confidence': 2.6005438819463937, 'swarm_version': 'constriction', 'swarm_distribution': 'uniform', 'spiral_radius': 0.8318834615473716, 'spiral_angle': 23.08948389714178, 'spiral_sigma': 0.06521915724502644}. Best is trial 2 with value: 52.48376768369.
[I 2024-11-24 23:22:50,484] Trial 3 finished with value: 42.32799805755889 and parameters: {'swarm_factor': 0.5983282920131456, 'self_confidence': 2.0352449286741456, 'swarm_confidence': 2.705004838456189, 'swarm_version': 'constriction', 'swarm_distribution': 'uniform', 'spiral_radius': 0.8751554141908461, 'spiral_angle': 19.063189464673663, 'spiral_sigma': 0.1635202272331174}. Best is trial 3 with value: 42.32799805755889.
[I 2024-11-24 23:22:51,611] Trial 4 finished with value: 118.50662136378507 and parameters: {'swarm_factor': 0.5422772350590747, 'self_confidence': 2.1621485796300517, 'swarm_confidence': 2.3241706433151936, 'swarm_version': 'inertial', 'swarm_distribution': 'uniform', 'spiral_radius': 0.7451838708504169, 'spiral_angle': 22.73755042913526, 'spiral_sigma': 0.12075155059565151}. Best is trial 3 with value: 42.32799805755889.
[I 2024-11-24 23:22:53,082] Trial 5 finished with value: 93.63591311037645 and parameters: {'swarm_factor': 0.5907685767931047, 'self_confidence': 2.9717437892948393, 'swarm_confidence': 2.7505215420659392, 'swarm_version': 'constriction', 'swarm_distribution': 'gaussian', 'spiral_radius': 0.8592536945326757, 'spiral_angle': 24.99508994817185, 'spiral_sigma': 0.157808865662267}. Best is trial 3 with value: 42.32799805755889.
[I 2024-11-24 23:22:54,407] Trial 6 finished with value: 112.46938053864034 and parameters: {'swarm_factor': 0.7846049829345532, 'self_confidence': 2.0363552750994596, 'swarm_confidence': 2.5036696876637436, 'swarm_version': 'inertial', 'swarm_distribution': 'uniform', 'spiral_radius': 0.5396386870705223, 'spiral_angle': 29.98625276195993, 'spiral_sigma': 0.05090581984771487}. Best is trial 3 with value: 42.32799805755889.
[I 2024-11-24 23:22:55,511] Trial 7 finished with value: 100.77282213445984 and parameters: {'swarm_factor': 0.6902474029307082, 'self_confidence': 2.5505568751805896, 'swarm_confidence': 2.297185396829281, 'swarm_version': 'constriction', 'swarm_distribution': 'levy', 'spiral_radius': 0.7807454545930506, 'spiral_angle': 25.026284113771126, 'spiral_sigma': 0.1836586424307731}. Best is trial 3 with value: 42.32799805755889.
[I 2024-11-24 23:22:56,588] Trial 8 finished with value: 123.20336595710474 and parameters: {'swarm_factor': 0.95597055474907, 'self_confidence': 2.474250993939712, 'swarm_confidence': 2.03052645328948, 'swarm_version': 'inertial', 'swarm_distribution': 'uniform', 'spiral_radius': 0.699352466343816, 'spiral_angle': 21.872653840894127, 'spiral_sigma': 0.0919682209246227}. Best is trial 3 with value: 42.32799805755889.
[I 2024-11-24 23:22:57,835] Trial 9 finished with value: 87.2647900514601 and parameters: {'swarm_factor': 0.5490971450795934, 'self_confidence': 2.719995706292046, 'swarm_confidence': 2.1068875662563453, 'swarm_version': 'constriction', 'swarm_distribution': 'gaussian', 'spiral_radius': 0.7749530958709042, 'spiral_angle': 26.163757167805922, 'spiral_sigma': 0.07720855059324949}. Best is trial 3 with value: 42.32799805755889.
[I 2024-11-24 23:22:59,163] Trial 10 finished with value: 47.155534133778005 and parameters: {'swarm_factor': 0.7629819158873576, 'self_confidence': 2.007018134242686, 'swarm_confidence': 2.9656976936791337, 'swarm_version': 'constriction', 'swarm_distribution': 'uniform', 'spiral_radius': 0.636298263271322, 'spiral_angle': 16.459778996977608, 'spiral_sigma': 0.15106298653239428}. Best is trial 3 with value: 42.32799805755889.
