Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.27763479212645586, 'self_conf': 2.0427277711491416, 'swarm_conf': 1.0612821890792723, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.708283065701843, 'angle': 14.794941178049791, 'sigma': 0.056082548935983016}
Mejor rendimiento encontrado:
32.33517558179358

Stderr:
[I 2024-11-24 23:28:58,399] A new study created in memory with name: no-name-541e568a-bd06-4466-90a3-d5095a5e188b
[I 2024-11-24 23:29:02,034] Trial 0 finished with value: 63.949956836103986 and parameters: {'factor': 0.34077798371925694, 'self_conf': 2.6305445968588503, 'swarm_conf': 2.5508978673644296, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.45446329783086215, 'angle': 11.031496013447443, 'sigma': 0.8245056030743818}. Best is trial 0 with value: 63.949956836103986.
[I 2024-11-24 23:29:03,129] Trial 1 finished with value: 57.80129548455505 and parameters: {'factor': 0.1903745974608233, 'self_conf': 1.954793000961551, 'swarm_conf': 1.8122261291304287, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.2774488195521276, 'angle': 1.728083083884752, 'sigma': 0.6747726623515604}. Best is trial 1 with value: 57.80129548455505.
[I 2024-11-24 23:29:04,178] Trial 2 finished with value: 64.89085173200527 and parameters: {'factor': 0.8685441413378148, 'self_conf': 2.228406131265565, 'swarm_conf': 1.283221812191668, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.5937638258093694, 'angle': 15.525501625726365, 'sigma': 0.7329080841980468}. Best is trial 1 with value: 57.80129548455505.
[I 2024-11-24 23:29:05,248] Trial 3 finished with value: 70.58884231836427 and parameters: {'factor': 0.7053190922412678, 'self_conf': 2.3349010960178664, 'swarm_conf': 1.9837091782798424, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6608622043570769, 'angle': 5.996531486924203, 'sigma': 0.8886497677827001}. Best is trial 1 with value: 57.80129548455505.
[I 2024-11-24 23:29:06,368] Trial 4 finished with value: 41.815370679435325 and parameters: {'factor': 0.24382411699565001, 'self_conf': 1.1890884775524173, 'swarm_conf': 1.3572465215877023, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.34345969555043276, 'angle': 12.35199135657148, 'sigma': 0.24320134452718345}. Best is trial 4 with value: 41.815370679435325.
[I 2024-11-24 23:29:07,503] Trial 5 finished with value: 50.25535401660036 and parameters: {'factor': 0.8654042446351126, 'self_conf': 2.895779661141413, 'swarm_conf': 1.471643271076839, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.13426872962794464, 'angle': 23.810867709677687, 'sigma': 0.5633870236137946}. Best is trial 4 with value: 41.815370679435325.
[I 2024-11-24 23:29:08,602] Trial 6 finished with value: 57.45867453317159 and parameters: {'factor': 0.5982947104565111, 'self_conf': 2.331495446493399, 'swarm_conf': 1.7542865342274228, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.3482110855406432, 'angle': 6.1923402849939455, 'sigma': 0.5096490159228538}. Best is trial 4 with value: 41.815370679435325.
[I 2024-11-24 23:29:09,660] Trial 7 finished with value: 85.44008570405963 and parameters: {'factor': 0.6181991400510508, 'self_conf': 2.08784658402788, 'swarm_conf': 2.616680298308923, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.5997492655645827, 'angle': 19.03545571752958, 'sigma': 0.5823787523635439}. Best is trial 4 with value: 41.815370679435325.
[I 2024-11-24 23:29:10,743] Trial 8 finished with value: 32.33517558179358 and parameters: {'factor': 0.27763479212645586, 'self_conf': 2.0427277711491416, 'swarm_conf': 1.0612821890792723, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.708283065701843, 'angle': 14.794941178049791, 'sigma': 0.056082548935983016}. Best is trial 8 with value: 32.33517558179358.
[I 2024-11-24 23:29:11,794] Trial 9 finished with value: 68.40311271202447 and parameters: {'factor': 0.517582882863202, 'self_conf': 1.480753665788875, 'swarm_conf': 2.4600792050320415, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.28649668626787567, 'angle': 15.005680480023468, 'sigma': 0.25411247804446463}. Best is trial 8 with value: 32.33517558179358.
[I 2024-11-24 23:29:12,849] Trial 10 finished with value: 37.215846246028185 and parameters: {'factor': 0.3517349108655762, 'self_conf': 1.7107208911495138, 'swarm_conf': 1.0120406118598482, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8489451696235162, 'angle': 24.408148807019323, 'sigma': 0.020083347880739025}. Best is trial 8 with value: 32.33517558179358.
