Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.8810363698797008, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.6439203238799904, 'angle': 22.5, 'sigma': 0.2590513101966671}
Mejor rendimiento encontrado:
40.03280397849967

Stderr:
[I 2024-11-24 23:35:19,436] A new study created in memory with name: no-name-1510daec-1563-4691-80a7-7aa3e2d74d94
[I 2024-11-24 23:35:22,778] Trial 0 finished with value: 100.50218786791174 and parameters: {'factor': 0.4197751651843956, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6569802204566204, 'angle': 22.5, 'sigma': 0.28926673273658876}. Best is trial 0 with value: 100.50218786791174.
[I 2024-11-24 23:35:23,835] Trial 1 finished with value: 40.03280397849967 and parameters: {'factor': 0.8810363698797008, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.6439203238799904, 'angle': 22.5, 'sigma': 0.2590513101966671}. Best is trial 1 with value: 40.03280397849967.
[I 2024-11-24 23:35:24,925] Trial 2 finished with value: 65.05656808288566 and parameters: {'factor': 0.6205465143896758, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.49497348026478094, 'angle': 22.5, 'sigma': 0.10652597732317495}. Best is trial 1 with value: 40.03280397849967.
[I 2024-11-24 23:35:26,034] Trial 3 finished with value: 80.40053368741879 and parameters: {'factor': 0.7611626552710522, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.22518502640812052, 'angle': 22.5, 'sigma': 0.15087968998664827}. Best is trial 1 with value: 40.03280397849967.
[I 2024-11-24 23:35:27,125] Trial 4 finished with value: 116.86782594723803 and parameters: {'factor': 0.1348902137063239, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.37008422566545573, 'angle': 22.5, 'sigma': 0.2567963785657089}. Best is trial 1 with value: 40.03280397849967.
[I 2024-11-24 23:35:28,154] Trial 5 finished with value: 99.55267579237623 and parameters: {'factor': 0.6952570116037671, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.3288712675843093, 'angle': 22.5, 'sigma': 0.14641102487125984}. Best is trial 1 with value: 40.03280397849967.
[I 2024-11-24 23:35:29,189] Trial 6 finished with value: 128.30236780749237 and parameters: {'factor': 0.8660309368376867, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8300405886690618, 'angle': 22.5, 'sigma': 0.2991352148474133}. Best is trial 1 with value: 40.03280397849967.
[I 2024-11-24 23:35:30,236] Trial 7 finished with value: 113.07772287993683 and parameters: {'factor': 0.8342249581204683, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6599378189483784, 'angle': 22.5, 'sigma': 0.22782825054152614}. Best is trial 1 with value: 40.03280397849967.
[I 2024-11-24 23:35:31,297] Trial 8 finished with value: 91.43296085647953 and parameters: {'factor': 0.31713905375292595, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.6489852777779426, 'angle': 22.5, 'sigma': 0.11035809418437886}. Best is trial 1 with value: 40.03280397849967.
[I 2024-11-24 23:35:32,329] Trial 9 finished with value: 92.5306691815795 and parameters: {'factor': 0.7774143328643031, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.1285564024834389, 'angle': 22.5, 'sigma': 0.137128876754568}. Best is trial 1 with value: 40.03280397849967.
[I 2024-11-24 23:35:33,398] Trial 10 finished with value: 45.05456623887363 and parameters: {'factor': 0.5516298513009902, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8656790755792716, 'angle': 22.5, 'sigma': 0.19612097997581218}. Best is trial 1 with value: 40.03280397849967.
[I 2024-11-24 23:35:34,464] Trial 11 finished with value: 52.03396260927729 and parameters: {'factor': 0.5533533919786494, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.860121927313067, 'angle': 22.5, 'sigma': 0.19600158324967937}. Best is trial 1 with value: 40.03280397849967.
[I 2024-11-24 23:35:35,543] Trial 12 finished with value: 70.46766197012465 and parameters: {'factor': 0.424556373104045, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.765382400023362, 'angle': 22.5, 'sigma': 0.19928719434076786}. Best is trial 1 with value: 40.03280397849967.
[I 2024-11-24 23:35:36,620] Trial 13 finished with value: 100.0926091929622 and parameters: {'factor': 0.2248775992209417, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5694604690096533, 'angle': 22.5, 'sigma': 0.228661352138574}. Best is trial 1 with value: 40.03280397849967.
[I 2024-11-24 23:35:37,706] Trial 14 finished with value: 42.66912273968208 and parameters: {'factor': 0.6537812126497248, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8874968908172597, 'angle': 22.5, 'sigma': 0.17485948969840212}. Best is trial 1 with value: 40.03280397849967.
