Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.7562567097129056, 'self_conf': 2.754412764486229, 'swarm_conf': 2.834563636254141, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.9, 'angle': 21.989411589934466, 'sigma': 0.18838104431520336}
Mejor rendimiento encontrado:
29.505226196219713

Stderr:
[I 2024-11-24 23:40:28,947] A new study created in memory with name: no-name-86bb7e76-7808-4dfd-a01f-6bf2c3dd3984
[I 2024-11-24 23:40:33,122] Trial 0 finished with value: 31.418067911623158 and parameters: {'factor': 0.775076481555768, 'self_conf': 2.5668862135604593, 'swarm_conf': 2.968693837370277, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.9, 'angle': 14.531907408289076, 'sigma': 0.09141005940934144}. Best is trial 0 with value: 31.418067911623158.
[I 2024-11-24 23:40:34,272] Trial 1 finished with value: 154.77012694684407 and parameters: {'factor': 0.8286807703045014, 'self_conf': 2.5672405694616245, 'swarm_conf': 2.8138966002349437, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.9, 'angle': 12.495790544766624, 'sigma': 0.06153587252943391}. Best is trial 0 with value: 31.418067911623158.
[I 2024-11-24 23:40:35,440] Trial 2 finished with value: 89.62879631530632 and parameters: {'factor': 0.8628068126979592, 'self_conf': 2.897472752064481, 'swarm_conf': 2.776166063470302, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.9, 'angle': 19.628529816401404, 'sigma': 0.03653612375221663}. Best is trial 0 with value: 31.418067911623158.
[I 2024-11-24 23:40:36,754] Trial 3 finished with value: 31.662088057265404 and parameters: {'factor': 0.8915200484374198, 'self_conf': 2.907911692770255, 'swarm_conf': 2.8298718507575056, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.9, 'angle': 20.953130482614103, 'sigma': 0.22767216779866958}. Best is trial 0 with value: 31.418067911623158.
[I 2024-11-24 23:40:37,994] Trial 4 finished with value: 102.12368018843527 and parameters: {'factor': 0.8214189720237353, 'self_conf': 2.52260223668108, 'swarm_conf': 2.430530592226469, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.9, 'angle': 16.94250891530953, 'sigma': 0.2590229740213771}. Best is trial 0 with value: 31.418067911623158.
[I 2024-11-24 23:40:39,140] Trial 5 finished with value: 107.93687238639622 and parameters: {'factor': 0.8946738124057747, 'self_conf': 2.6934134497151705, 'swarm_conf': 2.608338969950248, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.9, 'angle': 16.587752649035608, 'sigma': 0.03356713130449012}. Best is trial 0 with value: 31.418067911623158.
[I 2024-11-24 23:40:40,221] Trial 6 finished with value: 43.07659576689057 and parameters: {'factor': 0.8607755899582572, 'self_conf': 2.368137891446281, 'swarm_conf': 2.9995705937663826, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.9, 'angle': 14.52231968977771, 'sigma': 0.26521410249725014}. Best is trial 0 with value: 31.418067911623158.
[I 2024-11-24 23:40:41,316] Trial 7 finished with value: 93.40479910174415 and parameters: {'factor': 0.8547925914423435, 'self_conf': 2.9395508416519633, 'swarm_conf': 2.511588922694369, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.9, 'angle': 18.521532284894974, 'sigma': 0.2692247729698386}. Best is trial 0 with value: 31.418067911623158.
[I 2024-11-24 23:40:42,433] Trial 8 finished with value: 83.50813788061919 and parameters: {'factor': 0.8128119657770283, 'self_conf': 2.994610174067891, 'swarm_conf': 2.932033794170973, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.9, 'angle': 10.685055722881664, 'sigma': 0.2773954948577007}. Best is trial 0 with value: 31.418067911623158.
[I 2024-11-24 23:40:43,517] Trial 9 finished with value: 141.09711570285126 and parameters: {'factor': 0.8257975138446764, 'self_conf': 2.834081194744089, 'swarm_conf': 2.68322158160825, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.9, 'angle': 14.457432289029407, 'sigma': 0.2880649128521683}. Best is trial 0 with value: 31.418067911623158.
[I 2024-11-24 23:40:44,611] Trial 10 finished with value: 133.68369602673096 and parameters: {'factor': 0.7367354030383104, 'self_conf': 2.3655243830725166, 'swarm_conf': 2.925932356747734, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.9, 'angle': 24.720451792520873, 'sigma': 0.11985906045009133}. Best is trial 0 with value: 31.418067911623158.
