Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.6464961546091426, 'angle': 5.286464800306775, 'sigma': 0.021569507022282913, 'scale': 0.4489999224664653, 'distribution': 'gaussian', 'beta': 2.0821820130018684}
Mejor rendimiento encontrado:
49.290078868027734

Stderr:
[I 2024-11-25 17:15:03,790] A new study created in memory with name: no-name-8ea7b558-e8ca-4387-8f4f-83c9fc4c7c4c
[I 2024-11-25 17:15:07,602] Trial 0 finished with value: 134.95455038047464 and parameters: {'radius': 0.12606317086129123, 'angle': 11.255579616094083, 'sigma': 0.02614014715547067, 'scale': 0.1783973613648005, 'distribution': 'gaussian', 'beta': 1.378918001883335}. Best is trial 0 with value: 134.95455038047464.
[I 2024-11-25 17:15:08,721] Trial 1 finished with value: 75.29781190873305 and parameters: {'radius': 0.5706666217709978, 'angle': 11.424080736175247, 'sigma': 0.45121024775421636, 'scale': 0.11783556602587131, 'distribution': 'gaussian', 'beta': 1.2547466848638806}. Best is trial 1 with value: 75.29781190873305.
[I 2024-11-25 17:15:09,979] Trial 2 finished with value: 93.00179441596255 and parameters: {'radius': 0.19969379390791497, 'angle': 19.592740945978253, 'sigma': 0.3655492412463838, 'scale': 0.9133923369309916, 'distribution': 'uniform', 'beta': 2.0940183935861345}. Best is trial 1 with value: 75.29781190873305.
[I 2024-11-25 17:15:11,092] Trial 3 finished with value: 103.84394374802679 and parameters: {'radius': 0.7981483872832458, 'angle': 4.712934643046368, 'sigma': 0.4850704628051734, 'scale': 0.653086412789253, 'distribution': 'uniform', 'beta': 1.4777523361833216}. Best is trial 1 with value: 75.29781190873305.
[I 2024-11-25 17:15:12,220] Trial 4 finished with value: 73.73974458651227 and parameters: {'radius': 0.48425993185751637, 'angle': 15.374584875707635, 'sigma': 0.5874804405965987, 'scale': 0.14346564103164655, 'distribution': 'uniform', 'beta': 0.824481926312884}. Best is trial 4 with value: 73.73974458651227.
[I 2024-11-25 17:15:13,388] Trial 5 finished with value: 66.66215590066221 and parameters: {'radius': 0.7501613120592613, 'angle': 16.564724677072917, 'sigma': 0.40245000280190346, 'scale': 0.4685651878827942, 'distribution': 'gaussian', 'beta': 2.433336636984992}. Best is trial 5 with value: 66.66215590066221.
[I 2024-11-25 17:15:14,500] Trial 6 finished with value: 89.76091377173091 and parameters: {'radius': 0.21840875787532107, 'angle': 13.615056008221485, 'sigma': 0.5098815211723544, 'scale': 0.3736476507045707, 'distribution': 'uniform', 'beta': 2.685391111768675}. Best is trial 5 with value: 66.66215590066221.
[I 2024-11-25 17:15:15,674] Trial 7 finished with value: 105.1024176156748 and parameters: {'radius': 0.44472108766137036, 'angle': 23.60917434003905, 'sigma': 0.2349980134662689, 'scale': 0.7828352112637794, 'distribution': 'gaussian', 'beta': 2.065640846219889}. Best is trial 5 with value: 66.66215590066221.
[I 2024-11-25 17:15:16,821] Trial 8 finished with value: 56.935410254552984 and parameters: {'radius': 0.7058265491192517, 'angle': 1.267766671040118, 'sigma': 0.21018305371581628, 'scale': 0.4293930340294765, 'distribution': 'uniform', 'beta': 2.353006051511594}. Best is trial 8 with value: 56.935410254552984.
[I 2024-11-25 17:15:18,012] Trial 9 finished with value: 76.9732937265007 and parameters: {'radius': 0.6633511115098139, 'angle': 14.569439945681305, 'sigma': 0.24827199044841458, 'scale': 0.3165780222056153, 'distribution': 'gaussian', 'beta': 0.909344726691139}. Best is trial 8 with value: 56.935410254552984.
[I 2024-11-25 17:15:19,128] Trial 10 finished with value: 83.78656926232537 and parameters: {'radius': 0.8632604710950075, 'angle': 0.7251884092363667, 'sigma': 0.765801683289657, 'scale': 0.591363812015386, 'distribution': 'uniform', 'beta': 2.7371353152789855}. Best is trial 8 with value: 56.935410254552984.
[I 2024-11-25 17:15:20,301] Trial 11 finished with value: 52.82365466032395 and parameters: {'radius': 0.7158532263664306, 'angle': 6.587303764925171, 'sigma': 0.12441979773600381, 'scale': 0.43531031820940197, 'distribution': 'gaussian', 'beta': 2.262354810635302}. Best is trial 11 with value: 52.82365466032395.
[I 2024-11-25 17:15:21,425] Trial 12 finished with value: 49.290078868027734 and parameters: {'radius': 0.6464961546091426, 'angle': 5.286464800306775, 'sigma': 0.021569507022282913, 'scale': 0.4489999224664653, 'distribution': 'gaussian', 'beta': 2.0821820130018684}. Best is trial 12 with value: 49.290078868027734.
[I 2024-11-25 17:15:22,536] Trial 13 finished with value: 68.09757612370694 and parameters: {'radius': 0.6394491899179171, 'angle': 7.161351524080637, 'sigma': 0.08611944092887114, 'scale': 0.27724274221439477, 'distribution': 'gaussian', 'beta': 1.8046347205954518}. Best is trial 12 with value: 49.290078868027734.
[I 2024-11-25 17:15:23,667] Trial 14 finished with value: 72.59271964132064 and parameters: {'radius': 0.3858628827405537, 'angle': 7.334168904283299, 'sigma': 0.1234970321975757, 'scale': 0.5363256648132108, 'distribution': 'gaussian', 'beta': 2.985899437380483}. Best is trial 12 with value: 49.290078868027734.
