Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.44557203266567486, 'angle': 23.810473579492548, 'sigma': 0.39423101581280445, 'selector': 'probabilistic', 'factor': 0.7571027104208451, 'self_conf': 2.089362176778292, 'swarm_conf': 1.1440711837068385, 'version': 'inertial', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
62.51506763971605

Stderr:
[I 2024-11-26 00:14:44,706] A new study created in memory with name: no-name-ce6a9374-6824-4a83-b90a-f14946a65e65
[I 2024-11-26 00:14:47,792] Trial 0 finished with value: 72.19730417750033 and parameters: {'radius': 0.5404541126671035, 'angle': 20.022074877665833, 'sigma': 0.4579201597499186, 'selector': 'greedy', 'factor': 0.5062127824336854, 'self_conf': 2.5015595618286928, 'swarm_conf': 1.364770304691274, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 0 with value: 72.19730417750033.
[I 2024-11-26 00:14:48,790] Trial 1 finished with value: 70.40885957832754 and parameters: {'radius': 0.3682814646559554, 'angle': 20.290353356462504, 'sigma': 0.4962351314689334, 'selector': 'probabilistic', 'factor': 0.48642907546808445, 'self_conf': 2.5586988623327493, 'swarm_conf': 2.996642879526149, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 1 with value: 70.40885957832754.
[I 2024-11-26 00:14:49,816] Trial 2 finished with value: 77.03829775015546 and parameters: {'radius': 0.1676228646561181, 'angle': 20.165109395042652, 'sigma': 0.4769962423535875, 'selector': 'greedy', 'factor': 0.35228078260857737, 'self_conf': 0.5636173706276005, 'swarm_conf': 2.3560132845384723, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 70.40885957832754.
[I 2024-11-26 00:14:50,852] Trial 3 finished with value: 69.16289442440029 and parameters: {'radius': 0.40228515625524885, 'angle': 20.292356869746534, 'sigma': 0.49276920963552956, 'selector': 'greedy', 'factor': 0.4359393728470926, 'self_conf': 2.9182742827814976, 'swarm_conf': 2.7989097163852543, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 3 with value: 69.16289442440029.
[I 2024-11-26 00:14:51,877] Trial 4 finished with value: 97.06470080118167 and parameters: {'radius': 0.6253378600796815, 'angle': 22.996546266907163, 'sigma': 0.13666409324895734, 'selector': 'probabilistic', 'factor': 0.585075111173357, 'self_conf': 2.4799325074337446, 'swarm_conf': 0.3366640731974804, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 3 with value: 69.16289442440029.
[I 2024-11-26 00:14:52,927] Trial 5 finished with value: 74.65015921938482 and parameters: {'radius': 0.39899224234303604, 'angle': 22.55309411323889, 'sigma': 0.03471656593206352, 'selector': 'probabilistic', 'factor': 0.25278598702201754, 'self_conf': 1.0625820184887547, 'swarm_conf': 2.6747328076387364, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 3 with value: 69.16289442440029.
[I 2024-11-26 00:14:53,968] Trial 6 finished with value: 101.36469252608967 and parameters: {'radius': 0.11014810093617317, 'angle': 22.70321641733331, 'sigma': 0.2186830303918307, 'selector': 'greedy', 'factor': 0.18401777818828757, 'self_conf': 1.4173706216262987, 'swarm_conf': 2.5216442409674373, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 3 with value: 69.16289442440029.
[I 2024-11-26 00:14:55,061] Trial 7 finished with value: 66.8347526822409 and parameters: {'radius': 0.4563877909517647, 'angle': 21.66245097396173, 'sigma': 0.46714108918732755, 'selector': 'greedy', 'factor': 0.7269763492906657, 'self_conf': 1.5548258580501921, 'swarm_conf': 0.5848691735617952, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 7 with value: 66.8347526822409.
[I 2024-11-26 00:14:56,094] Trial 8 finished with value: 105.98463966157787 and parameters: {'radius': 0.8112439299177207, 'angle': 23.58948932296178, 'sigma': 0.41287782846674104, 'selector': 'probabilistic', 'factor': 0.4128628355303553, 'self_conf': 1.9351799395229152, 'swarm_conf': 0.6271139720329251, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 7 with value: 66.8347526822409.
[I 2024-11-26 00:14:57,098] Trial 9 finished with value: 62.51506763971605 and parameters: {'radius': 0.44557203266567486, 'angle': 23.810473579492548, 'sigma': 0.39423101581280445, 'selector': 'probabilistic', 'factor': 0.7571027104208451, 'self_conf': 2.089362176778292, 'swarm_conf': 1.1440711837068385, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 9 with value: 62.51506763971605.
[I 2024-11-26 00:14:58,085] Trial 10 finished with value: 95.9808513387131 and parameters: {'radius': 0.7347636066087238, 'angle': 24.925429404890213, 'sigma': 0.30793435043351086, 'selector': 'probabilistic', 'factor': 0.8875087752613993, 'self_conf': 0.11646829783685919, 'swarm_conf': 1.4384978174255942, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 9 with value: 62.51506763971605.
