Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'probability': 0.8583994728506655, 'scale': 0.6315454383123165, 'distribution': 'gaussian'}
Mejor rendimiento encontrado:
59.2833858889661

Stderr:
[I 2024-11-26 00:19:20,473] A new study created in memory with name: no-name-840efa6a-37e3-4078-baaf-78d26cfe30f5
/Users/valeriaenriquezlimon/Documents/meta-h-generator/llm-metaheuristics/outputs-results/ollama_output_Rastrigin(13)_20241126_001006/execution_optuna_iteration_1.py:40: FutureWarning: suggest_uniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float instead.
  'scale': trial.suggest_uniform('scale', 0.1, 2.0),  # Adjusted to a different range
[I 2024-11-26 00:19:23,254] Trial 0 finished with value: 75.52785368917007 and parameters: {'probability': 0.6846626128665476, 'scale': 1.5815231486514676, 'distribution': 'uniform'}. Best is trial 0 with value: 75.52785368917007.
[I 2024-11-26 00:19:23,670] Trial 1 finished with value: 88.39755187478235 and parameters: {'probability': 0.861885210575114, 'scale': 0.1273136010617396, 'distribution': 'uniform'}. Best is trial 0 with value: 75.52785368917007.
[I 2024-11-26 00:19:24,091] Trial 2 finished with value: 89.51379371256161 and parameters: {'probability': 0.521617081869177, 'scale': 0.7903679134359716, 'distribution': 'gaussian'}. Best is trial 0 with value: 75.52785368917007.
[I 2024-11-26 00:19:24,499] Trial 3 finished with value: 81.15681151110338 and parameters: {'probability': 0.7306076301150644, 'scale': 0.16448424629783212, 'distribution': 'uniform'}. Best is trial 0 with value: 75.52785368917007.
[I 2024-11-26 00:19:24,907] Trial 4 finished with value: 77.87100614818794 and parameters: {'probability': 0.6055217349411177, 'scale': 0.4097159526249891, 'distribution': 'uniform'}. Best is trial 0 with value: 75.52785368917007.
[I 2024-11-26 00:19:25,321] Trial 5 finished with value: 78.21885210466903 and parameters: {'probability': 0.6827144644284003, 'scale': 0.3023113886238457, 'distribution': 'uniform'}. Best is trial 0 with value: 75.52785368917007.
[I 2024-11-26 00:19:25,742] Trial 6 finished with value: 76.8298417694473 and parameters: {'probability': 0.5471726802191748, 'scale': 0.9354509964732751, 'distribution': 'uniform'}. Best is trial 0 with value: 75.52785368917007.
[I 2024-11-26 00:19:26,156] Trial 7 finished with value: 66.90033507843768 and parameters: {'probability': 0.7162076831699513, 'scale': 0.7010243190681473, 'distribution': 'gaussian'}. Best is trial 7 with value: 66.90033507843768.
[I 2024-11-26 00:19:26,581] Trial 8 finished with value: 71.28968067795932 and parameters: {'probability': 0.7474459139521102, 'scale': 1.1498152777275052, 'distribution': 'gaussian'}. Best is trial 7 with value: 66.90033507843768.
[I 2024-11-26 00:19:26,998] Trial 9 finished with value: 70.74754272596732 and parameters: {'probability': 0.7228823585337151, 'scale': 1.8010284890181223, 'distribution': 'uniform'}. Best is trial 7 with value: 66.90033507843768.
[I 2024-11-26 00:19:27,420] Trial 10 finished with value: 60.90318389386811 and parameters: {'probability': 0.8384200451629172, 'scale': 0.6724808082952447, 'distribution': 'gaussian'}. Best is trial 10 with value: 60.90318389386811.
[I 2024-11-26 00:19:27,840] Trial 11 finished with value: 59.2833858889661 and parameters: {'probability': 0.8583994728506655, 'scale': 0.6315454383123165, 'distribution': 'gaussian'}. Best is trial 11 with value: 59.2833858889661.
[I 2024-11-26 00:19:28,256] Trial 12 finished with value: 61.497002127035486 and parameters: {'probability': 0.8872467759120415, 'scale': 0.5890263045379905, 'distribution': 'gaussian'}. Best is trial 11 with value: 59.2833858889661.
[I 2024-11-26 00:19:28,689] Trial 13 finished with value: 68.5418016436875 and parameters: {'probability': 0.814768148537536, 'scale': 1.195681430307908, 'distribution': 'gaussian'}. Best is trial 11 with value: 59.2833858889661.
[I 2024-11-26 00:19:29,107] Trial 14 finished with value: 69.33023774129532 and parameters: {'probability': 0.8205599369514502, 'scale': 1.3936411411441212, 'distribution': 'gaussian'}. Best is trial 11 with value: 59.2833858889661.
