Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.8414852101108197, 'angle': 22.69489413339922, 'sigma': 0.2507813845455482, 'factor': 0.8005758386312058, 'self_conf': 2.54, 'swarm_conf': 3.0, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
42.730835359554305

Stderr:
[I 2024-11-26 01:32:12,081] A new study created in memory with name: no-name-915744b1-b3bc-4bfa-b80e-1fd82b2358aa
[I 2024-11-26 01:32:15,257] Trial 0 finished with value: 148.69079216624186 and parameters: {'radius': 0.7334458519341477, 'angle': 21.50333044401826, 'sigma': 0.046808890279585194, 'factor': 0.6827310974138197, 'self_conf': 3.0, 'swarm_conf': 3.0, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 0 with value: 148.69079216624186.
[I 2024-11-26 01:32:16,482] Trial 1 finished with value: 126.78817535823264 and parameters: {'radius': 0.6926629719628695, 'angle': 23.624985353362042, 'sigma': 0.18669614724264869, 'factor': 0.5467426996357913, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 1 with value: 126.78817535823264.
[I 2024-11-26 01:32:17,726] Trial 2 finished with value: 80.94564854145928 and parameters: {'radius': 0.8012118230185288, 'angle': 20.321030220060468, 'sigma': 0.1776433278737857, 'factor': 0.7021539663044775, 'self_conf': 3.0, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 2 with value: 80.94564854145928.
[I 2024-11-26 01:32:18,986] Trial 3 finished with value: 99.01506612935182 and parameters: {'radius': 0.5688277833135695, 'angle': 22.09575037214064, 'sigma': 0.14213744313368368, 'factor': 0.6277498596861297, 'self_conf': 3.0, 'swarm_conf': 1.0, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 2 with value: 80.94564854145928.
[I 2024-11-26 01:32:20,221] Trial 4 finished with value: 110.00352735421197 and parameters: {'radius': 0.7399463479418124, 'angle': 20.511028656089643, 'sigma': 0.05655437850517552, 'factor': 0.830320856991981, 'self_conf': 3.0, 'swarm_conf': 1.0, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 80.94564854145928.
[I 2024-11-26 01:32:21,467] Trial 5 finished with value: 111.32907861467986 and parameters: {'radius': 0.6373523732376476, 'angle': 23.612855917184067, 'sigma': 0.038909634025389925, 'factor': 0.575821893641827, 'self_conf': 2.54, 'swarm_conf': 1.0, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 2 with value: 80.94564854145928.
[I 2024-11-26 01:32:22,717] Trial 6 finished with value: 112.34560602266812 and parameters: {'radius': 0.5886142149674851, 'angle': 24.61833501338887, 'sigma': 0.023947727438810965, 'factor': 0.6920755717551987, 'self_conf': 1.0, 'swarm_conf': 1.0, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 2 with value: 80.94564854145928.
[I 2024-11-26 01:32:23,963] Trial 7 finished with value: 75.62124219184628 and parameters: {'radius': 0.6727676709146918, 'angle': 20.842831975496242, 'sigma': 0.25470455003418574, 'factor': 0.6211110761435649, 'self_conf': 3.0, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 7 with value: 75.62124219184628.
[I 2024-11-26 01:32:25,159] Trial 8 finished with value: 66.96454646908498 and parameters: {'radius': 0.8610091691475461, 'angle': 22.249070322499893, 'sigma': 0.1785657574054645, 'factor': 0.5060363331408912, 'self_conf': 3.0, 'swarm_conf': 3.0, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 8 with value: 66.96454646908498.
[I 2024-11-26 01:32:26,373] Trial 9 finished with value: 143.32280491705853 and parameters: {'radius': 0.7717832875948788, 'angle': 23.546843589534642, 'sigma': 0.10079677555942594, 'factor': 0.6340603611917168, 'self_conf': 1.0, 'swarm_conf': 2.56, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 8 with value: 66.96454646908498.
[I 2024-11-26 01:32:27,603] Trial 10 finished with value: 50.38715333839893 and parameters: {'radius': 0.8922051283317345, 'angle': 22.474511471710315, 'sigma': 0.2994295720207478, 'factor': 0.5124112466887378, 'self_conf': 2.54, 'swarm_conf': 3.0, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 10 with value: 50.38715333839893.
