Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.630266472303625, 'self_conf': 0.49805280117316986, 'swarm_conf': 2.9566647171271123, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5684429521223233, 'angle': 14.197762085910103, 'sigma': 0.2657377271920617}
Mejor rendimiento encontrado:
53.29949667787766

Stderr:
[I 2024-11-26 01:42:34,287] A new study created in memory with name: no-name-b2787889-dd0a-4e97-abe7-f7b6bc9cfd1e
[I 2024-11-26 01:42:37,904] Trial 0 finished with value: 77.59310572876811 and parameters: {'factor': 0.22313122343489245, 'self_conf': 2.5367434620098166, 'swarm_conf': 2.0207830810993923, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.2914685371538841, 'angle': 7.045924384322467, 'sigma': 0.2195199488085487}. Best is trial 0 with value: 77.59310572876811.
[I 2024-11-26 01:42:39,087] Trial 1 finished with value: 82.71739230352578 and parameters: {'factor': 0.7779364593163961, 'self_conf': 2.8314533043044388, 'swarm_conf': 0.3923117392950919, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.24195802169267377, 'angle': 22.138397207245802, 'sigma': 0.221735276658477}. Best is trial 0 with value: 77.59310572876811.
[I 2024-11-26 01:42:40,322] Trial 2 finished with value: 53.29949667787766 and parameters: {'factor': 0.630266472303625, 'self_conf': 0.49805280117316986, 'swarm_conf': 2.9566647171271123, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5684429521223233, 'angle': 14.197762085910103, 'sigma': 0.2657377271920617}. Best is trial 2 with value: 53.29949667787766.
[I 2024-11-26 01:42:41,536] Trial 3 finished with value: 78.35763310229763 and parameters: {'factor': 0.2661824410858003, 'self_conf': 2.3645189263864057, 'swarm_conf': 1.4664806101101735, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.41185344325975104, 'angle': 15.976523626774695, 'sigma': 0.15640851824069144}. Best is trial 2 with value: 53.29949667787766.
[I 2024-11-26 01:42:42,773] Trial 4 finished with value: 85.25164784594273 and parameters: {'factor': 0.7164257284838496, 'self_conf': 2.103754046125925, 'swarm_conf': 1.7361395629663205, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.1184428677268917, 'angle': 18.158851252724165, 'sigma': 0.2398805219469862}. Best is trial 2 with value: 53.29949667787766.
[I 2024-11-26 01:42:43,985] Trial 5 finished with value: 108.9346717357954 and parameters: {'factor': 0.13269337845948756, 'self_conf': 2.990296785154341, 'swarm_conf': 2.2275907156411012, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.21423718941589673, 'angle': 16.407683306738303, 'sigma': 0.24243730226414786}. Best is trial 2 with value: 53.29949667787766.
[I 2024-11-26 01:42:45,228] Trial 6 finished with value: 65.8729994350213 and parameters: {'factor': 0.6475140035763457, 'self_conf': 2.160251659985123, 'swarm_conf': 0.8872735825244307, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6924590856749856, 'angle': 16.359985377182802, 'sigma': 0.26071987392459245}. Best is trial 2 with value: 53.29949667787766.
[I 2024-11-26 01:42:46,490] Trial 7 finished with value: 69.85331154820423 and parameters: {'factor': 0.16015219421258797, 'self_conf': 1.1096346619807538, 'swarm_conf': 1.3602621889798632, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.1899460743835517, 'angle': 17.314914816279977, 'sigma': 0.19169259472988026}. Best is trial 2 with value: 53.29949667787766.
[I 2024-11-26 01:42:47,699] Trial 8 finished with value: 92.71372658347389 and parameters: {'factor': 0.10738232677512248, 'self_conf': 1.5190127052143978, 'swarm_conf': 1.8687779152411697, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.2949478931889238, 'angle': 20.314611945294693, 'sigma': 0.12746688696349587}. Best is trial 2 with value: 53.29949667787766.
[I 2024-11-26 01:42:48,923] Trial 9 finished with value: 66.22443341694756 and parameters: {'factor': 0.34659795142953564, 'self_conf': 0.5622184498665391, 'swarm_conf': 0.43130423149264024, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7756933953865982, 'angle': 21.176886388825935, 'sigma': 0.14370667460484993}. Best is trial 2 with value: 53.29949667787766.
[I 2024-11-26 01:42:50,151] Trial 10 finished with value: 59.352448879017814 and parameters: {'factor': 0.5114852931415186, 'self_conf': 0.2517577261543318, 'swarm_conf': 2.861148026208389, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.6168001337143314, 'angle': 9.951687408485682, 'sigma': 0.2971222016530989}. Best is trial 2 with value: 53.29949667787766.
