Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.24159568251134875, 'angle': 2.7101079429018036, 'sigma': 0.07327918418294045, 'factor': 0.3959304978161893, 'self_conf': 0.31022309629494177, 'swarm_conf': 1.0251740383314503, 'version': 'constriction', 'distribution': 'levy'}
Mejor rendimiento encontrado:
48.010999852875024

Stderr:
[I 2024-11-26 00:23:34,413] A new study created in memory with name: no-name-b857f8a9-338b-4a10-bc13-520cd37d6d1e
[I 2024-11-26 00:23:37,785] Trial 0 finished with value: 63.181212042431014 and parameters: {'radius': 0.46763094011691797, 'angle': 14.400546263118535, 'sigma': 0.011263084731116224, 'factor': 0.5259656674566312, 'self_conf': 1.55704306996815, 'swarm_conf': 1.5071187190233197, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 63.181212042431014.
[I 2024-11-26 00:23:38,886] Trial 1 finished with value: 68.718758567755 and parameters: {'radius': 0.27530780749401407, 'angle': 10.642494612304064, 'sigma': 0.06650579075689225, 'factor': 0.49805146281583546, 'self_conf': 1.2523705969718324, 'swarm_conf': 0.34440050898776225, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 63.181212042431014.
[I 2024-11-26 00:23:40,014] Trial 2 finished with value: 56.21621981625213 and parameters: {'radius': 0.288200131397082, 'angle': 12.421985162823475, 'sigma': 0.027949135897373887, 'factor': 0.5905738072328758, 'self_conf': 1.1454945857018541, 'swarm_conf': 0.9132501174764949, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 2 with value: 56.21621981625213.
[I 2024-11-26 00:23:41,154] Trial 3 finished with value: 103.95151611218978 and parameters: {'radius': 0.644047851087656, 'angle': 13.546549841281895, 'sigma': 0.050326918007985166, 'factor': 0.8687007005078828, 'self_conf': 0.9287863992618803, 'swarm_conf': 2.084950983478655, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 2 with value: 56.21621981625213.
[I 2024-11-26 00:23:42,276] Trial 4 finished with value: 60.94102374900502 and parameters: {'radius': 0.2757189753062022, 'angle': 8.34656126429553, 'sigma': 0.09991540984632281, 'factor': 0.4469094444579467, 'self_conf': 2.521414767090628, 'swarm_conf': 2.25279176883285, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 2 with value: 56.21621981625213.
[I 2024-11-26 00:23:43,419] Trial 5 finished with value: 74.62163563533284 and parameters: {'radius': 0.14917642225869088, 'angle': 10.424523470988747, 'sigma': 0.08820365505794216, 'factor': 0.5427538598762245, 'self_conf': 2.725380077221006, 'swarm_conf': 1.1293016420686228, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 2 with value: 56.21621981625213.
[I 2024-11-26 00:23:44,511] Trial 6 finished with value: 99.65957290222546 and parameters: {'radius': 0.619786712681244, 'angle': 21.15986604458034, 'sigma': 0.09225519976424515, 'factor': 0.7277769757666576, 'self_conf': 1.5588491789461587, 'swarm_conf': 1.6415195052012581, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 2 with value: 56.21621981625213.
[I 2024-11-26 00:23:45,580] Trial 7 finished with value: 85.59088333360533 and parameters: {'radius': 0.5373097718161953, 'angle': 21.696868588122936, 'sigma': 0.013807782439186813, 'factor': 0.7865777670450055, 'self_conf': 2.9893563416820115, 'swarm_conf': 0.2278827244260376, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 56.21621981625213.
[I 2024-11-26 00:23:46,679] Trial 8 finished with value: 58.691390268134754 and parameters: {'radius': 0.42336315546827363, 'angle': 18.34386708163177, 'sigma': 0.04711450736087121, 'factor': 0.6259622185293284, 'self_conf': 1.4449419941208688, 'swarm_conf': 0.6630640589430071, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 56.21621981625213.
[I 2024-11-26 00:23:47,791] Trial 9 finished with value: 119.96712103115911 and parameters: {'radius': 0.8915093939129028, 'angle': 18.619447518078804, 'sigma': 0.02787198016795938, 'factor': 0.8711796408735833, 'self_conf': 1.86267971532276, 'swarm_conf': 1.4245978060814062, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 2 with value: 56.21621981625213.
[I 2024-11-26 00:23:48,970] Trial 10 finished with value: 68.90048708698592 and parameters: {'radius': 0.1085246053929605, 'angle': 4.475119945265075, 'sigma': 0.03205449435794453, 'factor': 0.3232802450949306, 'self_conf': 0.14753552554036076, 'swarm_conf': 2.704529763256077, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 2 with value: 56.21621981625213.
[I 2024-11-26 00:23:50,071] Trial 11 finished with value: 64.69705554393643 and parameters: {'radius': 0.35891506189529115, 'angle': 16.266116905932623, 'sigma': 0.05119367807515504, 'factor': 0.6479586470106408, 'self_conf': 0.8410515231732165, 'swarm_conf': 0.7830883465065038, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 56.21621981625213.
