Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.6088080870725964, 'angle': 21.165034969672003, 'sigma': 0.32788304692157205, 'factor': 0.8983206403164314, 'self_conf': 2.2960112945472613, 'swarm_conf': 2.370865318394874, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
49.74935805866046

Stderr:
[I 2024-11-26 00:30:23,425] A new study created in memory with name: no-name-c3861b53-e1de-41e1-8116-91eae7a6c763
[I 2024-11-26 00:30:27,227] Trial 0 finished with value: 144.75912365048174 and parameters: {'radius': 0.7975688100509866, 'angle': 21.466984390192636, 'sigma': 0.12391853227951333, 'factor': 0.7775350932715313, 'self_conf': 2.5331594387259235, 'swarm_conf': 2.213740739310333, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 144.75912365048174.
[I 2024-11-26 00:30:28,494] Trial 1 finished with value: 117.92571282538427 and parameters: {'radius': 0.6179529153151655, 'angle': 24.13035418086574, 'sigma': 0.20811181497752065, 'factor': 0.42031551272065926, 'self_conf': 2.678483214412173, 'swarm_conf': 2.0513849185685413, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 1 with value: 117.92571282538427.
[I 2024-11-26 00:30:29,747] Trial 2 finished with value: 113.8204747552355 and parameters: {'radius': 0.34694777214806294, 'angle': 22.28482406436014, 'sigma': 0.3261820997991127, 'factor': 0.18242967328747461, 'self_conf': 2.063158124642443, 'swarm_conf': 2.7317491781359395, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 2 with value: 113.8204747552355.
[I 2024-11-26 00:30:31,019] Trial 3 finished with value: 71.73383766385004 and parameters: {'radius': 0.32617153826885475, 'angle': 20.270479507629297, 'sigma': 0.4769441231496449, 'factor': 0.7976404101767502, 'self_conf': 2.634603532076403, 'swarm_conf': 2.6699938480808516, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 3 with value: 71.73383766385004.
[I 2024-11-26 00:30:32,250] Trial 4 finished with value: 142.44125074812285 and parameters: {'radius': 0.8856085710631278, 'angle': 22.392989069104605, 'sigma': 0.40339836949083524, 'factor': 0.773195424870392, 'self_conf': 2.6647933946579667, 'swarm_conf': 2.9373042498390585, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 3 with value: 71.73383766385004.
[I 2024-11-26 00:30:33,523] Trial 5 finished with value: 74.87020438578317 and parameters: {'radius': 0.38641855358345173, 'angle': 22.8990763924351, 'sigma': 0.10718970024476701, 'factor': 0.41936167967243687, 'self_conf': 2.705379657606625, 'swarm_conf': 2.0367571122074972, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 3 with value: 71.73383766385004.
[I 2024-11-26 00:30:34,702] Trial 6 finished with value: 102.12520406692511 and parameters: {'radius': 0.3264753125381458, 'angle': 24.130922261552126, 'sigma': 0.30526514164068225, 'factor': 0.3596076702857586, 'self_conf': 2.034506492726547, 'swarm_conf': 2.874966797819937, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 3 with value: 71.73383766385004.
[I 2024-11-26 00:30:35,956] Trial 7 finished with value: 76.86933068057911 and parameters: {'radius': 0.33503142484835813, 'angle': 23.568192753259897, 'sigma': 0.23283299776446975, 'factor': 0.4310747176600274, 'self_conf': 2.898492806220546, 'swarm_conf': 2.6910234999405476, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 3 with value: 71.73383766385004.
[I 2024-11-26 00:30:37,147] Trial 8 finished with value: 75.00340180051157 and parameters: {'radius': 0.15755244894034517, 'angle': 22.771646358404762, 'sigma': 0.4823415784765692, 'factor': 0.41143736707033896, 'self_conf': 2.070711575172818, 'swarm_conf': 2.5214677114376935, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 3 with value: 71.73383766385004.
[I 2024-11-26 00:30:38,344] Trial 9 finished with value: 80.6178532972454 and parameters: {'radius': 0.4019778779526795, 'angle': 22.238423610587894, 'sigma': 0.49134245331516435, 'factor': 0.5767676903408073, 'self_conf': 2.1578896192420585, 'swarm_conf': 2.7018089027619547, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 3 with value: 71.73383766385004.
[I 2024-11-26 00:30:39,564] Trial 10 finished with value: 70.64838970538796 and parameters: {'radius': 0.10942872954021837, 'angle': 20.71009380756284, 'sigma': 0.39636920969976436, 'factor': 0.879484656130572, 'self_conf': 2.32291432201297, 'swarm_conf': 2.4292382359824316, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 10 with value: 70.64838970538796.
[I 2024-11-26 00:30:40,763] Trial 11 finished with value: 77.09064502708767 and parameters: {'radius': 0.12037288400605928, 'angle': 20.149015126761167, 'sigma': 0.3913354122299978, 'factor': 0.891952862069339, 'self_conf': 2.3294185608360487, 'swarm_conf': 2.3570223630165295, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 10 with value: 70.64838970538796.
[I 2024-11-26 00:30:41,971] Trial 12 finished with value: 84.3373797673468 and parameters: {'radius': 0.20663729698681338, 'angle': 20.134693041050173, 'sigma': 0.4059782658670964, 'factor': 0.6476061587988643, 'self_conf': 2.3490147943100728, 'swarm_conf': 2.487176935343058, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 10 with value: 70.64838970538796.
[I 2024-11-26 00:30:43,162] Trial 13 finished with value: 55.11238146728169 and parameters: {'radius': 0.5466006173448632, 'angle': 21.088826339008143, 'sigma': 0.4418641142861086, 'factor': 0.8474760082905619, 'self_conf': 2.373318854612505, 'swarm_conf': 2.5158784916978965, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 13 with value: 55.11238146728169.
[I 2024-11-26 00:30:44,334] Trial 14 finished with value: 49.74935805866046 and parameters: {'radius': 0.6088080870725964, 'angle': 21.165034969672003, 'sigma': 0.32788304692157205, 'factor': 0.8983206403164314, 'self_conf': 2.2960112945472613, 'swarm_conf': 2.370865318394874, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 14 with value: 49.74935805866046.
