Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.5235039164891782, 'self_conf': 2.492754606844737, 'swarm_conf': 2.916950519085513, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5191420580683309, 'angle': 10.181263271855908, 'sigma': 0.19923463467465435}
Mejor rendimiento encontrado:
43.280574332373575

Stderr:
[I 2024-11-26 00:57:44,648] A new study created in memory with name: no-name-ce22587d-6a70-48a1-a861-778cf57d0906
[I 2024-11-26 00:57:47,678] Trial 0 finished with value: 72.85004901732583 and parameters: {'factor': 0.6051828751508183, 'self_conf': 2.727984631096078, 'swarm_conf': 2.4593400118141413, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6260541947816758, 'angle': 22.56100352822692, 'sigma': 0.08575130193404297}. Best is trial 0 with value: 72.85004901732583.
[I 2024-11-26 00:57:48,823] Trial 1 finished with value: 107.23660782254314 and parameters: {'factor': 0.8613219797132871, 'self_conf': 2.7587333172690243, 'swarm_conf': 2.377557290600496, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.7298359858496359, 'angle': 15.547944044396152, 'sigma': 0.12350099236530572}. Best is trial 0 with value: 72.85004901732583.
[I 2024-11-26 00:57:49,965] Trial 2 finished with value: 92.71702111973563 and parameters: {'factor': 0.6890720714069692, 'self_conf': 2.7247623596885395, 'swarm_conf': 2.225011513536728, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8528063716708442, 'angle': 20.685454995565628, 'sigma': 0.12002534934592217}. Best is trial 0 with value: 72.85004901732583.
[I 2024-11-26 00:57:51,133] Trial 3 finished with value: 72.89528516536055 and parameters: {'factor': 0.7862839252244707, 'self_conf': 2.134403670188826, 'swarm_conf': 2.1186639644157568, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8551714632625294, 'angle': 24.146214155521992, 'sigma': 0.05216085514788197}. Best is trial 0 with value: 72.85004901732583.
[I 2024-11-26 00:57:52,306] Trial 4 finished with value: 108.68837137026921 and parameters: {'factor': 0.8291777784682423, 'self_conf': 2.0422916464460465, 'swarm_conf': 2.312440917702517, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.6752535579291411, 'angle': 24.990012097614485, 'sigma': 0.16487443120459294}. Best is trial 0 with value: 72.85004901732583.
[I 2024-11-26 00:57:53,476] Trial 5 finished with value: 85.83732267093987 and parameters: {'factor': 0.7837609774174155, 'self_conf': 2.359399835264104, 'swarm_conf': 2.794794891534891, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7821183975489953, 'angle': 14.233952050720054, 'sigma': 0.18607120200950525}. Best is trial 0 with value: 72.85004901732583.
[I 2024-11-26 00:57:54,643] Trial 6 finished with value: 117.86167003790545 and parameters: {'factor': 0.6908065647395856, 'self_conf': 2.854451578468871, 'swarm_conf': 2.4984727558048783, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8601561575722502, 'angle': 14.237642449496922, 'sigma': 0.08146120133866311}. Best is trial 0 with value: 72.85004901732583.
[I 2024-11-26 00:57:55,783] Trial 7 finished with value: 102.69758288314554 and parameters: {'factor': 0.8332742297606665, 'self_conf': 2.7709795267119377, 'swarm_conf': 2.580674619661949, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.5819131199717252, 'angle': 24.14928657579114, 'sigma': 0.12112195977303092}. Best is trial 0 with value: 72.85004901732583.
[I 2024-11-26 00:57:56,967] Trial 8 finished with value: 106.52101957111246 and parameters: {'factor': 0.571414353240168, 'self_conf': 2.2208948489653353, 'swarm_conf': 2.1016173399500584, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.7684372168793733, 'angle': 15.360930714396495, 'sigma': 0.1376828915412044}. Best is trial 0 with value: 72.85004901732583.
[I 2024-11-26 00:57:58,147] Trial 9 finished with value: 48.50416385452694 and parameters: {'factor': 0.6131884630319311, 'self_conf': 2.152229228336407, 'swarm_conf': 2.495713768613838, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6608963004775663, 'angle': 10.50059677417889, 'sigma': 0.17614310238884334}. Best is trial 9 with value: 48.50416385452694.
[I 2024-11-26 00:57:59,387] Trial 10 finished with value: 43.280574332373575 and parameters: {'factor': 0.5235039164891782, 'self_conf': 2.492754606844737, 'swarm_conf': 2.916950519085513, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5191420580683309, 'angle': 10.181263271855908, 'sigma': 0.19923463467465435}. Best is trial 10 with value: 43.280574332373575.
[I 2024-11-26 00:58:00,640] Trial 11 finished with value: 51.24022447120145 and parameters: {'factor': 0.5288991910728383, 'self_conf': 2.503644985263965, 'swarm_conf': 2.995841275516905, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5117184927749956, 'angle': 10.104109664534437, 'sigma': 0.19747846224338578}. Best is trial 10 with value: 43.280574332373575.
[I 2024-11-26 00:58:01,883] Trial 12 finished with value: 58.4536111372999 and parameters: {'factor': 0.5034463951053179, 'self_conf': 2.5350913940851694, 'swarm_conf': 2.7394355592131294, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5096383374687571, 'angle': 10.911328978422098, 'sigma': 0.1670462513293798}. Best is trial 10 with value: 43.280574332373575.
[I 2024-11-26 00:58:03,134] Trial 13 finished with value: 52.971690783919115 and parameters: {'factor': 0.6195769829396651, 'self_conf': 2.3039301769271585, 'swarm_conf': 2.701325854246414, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5875563213626184, 'angle': 12.09175931495082, 'sigma': 0.1720532575471571}. Best is trial 10 with value: 43.280574332373575.
[I 2024-11-26 00:58:04,345] Trial 14 finished with value: 58.950836713517674 and parameters: {'factor': 0.6468608001881063, 'self_conf': 2.3967259159593586, 'swarm_conf': 2.9527961149770228, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6581899194446617, 'angle': 18.962098951316033, 'sigma': 0.15156022719970227}. Best is trial 10 with value: 43.280574332373575.
