Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.4848075969081964, 'self_conf': 2.54, 'swarm_conf': 3, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
66.48465785381362

Stderr:
[I 2024-11-26 01:02:14,347] A new study created in memory with name: no-name-a46a2718-f238-4b0d-9d96-39fc0ee3d715
[I 2024-11-26 01:02:17,428] Trial 0 finished with value: 114.48902706101804 and parameters: {'factor': 0.6694727036652357, 'self_conf': 3, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 0 with value: 114.48902706101804.
[I 2024-11-26 01:02:18,151] Trial 1 finished with value: 125.46598485516549 and parameters: {'factor': 0.8604883818501401, 'self_conf': 3, 'swarm_conf': 2.56, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 114.48902706101804.
[I 2024-11-26 01:02:18,865] Trial 2 finished with value: 66.48465785381362 and parameters: {'factor': 0.4848075969081964, 'self_conf': 2.54, 'swarm_conf': 3, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 66.48465785381362.
[I 2024-11-26 01:02:19,606] Trial 3 finished with value: 114.90894729219401 and parameters: {'factor': 0.65312319418761, 'self_conf': 2.54, 'swarm_conf': 3, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 2 with value: 66.48465785381362.
[I 2024-11-26 01:02:20,345] Trial 4 finished with value: 126.80175121886134 and parameters: {'factor': 0.6314883831036823, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 66.48465785381362.
[I 2024-11-26 01:02:21,096] Trial 5 finished with value: 128.60918088894277 and parameters: {'factor': 0.5778252578118642, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 2 with value: 66.48465785381362.
[I 2024-11-26 01:02:21,889] Trial 6 finished with value: 124.8756453964632 and parameters: {'factor': 0.711299729077017, 'self_conf': 3, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 2 with value: 66.48465785381362.
[I 2024-11-26 01:02:22,646] Trial 7 finished with value: 115.14456806804272 and parameters: {'factor': 0.46745286275326087, 'self_conf': 3, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 2 with value: 66.48465785381362.
[I 2024-11-26 01:02:23,434] Trial 8 finished with value: 119.11901981246154 and parameters: {'factor': 0.5830925602783535, 'self_conf': 3, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 2 with value: 66.48465785381362.
[I 2024-11-26 01:02:24,163] Trial 9 finished with value: 122.71390525431764 and parameters: {'factor': 0.44664418319049065, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 66.48465785381362.
[I 2024-11-26 01:02:24,916] Trial 10 finished with value: 85.22331070627506 and parameters: {'factor': 0.20221429075784103, 'self_conf': 2.54, 'swarm_conf': 3, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 66.48465785381362.
[I 2024-11-26 01:02:25,647] Trial 11 finished with value: 89.58783996175266 and parameters: {'factor': 0.17963582108001785, 'self_conf': 2.54, 'swarm_conf': 3, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 66.48465785381362.
[I 2024-11-26 01:02:26,369] Trial 12 finished with value: 89.17077579692607 and parameters: {'factor': 0.22794199144485708, 'self_conf': 2.54, 'swarm_conf': 3, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 66.48465785381362.
[I 2024-11-26 01:02:27,107] Trial 13 finished with value: 71.96933765997201 and parameters: {'factor': 0.3022443521545377, 'self_conf': 2.54, 'swarm_conf': 3, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 66.48465785381362.
[I 2024-11-26 01:02:27,834] Trial 14 finished with value: 78.77877486731828 and parameters: {'factor': 0.3391663618157299, 'self_conf': 2.54, 'swarm_conf': 3, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 66.48465785381362.
