Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.5853395656784977, 'self_conf': 2.5, 'swarm_conf': 2.54, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.8014656963906133, 'scale': 0.9715265478343825}
Mejor rendimiento encontrado:
17.383252430611925

Stderr:
[I 2024-11-26 01:19:42,451] A new study created in memory with name: no-name-a526a798-77e0-4ae3-b126-b15bcd182289
[I 2024-11-26 01:19:45,067] Trial 0 finished with value: 122.44656396891104 and parameters: {'factor': 0.8069906868947943, 'self_conf': 3.0, 'swarm_conf': 3.0, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.9269152912702783, 'scale': 0.9112512485471276}. Best is trial 0 with value: 122.44656396891104.
[I 2024-11-26 01:19:45,822] Trial 1 finished with value: 102.44827509023717 and parameters: {'factor': 0.9658320490858079, 'self_conf': 3.0, 'swarm_conf': 3.0, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.9384847135972345, 'scale': 1.2680999270336308}. Best is trial 1 with value: 102.44827509023717.
[I 2024-11-26 01:19:46,553] Trial 2 finished with value: 34.017539087666776 and parameters: {'factor': 0.9972470332977817, 'self_conf': 3.0, 'swarm_conf': 2.54, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.5987813068362715, 'scale': 1.2827723666124224}. Best is trial 2 with value: 34.017539087666776.
[I 2024-11-26 01:19:47,287] Trial 3 finished with value: 31.838462918442126 and parameters: {'factor': 0.9643024709660422, 'self_conf': 2.5, 'swarm_conf': 2.54, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.6703518786250551, 'scale': 1.1990889135021763}. Best is trial 3 with value: 31.838462918442126.
[I 2024-11-26 01:19:48,043] Trial 4 finished with value: 127.95469397134488 and parameters: {'factor': 0.8909360565521572, 'self_conf': 2.5, 'swarm_conf': 2.54, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.5568652342427843, 'scale': 0.7091685553268394}. Best is trial 3 with value: 31.838462918442126.
[I 2024-11-26 01:19:48,811] Trial 5 finished with value: 28.30948393783733 and parameters: {'factor': 0.8374149373361923, 'self_conf': 3.0, 'swarm_conf': 2.54, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.6098653673221643, 'scale': 1.4336183280735642}. Best is trial 5 with value: 28.30948393783733.
[I 2024-11-26 01:19:49,562] Trial 6 finished with value: 106.71632460936752 and parameters: {'factor': 0.6889754325840596, 'self_conf': 2.5, 'swarm_conf': 2.54, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.7324015078815951, 'scale': 0.640521716899848}. Best is trial 5 with value: 28.30948393783733.
[I 2024-11-26 01:19:50,341] Trial 7 finished with value: 154.93724644657703 and parameters: {'factor': 0.892359978129601, 'self_conf': 2.5, 'swarm_conf': 2.54, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.8508930949653861, 'scale': 1.5855170074573843}. Best is trial 5 with value: 28.30948393783733.
[I 2024-11-26 01:19:51,121] Trial 8 finished with value: 22.311128824090115 and parameters: {'factor': 0.7628601679416696, 'self_conf': 2.5, 'swarm_conf': 2.54, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.7866734320857958, 'scale': 0.9527821784461185}. Best is trial 8 with value: 22.311128824090115.
[I 2024-11-26 01:19:51,889] Trial 9 finished with value: 134.41131714159536 and parameters: {'factor': 0.6747268099830077, 'self_conf': 2.5, 'swarm_conf': 3.0, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.9040318487652101, 'scale': 0.6556434785160393}. Best is trial 8 with value: 22.311128824090115.
[I 2024-11-26 01:19:52,664] Trial 10 finished with value: 38.22544097758582 and parameters: {'factor': 0.5095219314577937, 'self_conf': 2.5, 'swarm_conf': 3.0, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.8084827346605468, 'scale': 1.9545856602049518}. Best is trial 8 with value: 22.311128824090115.
[I 2024-11-26 01:19:53,416] Trial 11 finished with value: 26.612497119713055 and parameters: {'factor': 0.7496659148150496, 'self_conf': 3.0, 'swarm_conf': 2.54, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.6623555851163286, 'scale': 1.6333812605033327}. Best is trial 8 with value: 22.311128824090115.
[I 2024-11-26 01:19:54,164] Trial 12 finished with value: 28.079669259517964 and parameters: {'factor': 0.6994984723806741, 'self_conf': 3.0, 'swarm_conf': 2.54, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.7363459331644067, 'scale': 1.8616086764348445}. Best is trial 8 with value: 22.311128824090115.
[I 2024-11-26 01:19:54,922] Trial 13 finished with value: 26.553435198775656 and parameters: {'factor': 0.6008193625339232, 'self_conf': 3.0, 'swarm_conf': 2.54, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.6844814785097113, 'scale': 0.9699068782928636}. Best is trial 8 with value: 22.311128824090115.
[I 2024-11-26 01:19:55,673] Trial 14 finished with value: 17.383252430611925 and parameters: {'factor': 0.5853395656784977, 'self_conf': 2.5, 'swarm_conf': 2.54, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.8014656963906133, 'scale': 0.9715265478343825}. Best is trial 14 with value: 17.383252430611925.
