Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.6575122243655356, 'self_conf': 2.058076047634071, 'swarm_conf': 2.6351133030823024, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
30.637454091343244

Stderr:
[I 2024-11-26 01:25:17,460] A new study created in memory with name: no-name-e0a9c5c3-bca8-4e32-8c90-297fc900f5e6
[I 2024-11-26 01:25:20,727] Trial 0 finished with value: 128.27849511938481 and parameters: {'factor': 0.79671857274959, 'self_conf': 2.7739167291630777, 'swarm_conf': 2.826487634702679, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 128.27849511938481.
[I 2024-11-26 01:25:21,478] Trial 1 finished with value: 118.69042561892097 and parameters: {'factor': 0.748730125265844, 'self_conf': 2.34850711039097, 'swarm_conf': 2.940466962360037, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 118.69042561892097.
[I 2024-11-26 01:25:22,235] Trial 2 finished with value: 129.0997732752902 and parameters: {'factor': 0.7472294377705502, 'self_conf': 2.2093064111778666, 'swarm_conf': 2.1455072823914407, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 118.69042561892097.
[I 2024-11-26 01:25:22,987] Trial 3 finished with value: 119.65429665958702 and parameters: {'factor': 0.7281696690739876, 'self_conf': 2.9091309255493316, 'swarm_conf': 2.993012571348256, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 1 with value: 118.69042561892097.
[I 2024-11-26 01:25:23,754] Trial 4 finished with value: 128.15661186062442 and parameters: {'factor': 0.8887521359652178, 'self_conf': 2.905229186345195, 'swarm_conf': 2.6855814732839907, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 1 with value: 118.69042561892097.
[I 2024-11-26 01:25:24,534] Trial 5 finished with value: 126.49312146742214 and parameters: {'factor': 0.8185816812031442, 'self_conf': 2.4362097729948746, 'swarm_conf': 2.090380424671074, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 1 with value: 118.69042561892097.
[I 2024-11-26 01:25:25,311] Trial 6 finished with value: 51.59171464618726 and parameters: {'factor': 0.5594006394137194, 'self_conf': 2.7454173123451824, 'swarm_conf': 2.5131647855191304, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 6 with value: 51.59171464618726.
[I 2024-11-26 01:25:26,081] Trial 7 finished with value: 125.03028563924296 and parameters: {'factor': 0.7550535444514964, 'self_conf': 2.7611928157685903, 'swarm_conf': 2.9134378012416513, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 6 with value: 51.59171464618726.
[I 2024-11-26 01:25:26,849] Trial 8 finished with value: 96.92818617398386 and parameters: {'factor': 0.5925295436858712, 'self_conf': 2.7426169945485257, 'swarm_conf': 2.867364236653225, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 6 with value: 51.59171464618726.
[I 2024-11-26 01:25:27,607] Trial 9 finished with value: 124.9756884776198 and parameters: {'factor': 0.7859741305074907, 'self_conf': 2.628127307442776, 'swarm_conf': 2.2613508002464475, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 6 with value: 51.59171464618726.
[I 2024-11-26 01:25:28,385] Trial 10 finished with value: 63.74790468637971 and parameters: {'factor': 0.5069035412823959, 'self_conf': 2.550080327991036, 'swarm_conf': 2.4358499389571477, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 6 with value: 51.59171464618726.
[I 2024-11-26 01:25:29,152] Trial 11 finished with value: 58.868844518883186 and parameters: {'factor': 0.5022063288941072, 'self_conf': 2.6068256448209195, 'swarm_conf': 2.4496224274166174, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 6 with value: 51.59171464618726.
[I 2024-11-26 01:25:29,962] Trial 12 finished with value: 43.11550558645396 and parameters: {'factor': 0.5099307515452178, 'self_conf': 2.0619521894626414, 'swarm_conf': 2.492478084272016, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 12 with value: 43.11550558645396.
[I 2024-11-26 01:25:30,748] Trial 13 finished with value: 37.99405802896027 and parameters: {'factor': 0.6232702551143131, 'self_conf': 2.0195811485405004, 'swarm_conf': 2.6211538512393453, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 13 with value: 37.99405802896027.
[I 2024-11-26 01:25:31,543] Trial 14 finished with value: 30.637454091343244 and parameters: {'factor': 0.6575122243655356, 'self_conf': 2.058076047634071, 'swarm_conf': 2.6351133030823024, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 14 with value: 30.637454091343244.
