Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.24427818459587952, 'angle': 0.4236274307037995, 'sigma': 0.11992113266348882, 'factor': 0.6866042222609912, 'self_conf': 1.4322831118586108, 'swarm_conf': 1.7951575086980234, 'version': 'constriction', 'distribution': 'gaussian'}
Mejor rendimiento encontrado:
36.84286314497896

Stderr:
[I 2024-11-26 08:47:50,670] A new study created in memory with name: no-name-6f8491b3-00ba-45cb-b446-7ddb1c03926b
[I 2024-11-26 08:47:55,035] Trial 0 finished with value: 53.478442987423655 and parameters: {'radius': 0.24284955503072198, 'angle': 6.004737501422566, 'sigma': 0.08204408287526307, 'factor': 0.5578674517676947, 'self_conf': 1.3757431084041551, 'swarm_conf': 2.097272197513595, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 0 with value: 53.478442987423655.
[I 2024-11-26 08:47:56,904] Trial 1 finished with value: 66.06980818409797 and parameters: {'radius': 0.494561939146463, 'angle': 17.809612056527495, 'sigma': 0.22782074094005234, 'factor': 0.43959858706159927, 'self_conf': 0.8048882786488235, 'swarm_conf': 0.9452142845565541, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 53.478442987423655.
[I 2024-11-26 08:47:58,446] Trial 2 finished with value: 126.28962094636258 and parameters: {'radius': 0.842195330603758, 'angle': 2.7700628672402687, 'sigma': 0.15163925665033595, 'factor': 0.8797056204015181, 'self_conf': 0.40119163211596676, 'swarm_conf': 0.46217948591503794, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 0 with value: 53.478442987423655.
[I 2024-11-26 08:47:59,843] Trial 3 finished with value: 136.68786085528308 and parameters: {'radius': 0.755804630913133, 'angle': 3.6282557102943995, 'sigma': 0.04050407342781562, 'factor': 0.8041396871268603, 'self_conf': 2.6826936572539983, 'swarm_conf': 0.8466895207085191, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 53.478442987423655.
[I 2024-11-26 08:48:01,190] Trial 4 finished with value: 112.09760559762893 and parameters: {'radius': 0.8161398612793308, 'angle': 21.68130670743792, 'sigma': 0.20928982228055298, 'factor': 0.5406934709020982, 'self_conf': 0.22398089872906876, 'swarm_conf': 1.3305748229451044, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 0 with value: 53.478442987423655.
[I 2024-11-26 08:48:02,614] Trial 5 finished with value: 88.80574487405026 and parameters: {'radius': 0.09959834969500232, 'angle': 6.54922460438342, 'sigma': 0.0931136527651517, 'factor': 0.1355599281092081, 'self_conf': 1.9799584033742523, 'swarm_conf': 1.2958799584468492, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 0 with value: 53.478442987423655.
[I 2024-11-26 08:48:03,971] Trial 6 finished with value: 50.68000167617087 and parameters: {'radius': 0.2320650328426915, 'angle': 1.5032506637056242, 'sigma': 0.015517040646576625, 'factor': 0.8317414473787841, 'self_conf': 1.5942666385757949, 'swarm_conf': 1.9319989972915774, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 6 with value: 50.68000167617087.
[I 2024-11-26 08:48:05,381] Trial 7 finished with value: 136.02158781845833 and parameters: {'radius': 0.8132949093851767, 'angle': 6.487114388935576, 'sigma': 0.20539425585604013, 'factor': 0.599168181013396, 'self_conf': 0.9089826375016397, 'swarm_conf': 2.2634059178139863, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 6 with value: 50.68000167617087.
[I 2024-11-26 08:48:06,924] Trial 8 finished with value: 59.557002718307494 and parameters: {'radius': 0.368579413978531, 'angle': 20.001550857797188, 'sigma': 0.06430336443110157, 'factor': 0.2670077675623202, 'self_conf': 1.8339168292510164, 'swarm_conf': 2.1920975208801257, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 6 with value: 50.68000167617087.
[I 2024-11-26 08:48:08,396] Trial 9 finished with value: 84.54398837176146 and parameters: {'radius': 0.03093116395845489, 'angle': 13.783863220036427, 'sigma': 0.05620256304796342, 'factor': 0.41465610007668885, 'self_conf': 1.4906234562519989, 'swarm_conf': 2.397892006829942, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 6 with value: 50.68000167617087.
[I 2024-11-26 08:48:09,641] Trial 10 finished with value: 93.41568663574476 and parameters: {'radius': 0.6042794663021511, 'angle': 11.691474273355684, 'sigma': 0.293883501902652, 'factor': 0.7374959152613476, 'self_conf': 2.9297385011287744, 'swarm_conf': 2.8404523391384187, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 6 with value: 50.68000167617087.
[I 2024-11-26 08:48:10,912] Trial 11 finished with value: 36.84286314497896 and parameters: {'radius': 0.24427818459587952, 'angle': 0.4236274307037995, 'sigma': 0.11992113266348882, 'factor': 0.6866042222609912, 'self_conf': 1.4322831118586108, 'swarm_conf': 1.7951575086980234, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 11 with value: 36.84286314497896.
[I 2024-11-26 08:48:12,169] Trial 12 finished with value: 36.876354956491475 and parameters: {'radius': 0.2314629039830509, 'angle': 1.4319407259074886, 'sigma': 0.12674542901507102, 'factor': 0.7167314109188883, 'self_conf': 2.210376101667764, 'swarm_conf': 1.750073452779379, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 11 with value: 36.84286314497896.
[I 2024-11-26 08:48:13,419] Trial 13 finished with value: 49.13960822692818 and parameters: {'radius': 0.22419311373160575, 'angle': 0.1695298539236546, 'sigma': 0.13519034952833964, 'factor': 0.6920417917364254, 'self_conf': 2.3082652012549927, 'swarm_conf': 1.8164314209358985, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 11 with value: 36.84286314497896.
[I 2024-11-26 08:48:14,602] Trial 14 finished with value: 81.22965544339978 and parameters: {'radius': 0.3797090648237458, 'angle': 10.350606209374343, 'sigma': 0.12440176770854516, 'factor': 0.7017957198595168, 'self_conf': 2.3981416748476283, 'swarm_conf': 1.584381417074918, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 11 with value: 36.84286314497896.
