Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.6006420959844501, 'self_conf': 2.628535725740826, 'swarm_conf': 1.4764080728343987, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7324242439584918, 'angle': 8.7294246457444, 'sigma': 0.27304193938101573}
Mejor rendimiento encontrado:
27.31443935690867

Stderr:
[I 2024-11-26 09:33:20,368] A new study created in memory with name: no-name-83acab13-fe0b-4b0c-8723-889a4199e57b
[I 2024-11-26 09:33:23,810] Trial 0 finished with value: 133.09328084307708 and parameters: {'factor': 0.4364214143119126, 'self_conf': 1.31852672428905, 'swarm_conf': 1.9456550967434656, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8877575242660156, 'angle': 23.96871467553147, 'sigma': 0.18072927878079487}. Best is trial 0 with value: 133.09328084307708.
[I 2024-11-26 09:33:24,996] Trial 1 finished with value: 62.03059616244082 and parameters: {'factor': 0.7692333901442313, 'self_conf': 2.0512767552808686, 'swarm_conf': 2.0934428534015117, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.44209663226529106, 'angle': 11.46214040719576, 'sigma': 0.3511928126641859}. Best is trial 1 with value: 62.03059616244082.
[I 2024-11-26 09:33:26,127] Trial 2 finished with value: 64.15225239727837 and parameters: {'factor': 0.7463084893102447, 'self_conf': 1.7426922982507649, 'swarm_conf': 1.788083724203965, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.46777949051685336, 'angle': 17.786090255162577, 'sigma': 0.4578996209303164}. Best is trial 1 with value: 62.03059616244082.
[I 2024-11-26 09:33:27,355] Trial 3 finished with value: 45.84358627938792 and parameters: {'factor': 0.3589000774843717, 'self_conf': 1.87446825276813, 'swarm_conf': 2.3519951947207494, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5499113435077838, 'angle': 18.422265670233827, 'sigma': 0.1548534974800857}. Best is trial 3 with value: 45.84358627938792.
[I 2024-11-26 09:33:28,469] Trial 4 finished with value: 89.72112737363739 and parameters: {'factor': 0.37882692881239416, 'self_conf': 2.0488775511557336, 'swarm_conf': 2.6095650246249225, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.563156845277378, 'angle': 15.590711254260256, 'sigma': 0.4507309544211748}. Best is trial 3 with value: 45.84358627938792.
[I 2024-11-26 09:33:29,574] Trial 5 finished with value: 29.668154776943986 and parameters: {'factor': 0.7581228607152286, 'self_conf': 2.964164412164883, 'swarm_conf': 1.0779879073073586, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7336513263830712, 'angle': 10.345387866841165, 'sigma': 0.37073553220176275}. Best is trial 5 with value: 29.668154776943986.
[I 2024-11-26 09:33:30,647] Trial 6 finished with value: 64.67570859299744 and parameters: {'factor': 0.857556289563913, 'self_conf': 1.2535510966787555, 'swarm_conf': 1.2796621587736692, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.1970582981109982, 'angle': 19.48867130770106, 'sigma': 0.3580630699835514}. Best is trial 5 with value: 29.668154776943986.
[I 2024-11-26 09:33:31,742] Trial 7 finished with value: 56.21521701991466 and parameters: {'factor': 0.8311547180321944, 'self_conf': 1.4693420950860767, 'swarm_conf': 2.49247011130438, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.504821051294606, 'angle': 6.127908247033008, 'sigma': 0.43320010432341033}. Best is trial 5 with value: 29.668154776943986.
[I 2024-11-26 09:33:32,862] Trial 8 finished with value: 44.27466269190937 and parameters: {'factor': 0.7479370879806525, 'self_conf': 2.198926601759052, 'swarm_conf': 1.9490268742931098, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.628295971915344, 'angle': 13.054291386421543, 'sigma': 0.2920668957998703}. Best is trial 5 with value: 29.668154776943986.
[I 2024-11-26 09:33:33,995] Trial 9 finished with value: 62.47680518794209 and parameters: {'factor': 0.44093767369970716, 'self_conf': 1.649350208926162, 'swarm_conf': 2.7904827616072847, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.300681632951095, 'angle': 13.430234930450782, 'sigma': 0.11587339415249831}. Best is trial 5 with value: 29.668154776943986.
[I 2024-11-26 09:33:35,115] Trial 10 finished with value: 30.94169310306986 and parameters: {'factor': 0.12062413203466682, 'self_conf': 2.873212428994777, 'swarm_conf': 1.0060449114201422, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.842315262176861, 'angle': 2.6858839469756113, 'sigma': 0.25219725112337926}. Best is trial 5 with value: 29.668154776943986.
[I 2024-11-26 09:33:36,271] Trial 11 finished with value: 34.30282557505782 and parameters: {'factor': 0.1006394690348304, 'self_conf': 2.7322779450367225, 'swarm_conf': 1.1068446127927751, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8863807607174223, 'angle': 1.0254758183349484, 'sigma': 0.2585743819864356}. Best is trial 5 with value: 29.668154776943986.
