Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.7631114523645598, 'self_conf': 2.998221085685541, 'swarm_conf': 2.7311927653003547, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8761093325728654, 'angle': 22.1051155212775, 'sigma': 0.0512381284361863}
Mejor rendimiento encontrado:
32.63741260927991

Stderr:
[I 2024-11-21 00:24:41,727] A new study created in memory with name: no-name-0e5a269c-512c-493a-a601-1c8638ae3f48
[I 2024-11-21 00:24:45,520] Trial 0 finished with value: 41.536258338118856 and parameters: {'factor': 0.7544093657148587, 'self_conf': 2.8340733872516046, 'swarm_conf': 2.9469458716928534, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8595328761859974, 'angle': 22.756973098280763, 'sigma': 0.07430778285965099}. Best is trial 0 with value: 41.536258338118856.
[I 2024-11-21 00:24:47,055] Trial 1 finished with value: 38.10113147780865 and parameters: {'factor': 0.7349057504781854, 'self_conf': 2.6039432930044395, 'swarm_conf': 2.7017131104945893, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8683552334876071, 'angle': 22.917691754752514, 'sigma': 0.06639304578087207}. Best is trial 1 with value: 38.10113147780865.
[I 2024-11-21 00:24:48,391] Trial 2 finished with value: 38.97386187826243 and parameters: {'factor': 0.7946632783812125, 'self_conf': 2.8597247436582838, 'swarm_conf': 2.694634830803606, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8742412229207938, 'angle': 22.037666579181536, 'sigma': 0.056599887700207366}. Best is trial 1 with value: 38.10113147780865.
[I 2024-11-21 00:24:49,676] Trial 3 finished with value: 152.69021638211711 and parameters: {'factor': 0.7243064428602571, 'self_conf': 2.792777072794327, 'swarm_conf': 2.8496197688858227, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8879990584828453, 'angle': 21.382440307043947, 'sigma': 0.07358656895869163}. Best is trial 1 with value: 38.10113147780865.
[I 2024-11-21 00:24:50,983] Trial 4 finished with value: 45.985889176812904 and parameters: {'factor': 0.8259874129884203, 'self_conf': 2.7803120554594676, 'swarm_conf': 2.619222895845828, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8483571662503248, 'angle': 21.451265679066314, 'sigma': 0.07820688979842524}. Best is trial 1 with value: 38.10113147780865.
[I 2024-11-21 00:24:52,222] Trial 5 finished with value: 153.9536080074304 and parameters: {'factor': 0.870022474948265, 'self_conf': 2.708796280811498, 'swarm_conf': 2.606475310030584, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8244268381827716, 'angle': 21.076588467881553, 'sigma': 0.058271998953307896}. Best is trial 1 with value: 38.10113147780865.
[I 2024-11-21 00:24:53,495] Trial 6 finished with value: 43.61417848940409 and parameters: {'factor': 0.8487778674915484, 'self_conf': 2.6236970783931692, 'swarm_conf': 2.895062454764863, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8506198018557121, 'angle': 22.65750760963838, 'sigma': 0.06295597269013324}. Best is trial 1 with value: 38.10113147780865.
[I 2024-11-21 00:24:54,767] Trial 7 finished with value: 60.14986291584655 and parameters: {'factor': 0.810107153562494, 'self_conf': 2.7401174954003884, 'swarm_conf': 2.8859114722082544, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8657555839840019, 'angle': 21.686222745661382, 'sigma': 0.08695655409554777}. Best is trial 1 with value: 38.10113147780865.
[I 2024-11-21 00:24:56,054] Trial 8 finished with value: 42.3020379485585 and parameters: {'factor': 0.7778110234551252, 'self_conf': 2.8544823807471325, 'swarm_conf': 2.6124010789096133, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8746419029950288, 'angle': 21.575247781110345, 'sigma': 0.0954111458351151}. Best is trial 1 with value: 38.10113147780865.
[I 2024-11-21 00:24:57,302] Trial 9 finished with value: 145.0468571629255 and parameters: {'factor': 0.8718200866626942, 'self_conf': 2.623285667241036, 'swarm_conf': 2.919956445455229, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8052476440725342, 'angle': 21.228885451253152, 'sigma': 0.094637658733773}. Best is trial 1 with value: 38.10113147780865.
[I 2024-11-21 00:24:58,534] Trial 10 finished with value: 157.9407688142464 and parameters: {'factor': 0.7110318822805861, 'self_conf': 2.5007970333709553, 'swarm_conf': 2.755685460562588, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8998291910651993, 'angle': 22.284024797158278, 'sigma': 0.06677788002161562}. Best is trial 1 with value: 38.10113147780865.
