Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.8876630999253723, 'self_conf': 3.0, 'swarm_conf': 2.5, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
50.56722300377304

Stderr:
[I 2024-11-21 00:29:03,824] A new study created in memory with name: no-name-b9959f62-514b-4c77-a523-ccf7d84c5500
[I 2024-11-21 00:29:06,389] Trial 0 finished with value: 117.3209483551606 and parameters: {'factor': 0.23361831560808738, 'self_conf': 2.5, 'swarm_conf': 2.5, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 117.3209483551606.
[I 2024-11-21 00:29:06,869] Trial 1 finished with value: 180.77839736088896 and parameters: {'factor': 0.45859594396853104, 'self_conf': 3.0, 'swarm_conf': 2.5, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 117.3209483551606.
[I 2024-11-21 00:29:07,329] Trial 2 finished with value: 157.06993735072552 and parameters: {'factor': 0.46726027186733665, 'self_conf': 3.0, 'swarm_conf': 2.5, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 117.3209483551606.
[I 2024-11-21 00:29:07,786] Trial 3 finished with value: 87.45034470278016 and parameters: {'factor': 0.5332650687061525, 'self_conf': 3.0, 'swarm_conf': 2.5, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 3 with value: 87.45034470278016.
[I 2024-11-21 00:29:08,256] Trial 4 finished with value: 68.99336503953394 and parameters: {'factor': 0.6118696109399475, 'self_conf': 2.5, 'swarm_conf': 3.0, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 4 with value: 68.99336503953394.
[I 2024-11-21 00:29:08,718] Trial 5 finished with value: 64.9110047288107 and parameters: {'factor': 0.8547256615938452, 'self_conf': 3.0, 'swarm_conf': 2.5, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 5 with value: 64.9110047288107.
[I 2024-11-21 00:29:09,107] Trial 6 finished with value: 80.8231791093771 and parameters: {'factor': 0.6390836578098881, 'self_conf': 3.0, 'swarm_conf': 3.0, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 5 with value: 64.9110047288107.
[I 2024-11-21 00:29:09,507] Trial 7 finished with value: 94.41764216777659 and parameters: {'factor': 0.1011244051025244, 'self_conf': 2.5, 'swarm_conf': 2.5, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 5 with value: 64.9110047288107.
[I 2024-11-21 00:29:09,912] Trial 8 finished with value: 70.77494551249862 and parameters: {'factor': 0.6349859874414459, 'self_conf': 2.5, 'swarm_conf': 3.0, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 5 with value: 64.9110047288107.
[I 2024-11-21 00:29:10,324] Trial 9 finished with value: 130.23605125690057 and parameters: {'factor': 0.12014714102449152, 'self_conf': 2.5, 'swarm_conf': 3.0, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 5 with value: 64.9110047288107.
[I 2024-11-21 00:29:10,725] Trial 10 finished with value: 59.91332397078121 and parameters: {'factor': 0.8667294679100459, 'self_conf': 3.0, 'swarm_conf': 2.5, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 10 with value: 59.91332397078121.
[I 2024-11-21 00:29:11,133] Trial 11 finished with value: 62.846360523861634 and parameters: {'factor': 0.8649419481855635, 'self_conf': 3.0, 'swarm_conf': 2.5, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 10 with value: 59.91332397078121.
[I 2024-11-21 00:29:11,535] Trial 12 finished with value: 50.56722300377304 and parameters: {'factor': 0.8876630999253723, 'self_conf': 3.0, 'swarm_conf': 2.5, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 12 with value: 50.56722300377304.
[I 2024-11-21 00:29:11,938] Trial 13 finished with value: 66.64376010298335 and parameters: {'factor': 0.7777639546490998, 'self_conf': 3.0, 'swarm_conf': 2.5, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 12 with value: 50.56722300377304.
[I 2024-11-21 00:29:12,344] Trial 14 finished with value: 59.97020560310047 and parameters: {'factor': 0.7493306062460366, 'self_conf': 3.0, 'swarm_conf': 2.5, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 12 with value: 50.56722300377304.
