Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.3957402827395901, 'self_conf': 2.2568008160256836, 'swarm_conf': 2.3221075041891215, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6318196136628489, 'angle': 2.067774088773747, 'sigma': 0.11226822266391662}
Mejor rendimiento encontrado:
28.744964218045794

Stderr:
[I 2024-11-21 00:37:00,788] A new study created in memory with name: no-name-11c99ebe-236b-4ac9-a633-22d2beed715b
[I 2024-11-21 00:37:04,397] Trial 0 finished with value: 30.63270545903397 and parameters: {'factor': 0.7184856331004897, 'self_conf': 2.4975870447668376, 'swarm_conf': 2.6320901767387785, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6309289768259633, 'angle': 1.993898480266065, 'sigma': 0.16473571694958367}. Best is trial 0 with value: 30.63270545903397.
[I 2024-11-21 00:37:05,801] Trial 1 finished with value: 35.992756837955895 and parameters: {'factor': 0.7689735190152526, 'self_conf': 2.1496303671458064, 'swarm_conf': 2.9154281517832463, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6652047238078204, 'angle': 2.128667595718281, 'sigma': 0.09723765265302155}. Best is trial 0 with value: 30.63270545903397.
[I 2024-11-21 00:37:07,199] Trial 2 finished with value: 38.829726067565915 and parameters: {'factor': 0.784725546962679, 'self_conf': 1.2102932448832298, 'swarm_conf': 2.6844506072784924, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7481759468281759, 'angle': 0.4429667749893911, 'sigma': 0.0795629235661956}. Best is trial 0 with value: 30.63270545903397.
[I 2024-11-21 00:37:08,652] Trial 3 finished with value: 45.27409829111908 and parameters: {'factor': 0.8574500394885527, 'self_conf': 0.8753347764900735, 'swarm_conf': 2.5470771393379463, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6567135149456969, 'angle': 0.6580956261731723, 'sigma': 0.09874903304700228}. Best is trial 0 with value: 30.63270545903397.
[I 2024-11-21 00:37:10,093] Trial 4 finished with value: 154.81072713881753 and parameters: {'factor': 0.15167513419123255, 'self_conf': 1.9085318225263188, 'swarm_conf': 2.7383869904023808, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8544549633305388, 'angle': 0.2884056899852645, 'sigma': 0.19096512348850816}. Best is trial 0 with value: 30.63270545903397.
[I 2024-11-21 00:37:11,508] Trial 5 finished with value: 49.49922151623789 and parameters: {'factor': 0.49370469869388184, 'self_conf': 1.5152593038203213, 'swarm_conf': 2.452852535383983, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.5793744553917803, 'angle': 1.796889626116592, 'sigma': 0.050784662464663205}. Best is trial 0 with value: 30.63270545903397.
[I 2024-11-21 00:37:12,940] Trial 6 finished with value: 62.262892747955334 and parameters: {'factor': 0.3011561032321051, 'self_conf': 2.074332430718229, 'swarm_conf': 2.541992593153586, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.43656207024857674, 'angle': 1.3823139396049005, 'sigma': 0.08695609221264246}. Best is trial 0 with value: 30.63270545903397.
[I 2024-11-21 00:37:14,352] Trial 7 finished with value: 64.79282952777388 and parameters: {'factor': 0.2006550898978147, 'self_conf': 0.6186948521643268, 'swarm_conf': 2.9817020598116466, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.45516331770863694, 'angle': 1.418051802746944, 'sigma': 0.13916691339164586}. Best is trial 0 with value: 30.63270545903397.
[I 2024-11-21 00:37:15,769] Trial 8 finished with value: 112.22991747108671 and parameters: {'factor': 0.26480359910382395, 'self_conf': 2.1076931879562406, 'swarm_conf': 2.4900174653214973, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.1457438573215093, 'angle': 0.8175701233901824, 'sigma': 0.1480920331140892}. Best is trial 0 with value: 30.63270545903397.
[I 2024-11-21 00:37:17,161] Trial 9 finished with value: 66.10933854322785 and parameters: {'factor': 0.4523695211509187, 'self_conf': 0.560323137295269, 'swarm_conf': 2.9428041503825733, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.5934250397090927, 'angle': 0.26228313456198804, 'sigma': 0.11309914207944123}. Best is trial 0 with value: 30.63270545903397.
[I 2024-11-21 00:37:18,633] Trial 10 finished with value: 62.86633751260684 and parameters: {'factor': 0.6701280523770189, 'self_conf': 2.457018736129122, 'swarm_conf': 2.0085046291134026, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.2881420821516054, 'angle': 2.189243864606551, 'sigma': 0.18193368794393558}. Best is trial 0 with value: 30.63270545903397.
