Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'probability': 0.4279018141237644, 'scale': 1.5566676593550648, 'distribution': 'uniform', 'factor': 0.3003503095539232, 'self_conf': 2.5420651043195934, 'swarm_conf': 2.990992799662174, 'version': 'constriction', 'radius': 0.7272453495886884, 'angle': 11.868182609330953, 'sigma': 0.04736927467360661}
Mejor rendimiento encontrado:
2.7399429905252033

Stderr:
[I 2024-12-22 19:36:36,312] A new study created in memory with name: no-name-3cc14f98-c57a-46fc-afa8-abf4458823cb
[I 2024-12-22 19:36:38,440] Trial 0 finished with value: 9.950673197872005 and parameters: {'probability': 0.31783196810392006, 'scale': 1.7006919707981694, 'distribution': 'gaussian', 'factor': 0.7858303497294777, 'self_conf': 2.9077351515234886, 'swarm_conf': 2.7598946142373917, 'version': 'constriction', 'radius': 0.2144645903845108, 'angle': 14.091279816424194, 'sigma': 0.1796277572070961}. Best is trial 0 with value: 9.950673197872005.
[I 2024-12-22 19:36:38,808] Trial 1 finished with value: 5.990270795644521 and parameters: {'probability': 0.3185681598026322, 'scale': 0.8950810449511182, 'distribution': 'uniform', 'factor': 0.8726978763407696, 'self_conf': 2.911484836600661, 'swarm_conf': 2.7004620074264083, 'version': 'constriction', 'radius': 0.47447021860762084, 'angle': 5.40799080694252, 'sigma': 0.07059201675326462}. Best is trial 1 with value: 5.990270795644521.
[I 2024-12-22 19:36:39,147] Trial 2 finished with value: 2.9913865180952968 and parameters: {'probability': 0.3587863719389592, 'scale': 0.91001490617943, 'distribution': 'uniform', 'factor': 0.6179387106542685, 'self_conf': 2.7749909746622268, 'swarm_conf': 2.903877776925333, 'version': 'constriction', 'radius': 0.8773777114770215, 'angle': 15.811677322393699, 'sigma': 0.01783209934508369}. Best is trial 2 with value: 2.9913865180952968.
[I 2024-12-22 19:36:39,486] Trial 3 finished with value: 16.76284830636071 and parameters: {'probability': 0.9748417946793871, 'scale': 1.8698712694179596, 'distribution': 'gaussian', 'factor': 0.9076151945076679, 'self_conf': 2.598975552241348, 'swarm_conf': 2.950481917869684, 'version': 'inertial', 'radius': 0.7991849160512233, 'angle': 20.99215418903646, 'sigma': 0.08273595965025811}. Best is trial 2 with value: 2.9913865180952968.
[I 2024-12-22 19:36:39,811] Trial 4 finished with value: 5.80194387684215 and parameters: {'probability': 0.40023085859531404, 'scale': 1.2001218475133437, 'distribution': 'gaussian', 'factor': 0.8439845226330798, 'self_conf': 2.6798987923263224, 'swarm_conf': 2.7580700732639074, 'version': 'inertial', 'radius': 0.4495555433754015, 'angle': 23.356090096168284, 'sigma': 0.13928304702792813}. Best is trial 2 with value: 2.9913865180952968.
[I 2024-12-22 19:36:40,152] Trial 5 finished with value: 11.690518860434581 and parameters: {'probability': 0.5212718147417199, 'scale': 1.778638521888248, 'distribution': 'uniform', 'factor': 0.4911247572485121, 'self_conf': 2.7452651484022863, 'swarm_conf': 2.9396093364013196, 'version': 'inertial', 'radius': 0.1593717662169657, 'angle': 19.870803857292948, 'sigma': 0.08770609463781903}. Best is trial 2 with value: 2.9913865180952968.
[I 2024-12-22 19:36:40,496] Trial 6 finished with value: 4.725581480315031 and parameters: {'probability': 0.306593128326495, 'scale': 1.2203110959509345, 'distribution': 'uniform', 'factor': 0.43394293471949247, 'self_conf': 2.717513982392327, 'swarm_conf': 2.819919480467911, 'version': 'constriction', 'radius': 0.8588101459471091, 'angle': 20.509324210956464, 'sigma': 0.17007471486662593}. Best is trial 2 with value: 2.9913865180952968.
[I 2024-12-22 19:36:40,836] Trial 7 finished with value: 12.94137326770082 and parameters: {'probability': 0.9602391341309295, 'scale': 1.7728222711276969, 'distribution': 'uniform', 'factor': 0.39378548787407885, 'self_conf': 2.967844736345785, 'swarm_conf': 2.6338478495367355, 'version': 'constriction', 'radius': 0.3921684300499568, 'angle': 14.931574111562139, 'sigma': 0.10939380805583196}. Best is trial 2 with value: 2.9913865180952968.
[I 2024-12-22 19:36:41,182] Trial 8 finished with value: 6.062151893191914 and parameters: {'probability': 0.692021486223012, 'scale': 1.9018180672650198, 'distribution': 'uniform', 'factor': 0.40099206907087925, 'self_conf': 2.9114027428471356, 'swarm_conf': 2.7066340020813477, 'version': 'constriction', 'radius': 0.5944104347433354, 'angle': 24.755566437765467, 'sigma': 0.12803186226556948}. Best is trial 2 with value: 2.9913865180952968.
[I 2024-12-22 19:36:41,528] Trial 9 finished with value: 5.978076476707914 and parameters: {'probability': 0.7391055847479056, 'scale': 1.7456068120851687, 'distribution': 'uniform', 'factor': 0.9521738955717155, 'self_conf': 2.7885801447220677, 'swarm_conf': 2.7260372906225827, 'version': 'constriction', 'radius': 0.5223570378391547, 'angle': 9.662443651812527, 'sigma': 0.09915109017817221}. Best is trial 2 with value: 2.9913865180952968.
[I 2024-12-22 19:36:41,866] Trial 10 finished with value: 12.513084688413832 and parameters: {'probability': 0.5261236257730202, 'scale': 0.5280562552482169, 'distribution': 'gaussian', 'factor': 0.626569661551844, 'self_conf': 2.818040592937698, 'swarm_conf': 2.8625603163663196, 'version': 'inertial', 'radius': 0.6978537136166171, 'angle': 11.053459919897032, 'sigma': 0.013385558280122816}. Best is trial 2 with value: 2.9913865180952968.
