Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.2157125083925001, 'distribution': 'uniform', 'gravity': 0.001900272786570834, 'alpha': 0.017756238834117394, 'beta': 1.1411442408617747, 'dt': 0.8859757615157486, 'factor': 0.7256285080053976, 'self_conf': 2.4838640893413046, 'swarm_conf': 2.2950372489148925, 'version': 'constriction', 'radius': 0.7561199176706396, 'angle': 22.57274705543899, 'sigma': 0.07631670823244129}
Mejor rendimiento encontrado:
1.8534853807643143

Stderr:
[I 2024-12-22 19:55:46,616] A new study created in memory with name: no-name-436c507d-0f5f-446c-be4b-9f3a82fda0ee
[I 2024-12-22 19:55:48,951] Trial 0 finished with value: 9.651709464070414 and parameters: {'scale': 0.673163105456479, 'distribution': 'gaussian', 'gravity': 0.009275096793860405, 'alpha': 0.013951331464092043, 'beta': 1.6598513210619765, 'dt': 1.7700036808461688, 'factor': 0.6098202225104521, 'self_conf': 2.8057078519426115, 'swarm_conf': 2.401426427435401, 'version': 'inertial', 'radius': 0.7275647349912123, 'angle': 20.42044452481107, 'sigma': 0.08117401168832272}. Best is trial 0 with value: 9.651709464070414.
[I 2024-12-22 19:55:49,494] Trial 1 finished with value: 6.437887354381471 and parameters: {'scale': 1.3172746387000283, 'distribution': 'gaussian', 'gravity': 0.009113787176056508, 'alpha': 0.0180543460099092, 'beta': 1.4827536650052027, 'dt': 1.6003457425492624, 'factor': 0.6557260608673824, 'self_conf': 2.3335986679839333, 'swarm_conf': 2.873259575219696, 'version': 'constriction', 'radius': 0.5870464255176484, 'angle': 17.336631856460084, 'sigma': 0.05633822615582996}. Best is trial 1 with value: 6.437887354381471.
[I 2024-12-22 19:55:50,013] Trial 2 finished with value: 8.397633220068485 and parameters: {'scale': 0.6762287161407488, 'distribution': 'gaussian', 'gravity': 0.0012601617064455042, 'alpha': 0.018703021895057653, 'beta': 1.0805694689763703, 'dt': 0.7867816978317037, 'factor': 0.6903293396021025, 'self_conf': 2.597946734644015, 'swarm_conf': 2.6601843408486836, 'version': 'inertial', 'radius': 0.5619119213912127, 'angle': 19.524765644135414, 'sigma': 0.07019415874919248}. Best is trial 1 with value: 6.437887354381471.
[I 2024-12-22 19:55:50,531] Trial 3 finished with value: 3.53799990882749 and parameters: {'scale': 0.940124183727284, 'distribution': 'uniform', 'gravity': 0.0018317039251892593, 'alpha': 0.002962361744819139, 'beta': 1.9824599721989187, 'dt': 1.9366043291401565, 'factor': 0.6705298509398183, 'self_conf': 2.4718494492644942, 'swarm_conf': 2.7105384884008847, 'version': 'constriction', 'radius': 0.7759403381858333, 'angle': 17.339827971024658, 'sigma': 0.18979674111615077}. Best is trial 3 with value: 3.53799990882749.
[I 2024-12-22 19:55:51,056] Trial 4 finished with value: 11.089116884333283 and parameters: {'scale': 1.9055090869279898, 'distribution': 'uniform', 'gravity': 0.0034365460076257815, 'alpha': 0.01752448391526255, 'beta': 1.048711452954207, 'dt': 0.9869825702137454, 'factor': 0.7506864905914151, 'self_conf': 2.592969085016394, 'swarm_conf': 2.666620242940172, 'version': 'inertial', 'radius': 0.88194434239789, 'angle': 24.065559692697363, 'sigma': 0.16343145830316272}. Best is trial 3 with value: 3.53799990882749.
[I 2024-12-22 19:55:51,570] Trial 5 finished with value: 1.8534853807643143 and parameters: {'scale': 0.2157125083925001, 'distribution': 'uniform', 'gravity': 0.001900272786570834, 'alpha': 0.017756238834117394, 'beta': 1.1411442408617747, 'dt': 0.8859757615157486, 'factor': 0.7256285080053976, 'self_conf': 2.4838640893413046, 'swarm_conf': 2.2950372489148925, 'version': 'constriction', 'radius': 0.7561199176706396, 'angle': 22.57274705543899, 'sigma': 0.07631670823244129}. Best is trial 5 with value: 1.8534853807643143.
[I 2024-12-22 19:55:52,095] Trial 6 finished with value: 9.971526770029955 and parameters: {'scale': 1.8058980290871707, 'distribution': 'gaussian', 'gravity': 0.008840555859538123, 'alpha': 0.004735283410692354, 'beta': 1.3778012167144555, 'dt': 1.0813222625284868, 'factor': 0.686031138246943, 'self_conf': 2.8011372004001025, 'swarm_conf': 2.44984853068808, 'version': 'constriction', 'radius': 0.8212826033843083, 'angle': 16.243478677164447, 'sigma': 0.09753731958566407}. Best is trial 5 with value: 1.8534853807643143.
[I 2024-12-22 19:55:52,627] Trial 7 finished with value: 2.2032489549708067 and parameters: {'scale': 0.5522756032011323, 'distribution': 'uniform', 'gravity': 0.009511414916961216, 'alpha': 0.011921136984501023, 'beta': 1.9959749331407788, 'dt': 1.3554604804455552, 'factor': 0.6154404806044764, 'self_conf': 2.76454590650885, 'swarm_conf': 2.5679493341086292, 'version': 'constriction', 'radius': 0.6259866951697147, 'angle': 16.052221774638515, 'sigma': 0.1904900293494502}. Best is trial 5 with value: 1.8534853807643143.
[I 2024-12-22 19:55:53,156] Trial 8 finished with value: 2.8114606253423977 and parameters: {'scale': 0.7499350159092122, 'distribution': 'uniform', 'gravity': 0.007158878219785175, 'alpha': 0.005862547704646808, 'beta': 1.5535663148126382, 'dt': 1.9121792089958038, 'factor': 0.747409457117767, 'self_conf': 2.5866341860439865, 'swarm_conf': 2.8487217748203393, 'version': 'constriction', 'radius': 0.5746943615991118, 'angle': 23.944193401421312, 'sigma': 0.1894657318047876}. Best is trial 5 with value: 1.8534853807643143.
[I 2024-12-22 19:55:53,684] Trial 9 finished with value: 5.298013824832348 and parameters: {'scale': 0.7520481234004057, 'distribution': 'uniform', 'gravity': 0.0007332057134887105, 'alpha': 0.012514683795656243, 'beta': 1.901800042301251, 'dt': 1.4288062472331509, 'factor': 0.7583148123661279, 'self_conf': 2.1092531634022533, 'swarm_conf': 2.368508767317539, 'version': 'inertial', 'radius': 0.5912629197903047, 'angle': 24.433996187345606, 'sigma': 0.1371954254045311}. Best is trial 5 with value: 1.8534853807643143.
[I 2024-12-22 19:55:54,221] Trial 10 finished with value: 2.4838419793167796 and parameters: {'scale': 0.3186573287154345, 'distribution': 'uniform', 'gravity': 0.004269577339243367, 'alpha': 0.008646407632224398, 'beta': 1.2627612034079103, 'dt': 0.5512335992840356, 'factor': 0.7880647276956791, 'self_conf': 2.0087367388953137, 'swarm_conf': 2.0515284566939056, 'version': 'constriction', 'radius': 0.6718636092473971, 'angle': 21.798454384402177, 'sigma': 0.11342565517545586}. Best is trial 5 with value: 1.8534853807643143.
