Exit code: 0
Stdout:
rep = 1, x_best = [ 1.86352474e-10 -5.05383195e-10  5.34773829e-11], f_best = 0.0
rep = 2, x_best = [-1.94327859e-01 -1.55683762e-10  2.07964218e-10], f_best = 0.9949590570932898
rep = 3, x_best = [-2.77631420e-10  1.94327859e-01  1.94327858e-01], f_best = 1.9899181141865796
rep = 4, x_best = [0.38865473 0.19432786 0.19432786], f_best = 5.969749304740667
rep = 5, x_best = [ 3.08860315e-11  3.26572228e-10 -5.76849359e-10], f_best = 0.0
rep = 6, x_best = [-3.22224043e-10  1.94327859e-01  1.94327859e-01], f_best = 1.9899181141865796
rep = 7, x_best = [ 3.42323389e-11  3.88654733e-01 -2.05170852e-10], f_best = 3.979831190554087
rep = 8, x_best = [ 1.94327858e-01  6.42557854e-10 -2.83018148e-10], f_best = 0.9949590570932934
rep = 9, x_best = [ 3.88654733e-01  1.94327859e-01 -4.50778399e-10], f_best = 4.974790247647377
rep = 10, x_best = [-0.19432786  0.19432786 -0.19432786], f_best = 2.9848771712798694
rep = 11, x_best = [-1.94327859e-01 -1.13261222e-12 -5.68363641e-10], f_best = 0.9949590570932898
rep = 12, x_best = [-1.94327858e-01 -2.54791624e-10 -6.59413464e-10], f_best = 0.9949590570932898
rep = 13, x_best = [ 0.19432786 -0.19432786  0.19432786], f_best = 2.9848771712798694
rep = 14, x_best = [-1.94327861e-01  4.40548260e-10  1.94327859e-01], f_best = 1.9899181141866151
rep = 15, x_best = [-1.94327861e-01  1.94327860e-01 -4.90218715e-10], f_best = 1.989918114186601
rep = 16, x_best = [6.73204532e-10 1.94327859e-01 1.94327859e-01], f_best = 1.9899181141865796
rep = 17, x_best = [ 0.19432786 -0.19432786  0.19432786], f_best = 2.9848771712798765
rep = 18, x_best = [-1.94327858e-01 -1.99793898e-11  1.94327859e-01], f_best = 1.9899181141865796
rep = 19, x_best = [-1.94327859e-01  1.90327927e-10 -1.46980742e-09], f_best = 0.9949590570933005
rep = 20, x_best = [-1.94327858e-01  2.36386366e-10 -1.94327859e-01], f_best = 1.9899181141865796
rep = 21, x_best = [ 1.94327859e-01 -2.53256480e-10 -2.84302054e-10], f_best = 0.9949590570932898
rep = 22, x_best = [-1.94327859e-01 -1.94327859e-01 -6.13690908e-10], f_best = 1.9899181141865796
rep = 23, x_best = [0.19432786 0.19432786 0.19432786], f_best = 2.9848771712798694
rep = 24, x_best = [ 0.19432786  0.38865473 -0.19432786], f_best = 5.969749304740667
rep = 25, x_best = [ 0.19432786 -0.19432786  0.19432786], f_best = 2.9848771712798694
rep = 26, x_best = [ 1.94327859e-01  1.94327859e-01 -6.24454473e-10], f_best = 1.9899181141865796
rep = 27, x_best = [ 6.83285634e-08 -4.98521923e-08  1.94327929e-01], f_best = 0.9949590571562119
rep = 28, x_best = [-8.47431621e-11 -1.94327859e-01  1.94327859e-01], f_best = 1.9899181141865796
rep = 29, x_best = [ 1.94327859e-01  1.94327859e-01 -3.01099332e-10], f_best = 1.9899181141865796
rep = 30, x_best = [-1.94327859e-01  3.20553193e-10 -7.18227912e-10], f_best = 0.9949590570932898

Stderr:
