Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'gravity': 0.004375331860901789, 'alpha': 0.2554658744567053, 'beta': 1.849084747393388, 'dt': 0.7389702407448977, 'pairing': 'cost', 'crossover': 'two', 'mating_pool_factor': 0.6656778911245328, 'probability': 0.8434395607345041, 'scale': 1.3944070167289289, 'distribution': 'uniform'}
Mejor rendimiento encontrado:
2.9134057488796454

Stderr:
[I 2024-12-24 23:22:53,468] A new study created in memory with name: no-name-4658440c-2750-4c82-a0c9-52623ea86d46
[I 2024-12-24 23:22:57,941] Trial 0 finished with value: 10.761549911292267 and parameters: {'gravity': 0.6506624767433787, 'alpha': 0.18325633445806236, 'beta': 2.5080982031424988, 'dt': 0.6505226646829478, 'pairing': 'cost', 'crossover': 'two', 'mating_pool_factor': 0.6645850712992349, 'probability': 0.8915260891572322, 'scale': 0.891333236797646, 'distribution': 'gaussian'}. Best is trial 0 with value: 10.761549911292267.
[I 2024-12-24 23:22:58,901] Trial 1 finished with value: 3.801338511549022 and parameters: {'gravity': 0.03446163084831145, 'alpha': 0.23815060471724253, 'beta': 2.0027779647844652, 'dt': 0.3362776636080592, 'pairing': 'random', 'crossover': 'two', 'mating_pool_factor': 0.5180330143069137, 'probability': 0.509648319754066, 'scale': 1.4735805975530005, 'distribution': 'gaussian'}. Best is trial 1 with value: 3.801338511549022.
[I 2024-12-24 23:22:59,812] Trial 2 finished with value: 2.9134057488796454 and parameters: {'gravity': 0.004375331860901789, 'alpha': 0.2554658744567053, 'beta': 1.849084747393388, 'dt': 0.7389702407448977, 'pairing': 'cost', 'crossover': 'two', 'mating_pool_factor': 0.6656778911245328, 'probability': 0.8434395607345041, 'scale': 1.3944070167289289, 'distribution': 'uniform'}. Best is trial 2 with value: 2.9134057488796454.
[I 2024-12-24 23:23:00,748] Trial 3 finished with value: 10.66635859862914 and parameters: {'gravity': 0.751020006332915, 'alpha': 0.1934679775477266, 'beta': 2.3936097426757397, 'dt': 0.5858223044767296, 'pairing': 'cost', 'crossover': 'single', 'mating_pool_factor': 0.379584414828893, 'probability': 0.5956390925937909, 'scale': 0.7380106508928114, 'distribution': 'gaussian'}. Best is trial 2 with value: 2.9134057488796454.
[I 2024-12-24 23:23:01,742] Trial 4 finished with value: 11.056837345288601 and parameters: {'gravity': 0.6828238348082469, 'alpha': 0.531034955792579, 'beta': 2.382193283261905, 'dt': 1.9594492005009114, 'pairing': 'rank', 'crossover': 'two', 'mating_pool_factor': 0.6183627965549767, 'probability': 0.6002712406060398, 'scale': 0.8556810035157852, 'distribution': 'uniform'}. Best is trial 2 with value: 2.9134057488796454.
[I 2024-12-24 23:23:02,743] Trial 5 finished with value: 5.6283875461581 and parameters: {'gravity': 0.08542438425502769, 'alpha': 0.36396264777840853, 'beta': 2.303671480521091, 'dt': 1.457995791112969, 'pairing': 'cost', 'crossover': 'single', 'mating_pool_factor': 0.22333196077321663, 'probability': 0.5027538831240667, 'scale': 0.5848521902642908, 'distribution': 'gaussian'}. Best is trial 2 with value: 2.9134057488796454.
[I 2024-12-24 23:23:03,711] Trial 6 finished with value: 3.2070259460186685 and parameters: {'gravity': 0.17384653347829668, 'alpha': 0.07265278212268375, 'beta': 1.9147841443944569, 'dt': 1.1401573454618448, 'pairing': 'rank', 'crossover': 'uniform', 'mating_pool_factor': 0.6396284819780136, 'probability': 0.8089142613066541, 'scale': 0.1565912263857049, 'distribution': 'uniform'}. Best is trial 2 with value: 2.9134057488796454.
[I 2024-12-24 23:23:05,104] Trial 7 finished with value: 22.924099363935532 and parameters: {'gravity': 0.35876942901078046, 'alpha': 0.6869279086634535, 'beta': 2.1997160308008876, 'dt': 0.4822718318024464, 'pairing': 'cost', 'crossover': 'two', 'mating_pool_factor': 0.22927473595757977, 'probability': 0.6918754050408074, 'scale': 1.3368275607499225, 'distribution': 'gaussian'}. Best is trial 2 with value: 2.9134057488796454.
[I 2024-12-24 23:23:06,607] Trial 8 finished with value: 21.84114661204911 and parameters: {'gravity': 0.61658098646991, 'alpha': 0.7196356794548893, 'beta': 2.331493610653878, 'dt': 0.9801002706590162, 'pairing': 'rank', 'crossover': 'uniform', 'mating_pool_factor': 0.382862986512907, 'probability': 0.7732691034901616, 'scale': 1.09925996741784, 'distribution': 'uniform'}. Best is trial 2 with value: 2.9134057488796454.
[I 2024-12-24 23:23:07,935] Trial 9 finished with value: 8.256201461496648 and parameters: {'gravity': 0.5855350502426513, 'alpha': 0.548762569735419, 'beta': 2.729573149234121, 'dt': 1.0434085535490336, 'pairing': 'cost', 'crossover': 'single', 'mating_pool_factor': 0.6922773152941532, 'probability': 0.520298192674105, 'scale': 0.5898755676949266, 'distribution': 'gaussian'}. Best is trial 2 with value: 2.9134057488796454.
[I 2024-12-24 23:23:09,199] Trial 10 finished with value: 22.665357684613202 and parameters: {'gravity': 0.33230904766225405, 'alpha': 0.876061399539054, 'beta': 1.6835634333684555, 'dt': 0.1432909834241729, 'pairing': 'random', 'crossover': 'two', 'mating_pool_factor': 0.7745422506154215, 'probability': 0.8965813576395677, 'scale': 1.9889820443554578, 'distribution': 'uniform'}. Best is trial 2 with value: 2.9134057488796454.
[I 2024-12-24 23:23:10,530] Trial 11 finished with value: 3.2232628366078355 and parameters: {'gravity': 0.18086478077937043, 'alpha': 0.0176231784381516, 'beta': 1.7031311351207092, 'dt': 1.483371384464903, 'pairing': 'rank', 'crossover': 'uniform', 'mating_pool_factor': 0.56002528622455, 'probability': 0.8126130247102022, 'scale': 0.10955218263380273, 'distribution': 'uniform'}. Best is trial 2 with value: 2.9134057488796454.
[I 2024-12-24 23:23:11,542] Trial 12 finished with value: 3.326359316659035 and parameters: {'gravity': 0.21696291527363754, 'alpha': 0.07975247111402742, 'beta': 1.9412286480491616, 'dt': 1.3311679981470403, 'pairing': 'rank', 'crossover': 'uniform', 'mating_pool_factor': 0.7820297295217707, 'probability': 0.789263151428586, 'scale': 1.7310400276596658, 'distribution': 'uniform'}. Best is trial 2 with value: 2.9134057488796454.
