Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.8133438701103461, 'self_conf': 2.9223780045285754, 'swarm_conf': 2.0272879413297074, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.15315251719164122, 'angle': 24.55423676380834, 'sigma': 0.07810075731963893}
Mejor rendimiento encontrado:
2.024479950557847

Stderr:
[I 2024-12-28 17:06:27,008] A new study created in memory with name: no-name-8e4a2311-079a-4182-87fd-f22bf9366e33
[I 2024-12-28 17:06:35,234] Trial 0 finished with value: 4.707816594536584 and parameters: {'factor': 0.7669304542048949, 'self_conf': 2.5905191809743977, 'swarm_conf': 2.405923346255788, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.6175448880081617, 'angle': 24.125768146280336, 'sigma': 0.018231621662506515}. Best is trial 0 with value: 4.707816594536584.
[I 2024-12-28 17:06:36,587] Trial 1 finished with value: 4.545882998025706 and parameters: {'factor': 0.8661985990603163, 'self_conf': 2.7667190160587287, 'swarm_conf': 2.659189816224444, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.5162372648678341, 'angle': 21.056732270596214, 'sigma': 0.08523696553299139}. Best is trial 1 with value: 4.545882998025706.
[I 2024-12-28 17:06:37,902] Trial 2 finished with value: 4.646392510360395 and parameters: {'factor': 0.7893830551949151, 'self_conf': 2.8566528601992385, 'swarm_conf': 2.657391957697127, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.738847553368772, 'angle': 21.262219840767838, 'sigma': 0.019449450140775055}. Best is trial 1 with value: 4.545882998025706.
[I 2024-12-28 17:06:39,066] Trial 3 finished with value: 2.024479950557847 and parameters: {'factor': 0.8133438701103461, 'self_conf': 2.9223780045285754, 'swarm_conf': 2.0272879413297074, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.15315251719164122, 'angle': 24.55423676380834, 'sigma': 0.07810075731963893}. Best is trial 3 with value: 2.024479950557847.
[I 2024-12-28 17:06:40,271] Trial 4 finished with value: 3.7906192473262355 and parameters: {'factor': 0.758783516615888, 'self_conf': 2.005579330477878, 'swarm_conf': 2.714042808993938, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6839729722652352, 'angle': 22.713367391005363, 'sigma': 0.07294386423197273}. Best is trial 3 with value: 2.024479950557847.
[I 2024-12-28 17:06:41,554] Trial 5 finished with value: 3.848821137351975 and parameters: {'factor': 0.6207666535669738, 'self_conf': 2.1712930945243714, 'swarm_conf': 2.7465953522213136, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.49560852477362655, 'angle': 22.684604553851358, 'sigma': 0.18218727665456277}. Best is trial 3 with value: 2.024479950557847.
[I 2024-12-28 17:06:43,322] Trial 6 finished with value: 6.106972432722352 and parameters: {'factor': 0.6825831485015819, 'self_conf': 2.1568507070289433, 'swarm_conf': 2.3842053486491004, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.57539011217848, 'angle': 24.598836451134993, 'sigma': 0.076392636733465}. Best is trial 3 with value: 2.024479950557847.
[I 2024-12-28 17:06:44,517] Trial 7 finished with value: 5.389274629222037 and parameters: {'factor': 0.5477397742297304, 'self_conf': 2.4350135468671583, 'swarm_conf': 2.88461860045434, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.5617203153127326, 'angle': 22.093328625320858, 'sigma': 0.1496947752557655}. Best is trial 3 with value: 2.024479950557847.
[I 2024-12-28 17:06:45,514] Trial 8 finished with value: 3.7456506130390084 and parameters: {'factor': 0.9437778789460036, 'self_conf': 2.5523018905760293, 'swarm_conf': 2.364017577737642, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8408762527567772, 'angle': 23.888441867754185, 'sigma': 0.1500183058005386}. Best is trial 3 with value: 2.024479950557847.
[I 2024-12-28 17:06:46,478] Trial 9 finished with value: 4.204982484160188 and parameters: {'factor': 0.6895824880263943, 'self_conf': 2.9332067727277926, 'swarm_conf': 2.8237311995051964, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.48232265548457615, 'angle': 23.44978492340972, 'sigma': 0.029524824251710345}. Best is trial 3 with value: 2.024479950557847.
[I 2024-12-28 17:06:47,588] Trial 10 finished with value: 2.027820221649332 and parameters: {'factor': 0.9967614861521409, 'self_conf': 2.995830896539559, 'swarm_conf': 2.0140442524083793, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.12636061457941702, 'angle': 24.997305767933316, 'sigma': 0.1160369772552642}. Best is trial 3 with value: 2.024479950557847.
