Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.21525202339767957, 'distribution': 'uniform', 'gravity': 0.0032048307297649356, 'alpha': 0.024756265515704968, 'beta': 1.0411437146680746, 'factor': 0.6252815272514172, 'self_conf': 2.3482139274697342, 'swarm_conf': 2.6158036185697546, 'version': 'inertial', 'radius': 0.5004193422963226, 'angle': 23.89533893071638, 'sigma': 0.2535305839927631}
Mejor rendimiento encontrado:
2.5429281436765105

Stderr:
[I 2024-12-28 18:01:46,579] A new study created in memory with name: no-name-f0ec6d10-ed6e-47a4-8c2a-b4c79fb41a3c
[I 2024-12-28 18:01:48,921] Trial 0 finished with value: 4.515877636516497 and parameters: {'scale': 0.33447430443007287, 'distribution': 'gaussian', 'gravity': 0.007285862366389069, 'alpha': 0.010044327281498582, 'beta': 1.2694521392998463, 'factor': 0.7118613690180526, 'self_conf': 2.5860000362173206, 'swarm_conf': 2.5764154421363514, 'version': 'constriction', 'radius': 0.8469240474227318, 'angle': 23.619114282594744, 'sigma': 0.052386350077145226}. Best is trial 0 with value: 4.515877636516497.
[I 2024-12-28 18:01:49,458] Trial 1 finished with value: 8.863738050165008 and parameters: {'scale': 1.6650544546621702, 'distribution': 'gaussian', 'gravity': 0.006508867877357175, 'alpha': 0.07062347059009311, 'beta': 1.9944616369248616, 'factor': 0.6429885529670607, 'self_conf': 2.8242398484447584, 'swarm_conf': 2.300489849341113, 'version': 'constriction', 'radius': 0.697369329067701, 'angle': 20.875149032783916, 'sigma': 0.09177966895494827}. Best is trial 0 with value: 4.515877636516497.
[I 2024-12-28 18:01:49,976] Trial 2 finished with value: 2.5773768361726628 and parameters: {'scale': 0.34111069948446515, 'distribution': 'uniform', 'gravity': 0.006934663354167314, 'alpha': 0.027646687897038464, 'beta': 1.8190179860647757, 'factor': 0.5454974863228923, 'self_conf': 1.4432654923108383, 'swarm_conf': 2.7991498929705996, 'version': 'inertial', 'radius': 0.5293779720155423, 'angle': 23.25846959987224, 'sigma': 0.169481925140265}. Best is trial 2 with value: 2.5773768361726628.
[I 2024-12-28 18:01:50,498] Trial 3 finished with value: 6.13482455878691 and parameters: {'scale': 0.9633677969357118, 'distribution': 'uniform', 'gravity': 0.0004707480100022088, 'alpha': 0.003193381100559252, 'beta': 1.9427110334045024, 'factor': 0.7940531937095061, 'self_conf': 1.0137726155741962, 'swarm_conf': 2.981974075894709, 'version': 'inertial', 'radius': 0.5622668514494029, 'angle': 23.079646935442963, 'sigma': 0.2589012470517356}. Best is trial 2 with value: 2.5773768361726628.
[I 2024-12-28 18:01:51,019] Trial 4 finished with value: 11.155760041250051 and parameters: {'scale': 1.488986330993997, 'distribution': 'gaussian', 'gravity': 0.0005206835181497089, 'alpha': 0.030389715180240216, 'beta': 1.9817415002627672, 'factor': 0.9994577799929814, 'self_conf': 2.322987411638339, 'swarm_conf': 2.302189546669056, 'version': 'constriction', 'radius': 0.7501351587442947, 'angle': 20.28182483667523, 'sigma': 0.16114335029010302}. Best is trial 2 with value: 2.5773768361726628.
[I 2024-12-28 18:01:51,544] Trial 5 finished with value: 9.035396917760188 and parameters: {'scale': 1.379052426456131, 'distribution': 'gaussian', 'gravity': 0.005184751264633787, 'alpha': 0.06749965647873431, 'beta': 1.4627097670153006, 'factor': 0.9342720851243387, 'self_conf': 1.575066513972211, 'swarm_conf': 1.7046941968639213, 'version': 'inertial', 'radius': 0.6075740990603222, 'angle': 21.67595597511982, 'sigma': 0.2083156162451327}. Best is trial 2 with value: 2.5773768361726628.
[I 2024-12-28 18:01:52,081] Trial 6 finished with value: 6.981961912149116 and parameters: {'scale': 1.843673406978584, 'distribution': 'gaussian', 'gravity': 0.004942670771109154, 'alpha': 0.06584563393842793, 'beta': 1.201209528875977, 'factor': 0.5598273778611602, 'self_conf': 2.681462254300287, 'swarm_conf': 2.1691126306066963, 'version': 'constriction', 'radius': 0.5791714846128511, 'angle': 24.147158020084262, 'sigma': 0.1878434532064669}. Best is trial 2 with value: 2.5773768361726628.
[I 2024-12-28 18:01:52,613] Trial 7 finished with value: 6.534262357882446 and parameters: {'scale': 1.7488568899037333, 'distribution': 'uniform', 'gravity': 0.00827426111352571, 'alpha': 0.04373444158560663, 'beta': 1.3597285644180366, 'factor': 0.8146214270730345, 'self_conf': 1.1664152556900103, 'swarm_conf': 1.2924666782214396, 'version': 'constriction', 'radius': 0.8458181385998139, 'angle': 22.195091712879737, 'sigma': 0.051550905915523595}. Best is trial 2 with value: 2.5773768361726628.
[I 2024-12-28 18:01:53,147] Trial 8 finished with value: 2.943113145465107 and parameters: {'scale': 0.17726855439542097, 'distribution': 'uniform', 'gravity': 0.003788065250723111, 'alpha': 0.09942951250803606, 'beta': 1.9989640363001715, 'factor': 0.5430438621429432, 'self_conf': 2.512601344501323, 'swarm_conf': 2.797295288518043, 'version': 'inertial', 'radius': 0.7944177377971563, 'angle': 24.382422954507966, 'sigma': 0.25143073582743675}. Best is trial 2 with value: 2.5773768361726628.
[I 2024-12-28 18:01:53,687] Trial 9 finished with value: 8.991348354889336 and parameters: {'scale': 1.6536780895088303, 'distribution': 'uniform', 'gravity': 0.00024285771342175963, 'alpha': 0.05086329571166851, 'beta': 1.607712611914887, 'factor': 0.7546434215431554, 'self_conf': 2.1788250315386093, 'swarm_conf': 1.149288789881686, 'version': 'inertial', 'radius': 0.893776184369209, 'angle': 20.70697197420968, 'sigma': 0.06477164772057976}. Best is trial 2 with value: 2.5773768361726628.
[I 2024-12-28 18:01:54,239] Trial 10 finished with value: 4.32728152698592 and parameters: {'scale': 0.7559984979222825, 'distribution': 'uniform', 'gravity': 0.009905349522383703, 'alpha': 0.02509443546517924, 'beta': 1.7030590726691819, 'factor': 0.5136269943619115, 'self_conf': 1.7184995247710988, 'swarm_conf': 1.7059095702555565, 'version': 'inertial', 'radius': 0.6699400737773481, 'angle': 24.825985122124365, 'sigma': 0.12045886480187118}. Best is trial 2 with value: 2.5773768361726628.
