Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.12668531445124898, 'distribution': 'gaussian', 'gravity': 0.004097018635755123, 'alpha': 0.009068045819370141, 'beta': 1.9971442629646592, 'dt': 0.8842587616376874, 'expression': 'best', 'num_rands': 1, 'factor': 0.7173036848463534}
Mejor rendimiento encontrado:
2.205992037787248

Stderr:
[I 2024-12-28 18:08:26,453] A new study created in memory with name: no-name-b6fe4ab0-3866-4c4a-ad3a-7f32d928bb5b
[I 2024-12-28 18:08:29,567] Trial 0 finished with value: 16.315464796774485 and parameters: {'scale': 0.6039103839836306, 'distribution': 'uniform', 'gravity': 0.002114080304347275, 'alpha': 0.026536064599663674, 'beta': 1.3790436782832238, 'dt': 1.894047927508427, 'expression': 'best', 'num_rands': 3, 'factor': 1.5843679567291749}. Best is trial 0 with value: 16.315464796774485.
[I 2024-12-28 18:08:30,123] Trial 1 finished with value: 13.67968000993311 and parameters: {'scale': 1.433067755318106, 'distribution': 'uniform', 'gravity': 0.0005612690296176606, 'alpha': 0.04446085443925585, 'beta': 1.3382540291457552, 'dt': 1.0046198125023655, 'expression': 'rand', 'num_rands': 1, 'factor': 1.5428881749452878}. Best is trial 1 with value: 13.67968000993311.
[I 2024-12-28 18:08:30,628] Trial 2 finished with value: 11.453326189012147 and parameters: {'scale': 1.4676706779312143, 'distribution': 'gaussian', 'gravity': 0.0028538154498091704, 'alpha': 0.040783111833655024, 'beta': 1.9580594283238328, 'dt': 0.6993929746217635, 'expression': 'best', 'num_rands': 1, 'factor': 1.2515427455041113}. Best is trial 2 with value: 11.453326189012147.
[I 2024-12-28 18:08:31,032] Trial 3 finished with value: 7.304101381809573 and parameters: {'scale': 0.434057952123713, 'distribution': 'gaussian', 'gravity': 0.0026015725980241262, 'alpha': 0.020922715563899942, 'beta': 1.8546580604592104, 'dt': 0.6958436720936123, 'expression': 'rand', 'num_rands': 1, 'factor': 0.7060763438677359}. Best is trial 3 with value: 7.304101381809573.
[I 2024-12-28 18:08:31,460] Trial 4 finished with value: 3.9822008791571255 and parameters: {'scale': 0.9686288560735713, 'distribution': 'gaussian', 'gravity': 0.0037259311943401824, 'alpha': 0.0010906817554388354, 'beta': 1.897100795886061, 'dt': 1.2290065062536464, 'expression': 'best', 'num_rands': 1, 'factor': 0.5397749128972907}. Best is trial 4 with value: 3.9822008791571255.
[I 2024-12-28 18:08:31,887] Trial 5 finished with value: 19.98039944462006 and parameters: {'scale': 1.574474480296624, 'distribution': 'gaussian', 'gravity': 0.0009476053248289627, 'alpha': 0.011973930848580552, 'beta': 1.167365622320446, 'dt': 1.149411913561496, 'expression': 'rand', 'num_rands': 3, 'factor': 1.5486028606654745}. Best is trial 4 with value: 3.9822008791571255.
[I 2024-12-28 18:08:32,319] Trial 6 finished with value: 8.497082652972457 and parameters: {'scale': 0.5381197055918424, 'distribution': 'uniform', 'gravity': 0.002146434248987775, 'alpha': 0.03445380693343524, 'beta': 1.559017802896627, 'dt': 0.7864772050590653, 'expression': 'rand', 'num_rands': 1, 'factor': 0.9043408365048815}. Best is trial 4 with value: 3.9822008791571255.
[I 2024-12-28 18:08:32,753] Trial 7 finished with value: 7.444358777920361 and parameters: {'scale': 0.46198545210505854, 'distribution': 'uniform', 'gravity': 0.00207939475565505, 'alpha': 0.015784741102983522, 'beta': 1.864592351839117, 'dt': 1.8700156156243426, 'expression': 'best', 'num_rands': 3, 'factor': 0.5614175770601433}. Best is trial 4 with value: 3.9822008791571255.
[I 2024-12-28 18:08:33,168] Trial 8 finished with value: 18.858193248342566 and parameters: {'scale': 0.49870287105926053, 'distribution': 'uniform', 'gravity': 0.0023742072949350453, 'alpha': 0.0027439630664314735, 'beta': 1.0002604443641756, 'dt': 0.5518424656663753, 'expression': 'rand', 'num_rands': 3, 'factor': 1.74768221828166}. Best is trial 4 with value: 3.9822008791571255.
[I 2024-12-28 18:08:33,585] Trial 9 finished with value: 15.833164056884703 and parameters: {'scale': 1.8625556173228102, 'distribution': 'uniform', 'gravity': 0.00027542529414029484, 'alpha': 0.03835439726803597, 'beta': 1.3120966581103544, 'dt': 1.0834545455343372, 'expression': 'rand', 'num_rands': 2, 'factor': 1.4345962954496059}. Best is trial 4 with value: 3.9822008791571255.
[I 2024-12-28 18:08:34,009] Trial 10 finished with value: 15.320973640281313 and parameters: {'scale': 0.8662005404258722, 'distribution': 'gaussian', 'gravity': 0.004828417404974874, 'alpha': 0.002464909090532593, 'beta': 1.7338267863268744, 'dt': 1.521802244750887, 'expression': 'current', 'num_rands': 2, 'factor': 0.9835063700974355}. Best is trial 4 with value: 3.9822008791571255.
[I 2024-12-28 18:08:34,429] Trial 11 finished with value: 8.12523910595468 and parameters: {'scale': 0.18105403204604142, 'distribution': 'gaussian', 'gravity': 0.003825789409199916, 'alpha': 0.01806525673923864, 'beta': 1.7156251918974617, 'dt': 1.3876919662412575, 'expression': 'current', 'num_rands': 1, 'factor': 0.5296214549258202}. Best is trial 4 with value: 3.9822008791571255.
[I 2024-12-28 18:08:34,853] Trial 12 finished with value: 10.37001224856505 and parameters: {'scale': 1.0370900783092576, 'distribution': 'gaussian', 'gravity': 0.0033884709691934635, 'alpha': 0.029483281628642985, 'beta': 1.7852419549116654, 'dt': 1.5161439475097156, 'expression': 'best', 'num_rands': 2, 'factor': 0.8109597602354612}. Best is trial 4 with value: 3.9822008791571255.
[I 2024-12-28 18:08:35,277] Trial 13 finished with value: 2.205992037787248 and parameters: {'scale': 0.12668531445124898, 'distribution': 'gaussian', 'gravity': 0.004097018635755123, 'alpha': 0.009068045819370141, 'beta': 1.9971442629646592, 'dt': 0.8842587616376874, 'expression': 'best', 'num_rands': 1, 'factor': 0.7173036848463534}. Best is trial 13 with value: 2.205992037787248.
[I 2024-12-28 18:08:35,702] Trial 14 finished with value: 4.40931868284879 and parameters: {'scale': 0.18836642449407587, 'distribution': 'gaussian', 'gravity': 0.004558462582995072, 'alpha': 0.009403365594206448, 'beta': 1.9918278259111724, 'dt': 0.9317385749301579, 'expression': 'best', 'num_rands': 1, 'factor': 1.1035654637217036}. Best is trial 13 with value: 2.205992037787248.
