Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.1062109982109275, 'distribution': 'levy', 'gravity': 0.24991234608394003, 'alpha': 0.7104964094089773, 'beta': 3.3429779073104195, 'dt': 2.5231967971775697, 'expression': 'best', 'num_rands': 1, 'factor': 0.5127130738972296}
Mejor rendimiento encontrado:
2.6749905790995214

Stderr:
[I 2024-12-30 19:39:10,699] A new study created in memory with name: no-name-5e3be349-9db4-4923-8f2a-897fe8b53286
[I 2024-12-30 19:39:13,278] Trial 0 finished with value: 5.282015876872987 and parameters: {'scale': 0.4935893811578149, 'distribution': 'gaussian', 'gravity': 0.8116021932468782, 'alpha': 0.07188298868099541, 'beta': 2.741375858296565, 'dt': 3.715488657967978, 'expression': 'current', 'num_rands': 2, 'factor': 1.3714094770729552}. Best is trial 0 with value: 5.282015876872987.
[I 2024-12-30 19:39:13,759] Trial 1 finished with value: 7.811963640816817 and parameters: {'scale': 0.7337184743612013, 'distribution': 'levy', 'gravity': 0.37421786498324877, 'alpha': 0.47022322255922505, 'beta': 1.9833372225813184, 'dt': 1.0102161030354422, 'expression': 'current', 'num_rands': 3, 'factor': 0.8600866225769432}. Best is trial 0 with value: 5.282015876872987.
[I 2024-12-30 19:39:14,221] Trial 2 finished with value: 5.218908938402571 and parameters: {'scale': 0.5958805824438355, 'distribution': 'uniform', 'gravity': 0.08247201212260498, 'alpha': 0.5578685619844994, 'beta': 2.4947770252850896, 'dt': 4.536601042803726, 'expression': 'current', 'num_rands': 2, 'factor': 1.8570915810828934}. Best is trial 2 with value: 5.218908938402571.
[I 2024-12-30 19:39:14,688] Trial 3 finished with value: 8.929343314120937 and parameters: {'scale': 0.6307481416145593, 'distribution': 'levy', 'gravity': 0.049098475418184385, 'alpha': 0.8783972235076104, 'beta': 4.241319511273812, 'dt': 3.4705480704235323, 'expression': 'rand', 'num_rands': 3, 'factor': 1.4696173641008763}. Best is trial 2 with value: 5.218908938402571.
[I 2024-12-30 19:39:15,175] Trial 4 finished with value: 12.409889585776147 and parameters: {'scale': 0.8986596905318949, 'distribution': 'gaussian', 'gravity': 0.12254401077089484, 'alpha': 0.07369591458617446, 'beta': 4.38362441573182, 'dt': 3.161206016068893, 'expression': 'current', 'num_rands': 3, 'factor': 1.813405136823577}. Best is trial 2 with value: 5.218908938402571.
[I 2024-12-30 19:39:15,652] Trial 5 finished with value: 4.633310838067638 and parameters: {'scale': 0.592940063537687, 'distribution': 'uniform', 'gravity': 0.37100053348579437, 'alpha': 0.15842457194879078, 'beta': 2.6295243522977345, 'dt': 1.672676122945958, 'expression': 'current', 'num_rands': 3, 'factor': 0.8174160830727636}. Best is trial 5 with value: 4.633310838067638.
[I 2024-12-30 19:39:16,129] Trial 6 finished with value: 4.470122910326927 and parameters: {'scale': 0.6806283400212902, 'distribution': 'levy', 'gravity': 0.08595496119558592, 'alpha': 0.452279395539514, 'beta': 2.5414271370301966, 'dt': 3.8356970315982473, 'expression': 'best', 'num_rands': 2, 'factor': 1.0997574804481576}. Best is trial 6 with value: 4.470122910326927.
[I 2024-12-30 19:39:16,607] Trial 7 finished with value: 10.708682393328244 and parameters: {'scale': 0.8813094384191634, 'distribution': 'levy', 'gravity': 0.03158800094644168, 'alpha': 0.5242530970778896, 'beta': 1.9550429354561476, 'dt': 1.1653079302395999, 'expression': 'rand', 'num_rands': 2, 'factor': 1.5685941306097582}. Best is trial 6 with value: 4.470122910326927.
[I 2024-12-30 19:39:17,084] Trial 8 finished with value: 6.722286699042099 and parameters: {'scale': 0.8094652656953152, 'distribution': 'gaussian', 'gravity': 0.5346998914296978, 'alpha': 0.3144294188792773, 'beta': 1.9908468247783562, 'dt': 4.996569297122598, 'expression': 'rand', 'num_rands': 3, 'factor': 1.3125590273872394}. Best is trial 6 with value: 4.470122910326927.
[I 2024-12-30 19:39:17,555] Trial 9 finished with value: 7.209283598178513 and parameters: {'scale': 0.6184920763546081, 'distribution': 'gaussian', 'gravity': 0.7133529565255293, 'alpha': 0.45054320174705614, 'beta': 3.706821055558261, 'dt': 1.9682491815617413, 'expression': 'rand', 'num_rands': 1, 'factor': 1.7278660421519452}. Best is trial 6 with value: 4.470122910326927.
[I 2024-12-30 19:39:18,050] Trial 10 finished with value: 3.776803491743136 and parameters: {'scale': 0.2532954469722161, 'distribution': 'levy', 'gravity': 0.21484510308272753, 'alpha': 0.7474463948218582, 'beta': 3.437615010340241, 'dt': 2.3825519379121536, 'expression': 'best', 'num_rands': 1, 'factor': 0.5313099322461361}. Best is trial 10 with value: 3.776803491743136.
