Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.3568344875136792, 'self_conf': 2.951976243005424, 'swarm_conf': 2.744741106507324, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.47507395521781026, 'angle': 5.677651051605848, 'sigma': 0.020831420146921104}
Mejor rendimiento encontrado:
1.9899216056587434

Stderr:
[I 2024-12-30 20:37:54,551] A new study created in memory with name: no-name-ad900c59-8501-4a85-82e9-629f9251a2c9
[I 2024-12-30 20:37:56,712] Trial 0 finished with value: 2.4395117239059374 and parameters: {'factor': 0.7295856498551533, 'self_conf': 1.54471959758041, 'swarm_conf': 1.4493465070731384, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6561523885627456, 'angle': 11.450857685528062, 'sigma': 0.10351503315420305}. Best is trial 0 with value: 2.4395117239059374.
[I 2024-12-30 20:37:57,058] Trial 1 finished with value: 3.945501506338415 and parameters: {'factor': 0.13980281868105468, 'self_conf': 1.361024780834406, 'swarm_conf': 1.6361473990391149, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8817591635489079, 'angle': 14.308811733332842, 'sigma': 0.12034074132210949}. Best is trial 0 with value: 2.4395117239059374.
[I 2024-12-30 20:37:57,403] Trial 2 finished with value: 6.850373458067964 and parameters: {'factor': 0.8701973121299968, 'self_conf': 0.543335682218264, 'swarm_conf': 1.9407336594624576, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8838439609844674, 'angle': 19.667063331950352, 'sigma': 0.2560271757170229}. Best is trial 0 with value: 2.4395117239059374.
[I 2024-12-30 20:37:57,723] Trial 3 finished with value: 5.79002856412012 and parameters: {'factor': 0.6642449967141415, 'self_conf': 1.146062550535943, 'swarm_conf': 1.8882175715282954, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.7380831433040139, 'angle': 9.578017921192606, 'sigma': 0.11672627219974899}. Best is trial 0 with value: 2.4395117239059374.
[I 2024-12-30 20:37:58,045] Trial 4 finished with value: 3.97970074854024 and parameters: {'factor': 0.22192715762665333, 'self_conf': 1.8112172952474819, 'swarm_conf': 1.7713925030653028, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.41994481338578693, 'angle': 20.57349323140552, 'sigma': 0.11786043462237288}. Best is trial 0 with value: 2.4395117239059374.
[I 2024-12-30 20:37:58,366] Trial 5 finished with value: 3.236688679103848 and parameters: {'factor': 0.6913602528984719, 'self_conf': 2.075347147652908, 'swarm_conf': 1.343518769534647, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.6843731258887218, 'angle': 22.134440099595295, 'sigma': 0.10920370331019756}. Best is trial 0 with value: 2.4395117239059374.
[I 2024-12-30 20:37:58,675] Trial 6 finished with value: 2.9848896275898102 and parameters: {'factor': 0.5515500921671559, 'self_conf': 0.6621396649258322, 'swarm_conf': 1.9777559503226931, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7807303186078579, 'angle': 15.447717820975662, 'sigma': 0.27947822582576826}. Best is trial 0 with value: 2.4395117239059374.
[I 2024-12-30 20:37:58,990] Trial 7 finished with value: 4.363432758563976 and parameters: {'factor': 0.19326069947012342, 'self_conf': 1.6626059050003068, 'swarm_conf': 1.0675656827955908, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8953699321732145, 'angle': 11.545994829838094, 'sigma': 0.2353431873880031}. Best is trial 0 with value: 2.4395117239059374.
[I 2024-12-30 20:37:59,327] Trial 8 finished with value: 5.367525033181643 and parameters: {'factor': 0.8153696788812536, 'self_conf': 0.508520322360249, 'swarm_conf': 0.7323490924463987, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.1387740046529225, 'angle': 17.98085198372622, 'sigma': 0.13248275155556297}. Best is trial 0 with value: 2.4395117239059374.
[I 2024-12-30 20:37:59,656] Trial 9 finished with value: 2.0059658482992866 and parameters: {'factor': 0.18462417825915303, 'self_conf': 1.4519425485016528, 'swarm_conf': 0.9545053140546118, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7755138064758363, 'angle': 7.719044215303157, 'sigma': 0.2515093480229038}. Best is trial 9 with value: 2.0059658482992866.
[I 2024-12-30 20:37:59,994] Trial 10 finished with value: 1.9899216056587434 and parameters: {'factor': 0.3568344875136792, 'self_conf': 2.951976243005424, 'swarm_conf': 2.744741106507324, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.47507395521781026, 'angle': 5.677651051605848, 'sigma': 0.020831420146921104}. Best is trial 10 with value: 1.9899216056587434.
