Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.5405117232957318, 'angle': 14.408693167938573, 'sigma': 0.046498549162240936, 'factor': 0.11779253652571474, 'self_conf': 2.951026835950703, 'swarm_conf': 2.7883600653077947, 'version': 'inertial', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
7.955976169162414

Stderr:
[I 2024-11-21 00:03:10,825] A new study created in memory with name: no-name-3e6d28dd-7ea9-4840-b0e1-8640aca15b73
[I 2024-11-21 00:03:13,476] Trial 0 finished with value: 19.984749362155625 and parameters: {'radius': 0.7261349072538466, 'angle': 12.388751836796725, 'sigma': 0.12305955553027113, 'factor': 0.5460566570066635, 'self_conf': 2.8620427490366542, 'swarm_conf': 2.1180267386573988, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 19.984749362155625.
[I 2024-11-21 00:03:14,411] Trial 1 finished with value: 8.995998823353995 and parameters: {'radius': 0.70077266598846, 'angle': 22.078429645440277, 'sigma': 0.20636249135612397, 'factor': 0.4517743109872352, 'self_conf': 2.5377142660360263, 'swarm_conf': 2.0193529997411663, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 1 with value: 8.995998823353995.
[I 2024-11-21 00:03:15,382] Trial 2 finished with value: 16.966230216771837 and parameters: {'radius': 0.1258729535433383, 'angle': 1.9822114329110052, 'sigma': 0.2326805632108557, 'factor': 0.017445646634768743, 'self_conf': 2.4408177982434256, 'swarm_conf': 2.6688780471070634, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 8.995998823353995.
[I 2024-11-21 00:03:16,167] Trial 3 finished with value: 7.955976169162414 and parameters: {'radius': 0.5405117232957318, 'angle': 14.408693167938573, 'sigma': 0.046498549162240936, 'factor': 0.11779253652571474, 'self_conf': 2.951026835950703, 'swarm_conf': 2.7883600653077947, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 3 with value: 7.955976169162414.
[I 2024-11-21 00:03:16,980] Trial 4 finished with value: 18.819884412191872 and parameters: {'radius': 0.14674554005095347, 'angle': 21.747711385262942, 'sigma': 0.09494819920100317, 'factor': 0.5319458984846326, 'self_conf': 2.824340896515952, 'swarm_conf': 2.0293075366073987, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 3 with value: 7.955976169162414.
[I 2024-11-21 00:03:17,807] Trial 5 finished with value: 14.131473106927334 and parameters: {'radius': 0.23518648653580201, 'angle': 14.149931050279275, 'sigma': 0.11364071358787654, 'factor': 0.4776387475552026, 'self_conf': 2.699409721668434, 'swarm_conf': 2.293865636588494, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 3 with value: 7.955976169162414.
[I 2024-11-21 00:03:18,668] Trial 6 finished with value: 8.705969034793943 and parameters: {'radius': 0.560894950855825, 'angle': 10.195626834606886, 'sigma': 0.1522847759794529, 'factor': 0.5902047217896996, 'self_conf': 2.096927179472029, 'swarm_conf': 2.1074657334661984, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 3 with value: 7.955976169162414.
[I 2024-11-21 00:03:19,485] Trial 7 finished with value: 8.020190258329297 and parameters: {'radius': 0.7244605600498311, 'angle': 14.008113994804981, 'sigma': 0.09914947788881737, 'factor': 0.20041116268186593, 'self_conf': 2.2605744520311295, 'swarm_conf': 2.0873048245831276, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 3 with value: 7.955976169162414.
[I 2024-11-21 00:03:20,296] Trial 8 finished with value: 30.277238598513076 and parameters: {'radius': 0.1414334449558216, 'angle': 13.498924339390367, 'sigma': 0.05313158610743937, 'factor': 0.014356315012611922, 'self_conf': 2.2315836339518613, 'swarm_conf': 2.5174263813772106, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 3 with value: 7.955976169162414.
[I 2024-11-21 00:03:21,095] Trial 9 finished with value: 12.110948158580054 and parameters: {'radius': 0.4597374632387994, 'angle': 1.533458874950449, 'sigma': 0.10990524424603948, 'factor': 0.2826681141335487, 'self_conf': 2.21422475982624, 'swarm_conf': 2.3313089694033136, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 3 with value: 7.955976169162414.
[I 2024-11-21 00:03:21,885] Trial 10 finished with value: 9.949580495294759 and parameters: {'radius': 0.34325876934232497, 'angle': 7.615846310575845, 'sigma': 0.2989203978297369, 'factor': 0.1529236654448544, 'self_conf': 2.9395993601961217, 'swarm_conf': 2.9473237122186955, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 3 with value: 7.955976169162414.
