Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.7545293538428284, 'angle': 24.90940733593628, 'sigma': 0.06478817909645535, 'factor': 0.6388899218885276, 'self_conf': 3, 'swarm_conf': 2.54, 'version': 'constriction', 'distribution': 'gaussian'}
Mejor rendimiento encontrado:
1.6973977778889093e-11

Stderr:
[I 2024-12-09 12:02:53,096] A new study created in memory with name: no-name-6e1cc02e-0c0f-4cee-b8a8-c4fbf41e4c2a
[I 2024-12-09 12:02:56,474] Trial 0 finished with value: 0.022025816778132423 and parameters: {'radius': 0.812794879635573, 'angle': 21.60931722056619, 'sigma': 0.0985174269981437, 'factor': 0.601737067425981, 'self_conf': 3, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 0.022025816778132423.
[I 2024-12-09 12:02:57,440] Trial 1 finished with value: 0.02483210257202728 and parameters: {'radius': 0.7899169928559072, 'angle': 22.065373352946626, 'sigma': 0.07157654440278942, 'factor': 0.6394330036765113, 'self_conf': 3, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 0.022025816778132423.
[I 2024-12-09 12:02:58,410] Trial 2 finished with value: 0.001381648023891735 and parameters: {'radius': 0.7544720709833483, 'angle': 23.933063597340748, 'sigma': 0.07951836201751505, 'factor': 0.7488128827195337, 'self_conf': 3, 'swarm_conf': 2.54, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 0.001381648023891735.
[I 2024-12-09 12:02:59,379] Trial 3 finished with value: 0.010629119022256717 and parameters: {'radius': 0.7970652182507609, 'angle': 22.713980017799905, 'sigma': 0.07678422486416779, 'factor': 0.6221257873257495, 'self_conf': 3, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 0.001381648023891735.
[I 2024-12-09 12:03:00,366] Trial 4 finished with value: 0.0006672545744610403 and parameters: {'radius': 0.7271764546661639, 'angle': 23.18974900440937, 'sigma': 0.05498691578674985, 'factor': 0.7877623278174072, 'self_conf': 3, 'swarm_conf': 2.54, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 4 with value: 0.0006672545744610403.
[I 2024-12-09 12:03:01,342] Trial 5 finished with value: 0.00016151917199991317 and parameters: {'radius': 0.7006628433702348, 'angle': 23.42313153559384, 'sigma': 0.05461074784033568, 'factor': 0.7268878070987473, 'self_conf': 3, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 5 with value: 0.00016151917199991317.
[I 2024-12-09 12:03:02,316] Trial 6 finished with value: 4.639494122216092e-09 and parameters: {'radius': 0.875467836627226, 'angle': 21.05010112520455, 'sigma': 0.0546282554689596, 'factor': 0.6032972575410863, 'self_conf': 2.5, 'swarm_conf': 3, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 6 with value: 4.639494122216092e-09.
[I 2024-12-09 12:03:03,283] Trial 7 finished with value: 1.3786687347305815e-09 and parameters: {'radius': 0.8358478663075813, 'angle': 22.748446420734084, 'sigma': 0.05043131300065354, 'factor': 0.6052689108217538, 'self_conf': 2.5, 'swarm_conf': 3, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 7 with value: 1.3786687347305815e-09.
[I 2024-12-09 12:03:04,252] Trial 8 finished with value: 1.6973977778889093e-11 and parameters: {'radius': 0.7545293538428284, 'angle': 24.90940733593628, 'sigma': 0.06478817909645535, 'factor': 0.6388899218885276, 'self_conf': 3, 'swarm_conf': 2.54, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 8 with value: 1.6973977778889093e-11.
[I 2024-12-09 12:03:05,230] Trial 9 finished with value: 0.012806878176773395 and parameters: {'radius': 0.8225309954701457, 'angle': 22.950521505839642, 'sigma': 0.06669035733409293, 'factor': 0.7993163677289932, 'self_conf': 3, 'swarm_conf': 2.54, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 8 with value: 1.6973977778889093e-11.
[I 2024-12-09 12:03:06,209] Trial 10 finished with value: 7.56686144853802e-08 and parameters: {'radius': 0.7605795277453282, 'angle': 24.877384432846448, 'sigma': 0.08917699337492876, 'factor': 0.6694456039842712, 'self_conf': 2.5, 'swarm_conf': 2.54, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 8 with value: 1.6973977778889093e-11.
[I 2024-12-09 12:03:07,245] Trial 11 finished with value: 4.595610896274138e-07 and parameters: {'radius': 0.8561880414848589, 'angle': 20.224079503533822, 'sigma': 0.06347049823056687, 'factor': 0.6730355483267078, 'self_conf': 2.5, 'swarm_conf': 2.54, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 8 with value: 1.6973977778889093e-11.
[I 2024-12-09 12:03:08,338] Trial 12 finished with value: 1.044320718790459e-08 and parameters: {'radius': 0.8367065914080334, 'angle': 24.73087036331642, 'sigma': 0.05064637426306542, 'factor': 0.6569489866775899, 'self_conf': 2.5, 'swarm_conf': 3, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 8 with value: 1.6973977778889093e-11.
[I 2024-12-09 12:03:09,256] Trial 13 finished with value: 2.427800982474082e-08 and parameters: {'radius': 0.770315428284461, 'angle': 24.228078745463527, 'sigma': 0.062771258508205, 'factor': 0.6952377799377808, 'self_conf': 2.5, 'swarm_conf': 2.54, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 8 with value: 1.6973977778889093e-11.
[I 2024-12-09 12:03:10,267] Trial 14 finished with value: 7.592523942889784e-09 and parameters: {'radius': 0.8527568663786431, 'angle': 22.13654591125889, 'sigma': 0.06216982390166923, 'factor': 0.6313262960623536, 'self_conf': 2.5, 'swarm_conf': 3, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 8 with value: 1.6973977778889093e-11.
