Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.7201331441461036, 'self_conf': 2.0100483747694615, 'swarm_conf': 2.666733030272195, 'version': 'constriction', 'distribution': 'uniform', 'angle': 21.841303109628864, 'sigma': 0.1865578050785013}
Mejor rendimiento encontrado:
3.552713678800501e-15

Stderr:
[I 2024-12-09 12:18:22,925] A new study created in memory with name: no-name-be1709ce-5dd5-4218-8ecb-2d7dfb9496a6
[I 2024-12-09 12:18:26,173] Trial 0 finished with value: 3.006182078276857 and parameters: {'factor': 0.6481945417356613, 'self_conf': 2.226546674546495, 'swarm_conf': 2.083499967459783, 'version': 'inertial', 'distribution': 'uniform', 'angle': 21.254621951210765, 'sigma': 0.03554232905960164}. Best is trial 0 with value: 3.006182078276857.
[I 2024-12-09 12:18:27,069] Trial 1 finished with value: 5.478332490082215 and parameters: {'factor': 0.7007798854763209, 'self_conf': 2.859767671919581, 'swarm_conf': 2.720095911821964, 'version': 'inertial', 'distribution': 'uniform', 'angle': 23.35306310678822, 'sigma': 0.16770296967433274}. Best is trial 0 with value: 3.006182078276857.
[I 2024-12-09 12:18:27,985] Trial 2 finished with value: 3.552713678800501e-15 and parameters: {'factor': 0.7201331441461036, 'self_conf': 2.0100483747694615, 'swarm_conf': 2.666733030272195, 'version': 'constriction', 'distribution': 'uniform', 'angle': 21.841303109628864, 'sigma': 0.1865578050785013}. Best is trial 2 with value: 3.552713678800501e-15.
[I 2024-12-09 12:18:28,921] Trial 3 finished with value: 0.0011405449447066118 and parameters: {'factor': 0.6000314064591015, 'self_conf': 2.8502210780861694, 'swarm_conf': 2.76839447842449, 'version': 'constriction', 'distribution': 'uniform', 'angle': 22.22604707340702, 'sigma': 0.17715597386082554}. Best is trial 2 with value: 3.552713678800501e-15.
[I 2024-12-09 12:18:29,795] Trial 4 finished with value: 6.788215909891046 and parameters: {'factor': 0.8600673164187801, 'self_conf': 2.13123814107574, 'swarm_conf': 2.952229230672568, 'version': 'inertial', 'distribution': 'uniform', 'angle': 23.2133399606316, 'sigma': 0.06914981110593214}. Best is trial 2 with value: 3.552713678800501e-15.
[I 2024-12-09 12:18:30,735] Trial 5 finished with value: 0.0002588218538850384 and parameters: {'factor': 0.6228670922012254, 'self_conf': 2.6480616827404946, 'swarm_conf': 2.954950127200313, 'version': 'constriction', 'distribution': 'uniform', 'angle': 23.46545422724946, 'sigma': 0.17688207426139402}. Best is trial 2 with value: 3.552713678800501e-15.
[I 2024-12-09 12:18:31,619] Trial 6 finished with value: 7.341142002018814 and parameters: {'factor': 0.8359681323819396, 'self_conf': 2.4966199980972736, 'swarm_conf': 2.976318956264975, 'version': 'inertial', 'distribution': 'uniform', 'angle': 22.110914857095434, 'sigma': 0.03610248048182058}. Best is trial 2 with value: 3.552713678800501e-15.
[I 2024-12-09 12:18:32,502] Trial 7 finished with value: 9.92453091277272 and parameters: {'factor': 0.8914186365297557, 'self_conf': 2.0546438611070053, 'swarm_conf': 2.486752879269043, 'version': 'inertial', 'distribution': 'gaussian', 'angle': 20.68278042536933, 'sigma': 0.013281141391260872}. Best is trial 2 with value: 3.552713678800501e-15.
[I 2024-12-09 12:18:33,399] Trial 8 finished with value: 1.673868450513538e-05 and parameters: {'factor': 0.7123307196889606, 'self_conf': 2.4491433533563938, 'swarm_conf': 2.80045170770274, 'version': 'constriction', 'distribution': 'gaussian', 'angle': 24.584070205698826, 'sigma': 0.12479245341845023}. Best is trial 2 with value: 3.552713678800501e-15.
[I 2024-12-09 12:18:34,292] Trial 9 finished with value: 0.0009841125059599776 and parameters: {'factor': 0.8736966872172022, 'self_conf': 2.9092321123907317, 'swarm_conf': 2.3463391993830136, 'version': 'constriction', 'distribution': 'gaussian', 'angle': 24.775058875313505, 'sigma': 0.19507593476471816}. Best is trial 2 with value: 3.552713678800501e-15.
[I 2024-12-09 12:18:35,235] Trial 10 finished with value: 1.9276702980519644e-06 and parameters: {'factor': 0.5017784720811297, 'self_conf': 2.2879025203430445, 'swarm_conf': 2.2842849934946927, 'version': 'constriction', 'distribution': 'gaussian', 'angle': 20.19527700469065, 'sigma': 0.12897939986788545}. Best is trial 2 with value: 3.552713678800501e-15.
