Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.3572258761138219, 'angle': 23.092266010317665, 'sigma': 0.699278458209726, 'factor': 0.5676482212040213, 'self_conf': 2.612209555214479, 'swarm_conf': 2.7545198154000348, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
3.552713678800501e-15

Stderr:
[I 2024-12-09 12:33:16,507] A new study created in memory with name: no-name-5d52875c-b840-44e1-9f5d-e250ce7420fc
[I 2024-12-09 12:33:19,219] Trial 0 finished with value: 2.0540571288307774e-07 and parameters: {'radius': 0.8724258971850869, 'angle': 1.4772544335771052, 'sigma': 0.10243177858252377, 'factor': 0.20959874769174205, 'self_conf': 1.3541687120854355, 'swarm_conf': 2.7402430524462487, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 0 with value: 2.0540571288307774e-07.
[I 2024-12-09 12:33:20,153] Trial 1 finished with value: 0.22770293633584693 and parameters: {'radius': 0.1780512570644313, 'angle': 3.6349557325198534, 'sigma': 0.013167764016978417, 'factor': 0.21123175819608594, 'self_conf': 1.5082573776096735, 'swarm_conf': 1.907213749429036, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 0 with value: 2.0540571288307774e-07.
[I 2024-12-09 12:33:21,097] Trial 2 finished with value: 0.014901432804777848 and parameters: {'radius': 0.30085621056057194, 'angle': 4.515833302012463, 'sigma': 0.5778973875598722, 'factor': 0.4986014184555534, 'self_conf': 2.1615904626703424, 'swarm_conf': 2.7684866777796784, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 2.0540571288307774e-07.
[I 2024-12-09 12:33:22,037] Trial 3 finished with value: 6.720540687243926e-05 and parameters: {'radius': 0.6430030693788716, 'angle': 20.83322373789299, 'sigma': 0.5008932489837217, 'factor': 0.30561018451989364, 'self_conf': 1.0979452766942928, 'swarm_conf': 2.831271381247631, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 2.0540571288307774e-07.
[I 2024-12-09 12:33:23,003] Trial 4 finished with value: 1.192640104896725e-06 and parameters: {'radius': 0.23366651158633706, 'angle': 10.627800151669824, 'sigma': 0.621322453797664, 'factor': 0.5660748666062408, 'self_conf': 1.0257956926333442, 'swarm_conf': 1.4320191795466104, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 0 with value: 2.0540571288307774e-07.
[I 2024-12-09 12:33:23,956] Trial 5 finished with value: 0.00023618830852445427 and parameters: {'radius': 0.2747723176389662, 'angle': 12.885847278799071, 'sigma': 0.03857365590617893, 'factor': 0.1690747238147847, 'self_conf': 2.056376325256334, 'swarm_conf': 2.189828828854715, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 2.0540571288307774e-07.
[I 2024-12-09 12:33:24,925] Trial 6 finished with value: 7.110987976233218e-08 and parameters: {'radius': 0.8647153032656163, 'angle': 14.922919767240629, 'sigma': 0.6912850168333214, 'factor': 0.45054751877544985, 'self_conf': 1.830550012883334, 'swarm_conf': 2.875883841867092, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 6 with value: 7.110987976233218e-08.
[I 2024-12-09 12:33:25,857] Trial 7 finished with value: 0.00018705095654780735 and parameters: {'radius': 0.6748835220608964, 'angle': 20.950275750247386, 'sigma': 0.19907003577943777, 'factor': 0.12080350017785432, 'self_conf': 1.206651961733704, 'swarm_conf': 1.6952083766465367, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 6 with value: 7.110987976233218e-08.
[I 2024-12-09 12:33:26,805] Trial 8 finished with value: 0.0005522813337313082 and parameters: {'radius': 0.6843364739441411, 'angle': 3.1442283382709455, 'sigma': 0.6350920665489258, 'factor': 0.515438255491486, 'self_conf': 2.261256437960444, 'swarm_conf': 1.6933168991694378, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 6 with value: 7.110987976233218e-08.
[I 2024-12-09 12:33:27,770] Trial 9 finished with value: 3.552713678800501e-15 and parameters: {'radius': 0.3572258761138219, 'angle': 23.092266010317665, 'sigma': 0.699278458209726, 'factor': 0.5676482212040213, 'self_conf': 2.612209555214479, 'swarm_conf': 2.7545198154000348, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 9 with value: 3.552713678800501e-15.
[I 2024-12-09 12:33:28,730] Trial 10 finished with value: 7.105427357601002e-15 and parameters: {'radius': 0.43355063343132927, 'angle': 24.68735519056715, 'sigma': 0.8582864991423155, 'factor': 0.3745525173631735, 'self_conf': 2.8513901863852027, 'swarm_conf': 2.3097665009164006, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 9 with value: 3.552713678800501e-15.
[I 2024-12-09 12:33:29,688] Trial 11 finished with value: 3.552713678800501e-15 and parameters: {'radius': 0.45451015735688444, 'angle': 24.592006457519783, 'sigma': 0.8918205868302564, 'factor': 0.3818169693451732, 'self_conf': 2.9272802908826425, 'swarm_conf': 2.3563181238338524, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 9 with value: 3.552713678800501e-15.
[I 2024-12-09 12:33:30,747] Trial 12 finished with value: 5.329070518200751e-15 and parameters: {'radius': 0.4396029456174528, 'angle': 24.93881548503641, 'sigma': 0.8885478329136516, 'factor': 0.3606295912471465, 'self_conf': 2.994445531696743, 'swarm_conf': 2.450417988817687, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 9 with value: 3.552713678800501e-15.
