Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.7499114446143524, 'self_conf': 2.1300661073310345, 'swarm_conf': 2.4414287004906425, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7019592222196587, 'angle': 23.83745728339031, 'sigma': 0.017166806983430344}
Mejor rendimiento encontrado:
0.0

Stderr:
[I 2024-12-09 16:40:09,883] A new study created in memory with name: no-name-8d6d04da-b7c1-4a50-a467-6494f5c7baa9
[I 2024-12-09 16:40:13,008] Trial 0 finished with value: 6.304201605189519e-11 and parameters: {'factor': 0.5518692769375905, 'self_conf': 2.1189995619883737, 'swarm_conf': 2.311955043715075, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5589725135394248, 'angle': 22.536091224561986, 'sigma': 0.07215189933586348}. Best is trial 0 with value: 6.304201605189519e-11.
[I 2024-12-09 16:40:13,830] Trial 1 finished with value: 4.289841518400641 and parameters: {'factor': 0.8006739841539947, 'self_conf': 2.3449170978978, 'swarm_conf': 2.8129993258210164, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7943453555873272, 'angle': 22.46211928463388, 'sigma': 0.07669997861080653}. Best is trial 0 with value: 6.304201605189519e-11.
[I 2024-12-09 16:40:14,682] Trial 2 finished with value: 0.0 and parameters: {'factor': 0.7499114446143524, 'self_conf': 2.1300661073310345, 'swarm_conf': 2.4414287004906425, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7019592222196587, 'angle': 23.83745728339031, 'sigma': 0.017166806983430344}. Best is trial 2 with value: 0.0.
[I 2024-12-09 16:40:15,495] Trial 3 finished with value: 0.052561274082172815 and parameters: {'factor': 0.8363760646863838, 'self_conf': 2.035619148074483, 'swarm_conf': 2.6573879041328987, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.5506896244818663, 'angle': 24.0337959890298, 'sigma': 0.030303060021163147}. Best is trial 2 with value: 0.0.
[I 2024-12-09 16:40:16,328] Trial 4 finished with value: 0.32529638814733364 and parameters: {'factor': 0.8674206702209551, 'self_conf': 2.641607815287821, 'swarm_conf': 2.6202431274836213, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.5397028658828777, 'angle': 23.0429131074881, 'sigma': 0.042535067628452036}. Best is trial 2 with value: 0.0.
[I 2024-12-09 16:40:17,153] Trial 5 finished with value: 1.834854224114224e-08 and parameters: {'factor': 0.5724424949012258, 'self_conf': 2.025576920155778, 'swarm_conf': 2.120269208787769, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6169882088753671, 'angle': 23.7239253096058, 'sigma': 0.029419655616968635}. Best is trial 2 with value: 0.0.
[I 2024-12-09 16:40:18,019] Trial 6 finished with value: 0.0 and parameters: {'factor': 0.7744018597014792, 'self_conf': 2.6004077187062378, 'swarm_conf': 2.1557354197767244, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7926809518545426, 'angle': 24.380456588864934, 'sigma': 0.07139042862234009}. Best is trial 2 with value: 0.0.
[I 2024-12-09 16:40:18,834] Trial 7 finished with value: 0.11605502693915692 and parameters: {'factor': 0.8782333082291304, 'self_conf': 2.7386665120515303, 'swarm_conf': 2.4440199193112093, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.5581156389887645, 'angle': 21.470645851444797, 'sigma': 0.05601098144747631}. Best is trial 2 with value: 0.0.
[I 2024-12-09 16:40:19,647] Trial 8 finished with value: 0.010174618657790901 and parameters: {'factor': 0.6067630163137665, 'self_conf': 2.369114667584462, 'swarm_conf': 2.4671223992895683, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7413317052755782, 'angle': 21.959448166553933, 'sigma': 0.09800581708575809}. Best is trial 2 with value: 0.0.
[I 2024-12-09 16:40:20,505] Trial 9 finished with value: 0.0 and parameters: {'factor': 0.8642944460208187, 'self_conf': 2.6779412649506287, 'swarm_conf': 2.7737809337991446, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5364384158692815, 'angle': 21.257952935309444, 'sigma': 0.015765185157344694}. Best is trial 2 with value: 0.0.
[I 2024-12-09 16:40:21,399] Trial 10 finished with value: 3.552713678800501e-15 and parameters: {'factor': 0.6678952494840433, 'self_conf': 2.974952256999005, 'swarm_conf': 2.9155539378306727, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6724795579983069, 'angle': 23.383292764732328, 'sigma': 0.013521394988037339}. Best is trial 2 with value: 0.0.
[I 2024-12-09 16:40:22,280] Trial 11 finished with value: 4.360453331742065e-09 and parameters: {'factor': 0.9764495848362835, 'self_conf': 2.3099613730100614, 'swarm_conf': 2.041137986952847, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8889003053061839, 'angle': 24.988214335406255, 'sigma': 0.06278955470063267}. Best is trial 2 with value: 0.0.
[I 2024-12-09 16:40:23,148] Trial 12 finished with value: 3.552713678800501e-15 and parameters: {'factor': 0.7260275068581002, 'self_conf': 2.5087180724762868, 'swarm_conf': 2.2614842923062968, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8072538550208604, 'angle': 24.751004129874147, 'sigma': 0.08943337368249733}. Best is trial 2 with value: 0.0.
[I 2024-12-09 16:40:24,017] Trial 13 finished with value: 0.00029869072236632377 and parameters: {'factor': 0.7334991619433499, 'self_conf': 2.898072543470445, 'swarm_conf': 2.2360451456324686, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7091690139628481, 'angle': 20.11229098874582, 'sigma': 0.041518383653620275}. Best is trial 2 with value: 0.0.
[I 2024-12-09 16:40:24,891] Trial 14 finished with value: 1.7496670778882617e-10 and parameters: {'factor': 0.6551904005140655, 'self_conf': 2.5329550135550125, 'swarm_conf': 2.38383947206709, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7824939534016266, 'angle': 24.266992951446394, 'sigma': 0.07796126472927037}. Best is trial 2 with value: 0.0.
