Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'spiral_radius': 0.42853286751156006, 'spiral_angle': 24.077274226281233, 'spiral_sigma': 0.28781198816215064, 'swarm_factor': 0.8698201881032578, 'swarm_self_conf': 3, 'swarm_swarm_conf': 2.56, 'swarm_version': 'constriction', 'swarm_distribution': 'gaussian'}
Mejor rendimiento encontrado:
2.6645352591003757e-15

Stderr:
[I 2024-12-11 21:10:14,325] A new study created in memory with name: no-name-80f3ac67-8a31-483b-9ceb-c9b91b7b8a35
[I 2024-12-11 21:10:18,067] Trial 0 finished with value: 0.0025686093616403838 and parameters: {'spiral_radius': 0.8478031981828558, 'spiral_angle': 24.32412033355154, 'spiral_sigma': 0.656652257919307, 'swarm_factor': 0.5459562937987005, 'swarm_self_conf': 1.5, 'swarm_swarm_conf': 3, 'swarm_version': 'inertial', 'swarm_distribution': 'uniform'}. Best is trial 0 with value: 0.0025686093616403838.
[I 2024-12-11 21:10:19,140] Trial 1 finished with value: 1.8670616448295183 and parameters: {'spiral_radius': 0.7519231007174151, 'spiral_angle': 24.369536329702576, 'spiral_sigma': 0.5309381892763887, 'swarm_factor': 0.6043796262345636, 'swarm_self_conf': 3, 'swarm_swarm_conf': 1.5, 'swarm_version': 'inertial', 'swarm_distribution': 'gaussian'}. Best is trial 0 with value: 0.0025686093616403838.
[I 2024-12-11 21:10:20,156] Trial 2 finished with value: 9.219902175061634e-09 and parameters: {'spiral_radius': 0.10391362975297946, 'spiral_angle': 23.403568702308302, 'spiral_sigma': 0.14099533978320997, 'swarm_factor': 0.7808084216027186, 'swarm_self_conf': 2.54, 'swarm_swarm_conf': 1.5, 'swarm_version': 'inertial', 'swarm_distribution': 'levy'}. Best is trial 2 with value: 9.219902175061634e-09.
[I 2024-12-11 21:10:21,124] Trial 3 finished with value: 13.839348765167117 and parameters: {'spiral_radius': 0.13077953867283992, 'spiral_angle': 23.66359212052253, 'spiral_sigma': 0.08719946471994529, 'swarm_factor': 0.14268832771665993, 'swarm_self_conf': 2.54, 'swarm_swarm_conf': 2.56, 'swarm_version': 'constriction', 'swarm_distribution': 'uniform'}. Best is trial 2 with value: 9.219902175061634e-09.
[I 2024-12-11 21:10:22,097] Trial 4 finished with value: 3.552713678800501e-15 and parameters: {'spiral_radius': 0.3801570720086348, 'spiral_angle': 24.046260664196428, 'spiral_sigma': 0.41631288869228966, 'swarm_factor': 0.8214322161647907, 'swarm_self_conf': 3, 'swarm_swarm_conf': 2.56, 'swarm_version': 'constriction', 'swarm_distribution': 'gaussian'}. Best is trial 4 with value: 3.552713678800501e-15.
[I 2024-12-11 21:10:23,011] Trial 5 finished with value: 4.261740162461204 and parameters: {'spiral_radius': 0.8842164955471288, 'spiral_angle': 22.65321584992963, 'spiral_sigma': 0.33698170626715274, 'swarm_factor': 0.4899756051986887, 'swarm_self_conf': 1.5, 'swarm_swarm_conf': 1.5, 'swarm_version': 'inertial', 'swarm_distribution': 'gaussian'}. Best is trial 4 with value: 3.552713678800501e-15.
[I 2024-12-11 21:10:23,932] Trial 6 finished with value: 5.0784581479668134e-05 and parameters: {'spiral_radius': 0.2710504985154058, 'spiral_angle': 23.403234840004536, 'spiral_sigma': 0.5232323540496916, 'swarm_factor': 0.6914026975099945, 'swarm_self_conf': 3, 'swarm_swarm_conf': 3, 'swarm_version': 'inertial', 'swarm_distribution': 'gaussian'}. Best is trial 4 with value: 3.552713678800501e-15.
[I 2024-12-11 21:10:24,856] Trial 7 finished with value: 0.40381503602870517 and parameters: {'spiral_radius': 0.8141420224166314, 'spiral_angle': 23.827709195474988, 'spiral_sigma': 0.7323553548590772, 'swarm_factor': 0.554406924006891, 'swarm_self_conf': 1.5, 'swarm_swarm_conf': 1.5, 'swarm_version': 'inertial', 'swarm_distribution': 'gaussian'}. Best is trial 4 with value: 3.552713678800501e-15.
[I 2024-12-11 21:10:25,796] Trial 8 finished with value: 0.5003008348541114 and parameters: {'spiral_radius': 0.6414587983106479, 'spiral_angle': 22.974744667951388, 'spiral_sigma': 0.08455274619596233, 'swarm_factor': 0.33847579387153487, 'swarm_self_conf': 3, 'swarm_swarm_conf': 2.56, 'swarm_version': 'constriction', 'swarm_distribution': 'uniform'}. Best is trial 4 with value: 3.552713678800501e-15.
[I 2024-12-11 21:10:26,705] Trial 9 finished with value: 0.017980991625936582 and parameters: {'spiral_radius': 0.8946802002498979, 'spiral_angle': 24.665152169629252, 'spiral_sigma': 0.7884802432058974, 'swarm_factor': 0.8328309922114601, 'swarm_self_conf': 3, 'swarm_swarm_conf': 1.5, 'swarm_version': 'constriction', 'swarm_distribution': 'levy'}. Best is trial 4 with value: 3.552713678800501e-15.
[I 2024-12-11 21:10:27,669] Trial 10 finished with value: 2.6645352591003757e-15 and parameters: {'spiral_radius': 0.42853286751156006, 'spiral_angle': 24.077274226281233, 'spiral_sigma': 0.28781198816215064, 'swarm_factor': 0.8698201881032578, 'swarm_self_conf': 3, 'swarm_swarm_conf': 2.56, 'swarm_version': 'constriction', 'swarm_distribution': 'gaussian'}. Best is trial 10 with value: 2.6645352591003757e-15.
[I 2024-12-11 21:10:28,606] Trial 11 finished with value: 3.552713678800501e-15 and parameters: {'spiral_radius': 0.4175843382731299, 'spiral_angle': 24.12982650070793, 'spiral_sigma': 0.3300179908837022, 'swarm_factor': 0.8904491799658885, 'swarm_self_conf': 3, 'swarm_swarm_conf': 2.56, 'swarm_version': 'constriction', 'swarm_distribution': 'gaussian'}. Best is trial 10 with value: 2.6645352591003757e-15.
[I 2024-12-11 21:10:29,556] Trial 12 finished with value: 3.552713678800501e-15 and parameters: {'spiral_radius': 0.47026695197465507, 'spiral_angle': 24.84378031880132, 'spiral_sigma': 0.300628013112172, 'swarm_factor': 0.7259591028321756, 'swarm_self_conf': 3, 'swarm_swarm_conf': 2.56, 'swarm_version': 'constriction', 'swarm_distribution': 'gaussian'}. Best is trial 10 with value: 2.6645352591003757e-15.
[I 2024-12-11 21:10:30,592] Trial 13 finished with value: 3.552713678800501e-15 and parameters: {'spiral_radius': 0.332667945423385, 'spiral_angle': 23.987373339622483, 'spiral_sigma': 0.2392593587995144, 'swarm_factor': 0.8489708635851676, 'swarm_self_conf': 3, 'swarm_swarm_conf': 2.56, 'swarm_version': 'constriction', 'swarm_distribution': 'gaussian'}. Best is trial 10 with value: 2.6645352591003757e-15.
