Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.6715763388963456, 'angle': 20.918016919172686, 'sigma': 0.29097902093263, 'factor': 0.5608325551368725, 'self_conf': 2.576030143799188, 'swarm_conf': 2.5797235968869505, 'version': 'constriction', 'distribution': 'gaussian'}
Mejor rendimiento encontrado:
0.0

Stderr:
[I 2024-12-11 21:49:55,556] A new study created in memory with name: no-name-f673b8b3-431d-4538-be59-41390205bde5
[I 2024-12-11 21:49:59,078] Trial 0 finished with value: 0.42846999400729313 and parameters: {'radius': 0.5973576672744865, 'angle': 23.171402479730332, 'sigma': 0.39364409640847253, 'factor': 0.7750357417416904, 'self_conf': 2.036897708088028, 'swarm_conf': 2.7919517024089804, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 0.42846999400729313.
[I 2024-12-11 21:50:00,126] Trial 1 finished with value: 3.552713678800501e-15 and parameters: {'radius': 0.6870827049046118, 'angle': 21.225873970928454, 'sigma': 0.3588872028512101, 'factor': 0.48904814842783667, 'self_conf': 2.0662936402897225, 'swarm_conf': 2.511552563330396, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 3.552713678800501e-15.
[I 2024-12-11 21:50:01,054] Trial 2 finished with value: 0.004825524346188104 and parameters: {'radius': 0.7380223956322313, 'angle': 21.79624076985965, 'sigma': 0.42839046340081505, 'factor': 0.4906990400728853, 'self_conf': 2.83438743640368, 'swarm_conf': 2.521725169150353, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 1 with value: 3.552713678800501e-15.
[I 2024-12-11 21:50:01,960] Trial 3 finished with value: 3.145797607779241 and parameters: {'radius': 0.7966209685687651, 'angle': 23.442518707558822, 'sigma': 0.44796186066325305, 'factor': 0.3727946883788394, 'self_conf': 2.0768443981752593, 'swarm_conf': 2.6164437843996455, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 1 with value: 3.552713678800501e-15.
[I 2024-12-11 21:50:02,872] Trial 4 finished with value: 2.0979752157757048e-08 and parameters: {'radius': 0.655070504201137, 'angle': 21.86102162579933, 'sigma': 0.47359068305559876, 'factor': 0.44715702488401315, 'self_conf': 2.3609341824432315, 'swarm_conf': 2.8468376006556437, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 3.552713678800501e-15.
[I 2024-12-11 21:50:03,726] Trial 5 finished with value: 0.12258522241140657 and parameters: {'radius': 0.5866763314896584, 'angle': 21.868928146177545, 'sigma': 0.38196550783247935, 'factor': 0.8923086019441029, 'self_conf': 2.3613803854787383, 'swarm_conf': 2.8851553145166497, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 3.552713678800501e-15.
[I 2024-12-11 21:50:04,679] Trial 6 finished with value: 0.04981300795462662 and parameters: {'radius': 0.5717122508119951, 'angle': 20.046682425774804, 'sigma': 0.4780915362304226, 'factor': 0.3162306352803924, 'self_conf': 2.1912385086908177, 'swarm_conf': 2.9319456936441846, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 1 with value: 3.552713678800501e-15.
[I 2024-12-11 21:50:05,573] Trial 7 finished with value: 1.2666934168237276e-09 and parameters: {'radius': 0.6971975111829128, 'angle': 24.707598109227238, 'sigma': 0.383908765956876, 'factor': 0.7406730948897403, 'self_conf': 2.828978683064106, 'swarm_conf': 2.510790209270822, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 1 with value: 3.552713678800501e-15.
[I 2024-12-11 21:50:06,419] Trial 8 finished with value: 0.2846672047696952 and parameters: {'radius': 0.5509484914222489, 'angle': 23.632304966783547, 'sigma': 0.23677158629297512, 'factor': 0.8417773260155051, 'self_conf': 2.343495809324779, 'swarm_conf': 2.947969796466448, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 1 with value: 3.552713678800501e-15.
[I 2024-12-11 21:50:07,302] Trial 9 finished with value: 0.10605477954731946 and parameters: {'radius': 0.593112053999968, 'angle': 21.453790047378003, 'sigma': 0.15876326996419746, 'factor': 0.4611307988675464, 'self_conf': 2.0031532390260147, 'swarm_conf': 2.587302583189307, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 1 with value: 3.552713678800501e-15.
[I 2024-12-11 21:50:08,167] Trial 10 finished with value: 4.009653764569521e-08 and parameters: {'radius': 0.864800002852139, 'angle': 20.27242537324738, 'sigma': 0.020211740058972527, 'factor': 0.6193741621468463, 'self_conf': 2.5954392402120563, 'swarm_conf': 2.697801211828276, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 3.552713678800501e-15.
[I 2024-12-11 21:50:09,058] Trial 11 finished with value: 5.329070518200751e-15 and parameters: {'radius': 0.7018148603347086, 'angle': 24.984526591792655, 'sigma': 0.3075554254252531, 'factor': 0.6718427070785977, 'self_conf': 2.943045676814486, 'swarm_conf': 2.503084825517587, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 3.552713678800501e-15.
[I 2024-12-11 21:50:09,962] Trial 12 finished with value: 1.8918200339612667e-13 and parameters: {'radius': 0.7627536329083381, 'angle': 24.694521498115783, 'sigma': 0.3002952243607399, 'factor': 0.615319135611051, 'self_conf': 2.993347280429118, 'swarm_conf': 2.676432812556654, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 3.552713678800501e-15.
[I 2024-12-11 21:50:10,886] Trial 13 finished with value: 0.0 and parameters: {'radius': 0.6715763388963456, 'angle': 20.918016919172686, 'sigma': 0.29097902093263, 'factor': 0.5608325551368725, 'self_conf': 2.576030143799188, 'swarm_conf': 2.5797235968869505, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 13 with value: 0.0.
[I 2024-12-11 21:50:11,840] Trial 14 finished with value: 3.552713678800501e-15 and parameters: {'radius': 0.6544831325571133, 'angle': 20.87368805223863, 'sigma': 0.1962187976207313, 'factor': 0.5336106361215713, 'self_conf': 2.580359441122886, 'swarm_conf': 2.593671904316572, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 13 with value: 0.0.
