Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.5032973985451278, 'angle': 10.043200893182707, 'sigma': 0.2936427012796703, 'factor': 0.6057233734461911, 'self_conf': 2.3892616002595375, 'swarm_conf': 2.534573464710466, 'version': 'constriction', 'distribution': 'gaussian'}
Mejor rendimiento encontrado:
2.6645352591003757e-15

Stderr:
[I 2024-12-11 22:22:48,617] A new study created in memory with name: no-name-25b87d92-0f3a-4c53-b05d-a3da63c62f26
[I 2024-12-11 22:22:52,208] Trial 0 finished with value: 4.535260713239747 and parameters: {'radius': 0.7322531483035187, 'angle': 17.971947325933943, 'sigma': 0.18446139256524355, 'factor': 0.7326252359846436, 'self_conf': 2.5856197688693925, 'swarm_conf': 2.853172006080588, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 4.535260713239747.
[I 2024-12-11 22:22:53,185] Trial 1 finished with value: 1.4812815045672778e-05 and parameters: {'radius': 0.701620927515784, 'angle': 16.123048153715803, 'sigma': 0.1534886493475316, 'factor': 0.7976421168534131, 'self_conf': 2.9397484124978073, 'swarm_conf': 2.511729461648514, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 1 with value: 1.4812815045672778e-05.
[I 2024-12-11 22:22:54,127] Trial 2 finished with value: 3.552713678800501e-15 and parameters: {'radius': 0.6939499216677016, 'angle': 10.341236591741847, 'sigma': 0.236521238492094, 'factor': 0.7978831882557795, 'self_conf': 2.1818619757391824, 'swarm_conf': 2.637689210237261, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 3.552713678800501e-15.
[I 2024-12-11 22:22:54,980] Trial 3 finished with value: 2.759887186309811 and parameters: {'radius': 0.7654200865463279, 'angle': 21.862375482609067, 'sigma': 0.1974135201965067, 'factor': 0.7293148371729616, 'self_conf': 2.160651848789722, 'swarm_conf': 2.993972990065442, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 3.552713678800501e-15.
[I 2024-12-11 22:22:55,862] Trial 4 finished with value: 4.1744385725905886e-14 and parameters: {'radius': 0.752289513454822, 'angle': 16.94155678047589, 'sigma': 0.18147973556912175, 'factor': 0.6690950990162482, 'self_conf': 2.123909525034798, 'swarm_conf': 2.8415196910383225, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 3.552713678800501e-15.
[I 2024-12-11 22:22:56,704] Trial 5 finished with value: 3.4234565880271486 and parameters: {'radius': 0.6961501240826641, 'angle': 22.312908439809256, 'sigma': 0.12819322352565649, 'factor': 0.7126114839860513, 'self_conf': 2.499625879661862, 'swarm_conf': 2.2549145735489544, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 2 with value: 3.552713678800501e-15.
[I 2024-12-11 22:22:57,558] Trial 6 finished with value: 1.0128273064680116e-07 and parameters: {'radius': 0.5781161054918923, 'angle': 13.113893404295368, 'sigma': 0.16209633497072437, 'factor': 0.6919770669792931, 'self_conf': 2.5720118752992365, 'swarm_conf': 2.825796676987894, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 3.552713678800501e-15.
[I 2024-12-11 22:22:58,501] Trial 7 finished with value: 0.010925120767047325 and parameters: {'radius': 0.557961985531116, 'angle': 24.727805257492008, 'sigma': 0.22762152006405106, 'factor': 0.6534602994237882, 'self_conf': 2.764874313233915, 'swarm_conf': 2.6183580055745588, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 3.552713678800501e-15.
[I 2024-12-11 22:22:59,360] Trial 8 finished with value: 7.910208500661042e-06 and parameters: {'radius': 0.8873411996320114, 'angle': 16.997885184386273, 'sigma': 0.16655256615501562, 'factor': 0.7177200082500003, 'self_conf': 2.255305609215463, 'swarm_conf': 2.9197857720156692, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 2 with value: 3.552713678800501e-15.
[I 2024-12-11 22:23:00,237] Trial 9 finished with value: 0.002912737493192985 and parameters: {'radius': 0.6241382729735141, 'angle': 23.116837224134674, 'sigma': 0.22455425409574353, 'factor': 0.6446899856296165, 'self_conf': 2.974828247608216, 'swarm_conf': 2.203253952908717, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 3.552713678800501e-15.
[I 2024-12-11 22:23:01,146] Trial 10 finished with value: 2.6645352591003757e-15 and parameters: {'radius': 0.5032973985451278, 'angle': 10.043200893182707, 'sigma': 0.2936427012796703, 'factor': 0.6057233734461911, 'self_conf': 2.3892616002595375, 'swarm_conf': 2.534573464710466, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 10 with value: 2.6645352591003757e-15.
