Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.33974742590800333, 'self_conf': 2.225210348400868, 'swarm_conf': 2.9823972332908575, 'version': 'constriction', 'distribution': 'gaussian', 'scale': 0.9226426747350651, 'beta': 1.556610326082572}
Mejor rendimiento encontrado:
3.043059138008175e-10

Stderr:
[I 2024-12-11 22:27:31,936] A new study created in memory with name: no-name-411c8aaf-e66f-4f1f-b631-92a288836b14
[I 2024-12-11 22:27:36,158] Trial 0 finished with value: 0.0011010197332739224 and parameters: {'factor': 0.4829066315696497, 'self_conf': 1.6875119701777623, 'swarm_conf': 0.17279410201679554, 'version': 'constriction', 'distribution': 'uniform', 'scale': 0.16229255478679466, 'beta': 1.2313844194307584}. Best is trial 0 with value: 0.0011010197332739224.
[I 2024-12-11 22:27:37,187] Trial 1 finished with value: 0.20287619863965567 and parameters: {'factor': 0.4002304833306634, 'self_conf': 2.470126523040542, 'swarm_conf': 1.7256789685428633, 'version': 'inertial', 'distribution': 'levy', 'scale': 0.2366702299944402, 'beta': 1.9043667709120087}. Best is trial 0 with value: 0.0011010197332739224.
[I 2024-12-11 22:27:38,050] Trial 2 finished with value: 3.513754660121519 and parameters: {'factor': 0.14745748774749964, 'self_conf': 2.830564420854853, 'swarm_conf': 2.51105732265077, 'version': 'inertial', 'distribution': 'uniform', 'scale': 1.6290614582718694, 'beta': 1.142667316993593}. Best is trial 0 with value: 0.0011010197332739224.
[I 2024-12-11 22:27:38,939] Trial 3 finished with value: 1.6900897570337747e-08 and parameters: {'factor': 0.13288727864279082, 'self_conf': 1.969599529356744, 'swarm_conf': 2.095214818796276, 'version': 'constriction', 'distribution': 'gaussian', 'scale': 0.8689096333763422, 'beta': 1.2245766397552633}. Best is trial 3 with value: 1.6900897570337747e-08.
[I 2024-12-11 22:27:39,859] Trial 4 finished with value: 0.1393681812326113 and parameters: {'factor': 0.5774916740857629, 'self_conf': 1.8602511507152073, 'swarm_conf': 0.23704548570214543, 'version': 'inertial', 'distribution': 'levy', 'scale': 0.22428625168332364, 'beta': 0.9882691973933497}. Best is trial 3 with value: 1.6900897570337747e-08.
[I 2024-12-11 22:27:40,711] Trial 5 finished with value: 0.0007089965717330671 and parameters: {'factor': 0.17324187045580583, 'self_conf': 0.6788104025712756, 'swarm_conf': 0.7612444540810288, 'version': 'inertial', 'distribution': 'gaussian', 'scale': 1.9222222724209488, 'beta': 1.9743298871926527}. Best is trial 3 with value: 1.6900897570337747e-08.
[I 2024-12-11 22:27:41,605] Trial 6 finished with value: 11.285672474599039 and parameters: {'factor': 0.8638983182489044, 'self_conf': 0.3102566701887454, 'swarm_conf': 0.2355648021679598, 'version': 'constriction', 'distribution': 'uniform', 'scale': 2.7412682619601707, 'beta': 0.6590746448698788}. Best is trial 3 with value: 1.6900897570337747e-08.
[I 2024-12-11 22:27:42,466] Trial 7 finished with value: 8.79476904445116 and parameters: {'factor': 0.16027012698160475, 'self_conf': 0.2091062582646818, 'swarm_conf': 0.5855346234497746, 'version': 'constriction', 'distribution': 'levy', 'scale': 2.3674370360522987, 'beta': 0.577032180988424}. Best is trial 3 with value: 1.6900897570337747e-08.
[I 2024-12-11 22:27:43,297] Trial 8 finished with value: 4.7025407254337335 and parameters: {'factor': 0.8874363650546735, 'self_conf': 1.5589744252781215, 'swarm_conf': 2.2850336177065653, 'version': 'inertial', 'distribution': 'levy', 'scale': 2.8408068878451758, 'beta': 1.4724786793864544}. Best is trial 3 with value: 1.6900897570337747e-08.
[I 2024-12-11 22:27:44,184] Trial 9 finished with value: 1.595742545212886e-06 and parameters: {'factor': 0.15703463253556926, 'self_conf': 0.554625588983588, 'swarm_conf': 2.523522312256175, 'version': 'inertial', 'distribution': 'uniform', 'scale': 1.9718953395330125, 'beta': 0.8580708723779631}. Best is trial 3 with value: 1.6900897570337747e-08.
[I 2024-12-11 22:27:45,025] Trial 10 finished with value: 3.043059138008175e-10 and parameters: {'factor': 0.33974742590800333, 'self_conf': 2.225210348400868, 'swarm_conf': 2.9823972332908575, 'version': 'constriction', 'distribution': 'gaussian', 'scale': 0.9226426747350651, 'beta': 1.556610326082572}. Best is trial 10 with value: 3.043059138008175e-10.
