Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.6740385933750622, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8877203050873893, 'angle': 24.87642725970664, 'sigma': 0.29940154960809545}
Mejor rendimiento encontrado:
1.1096012997313665e-11

Stderr:
[I 2024-12-11 22:48:30,646] A new study created in memory with name: no-name-b6051ce1-eda3-423a-af1a-c45bd3354c8b
[I 2024-12-11 22:48:34,582] Trial 0 finished with value: 0.1001453383006039 and parameters: {'factor': 0.7866724156895761, 'self_conf': 3, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6013730836322133, 'angle': 22.215285393066516, 'sigma': 0.20760148566024117}. Best is trial 0 with value: 0.1001453383006039.
[I 2024-12-11 22:48:35,560] Trial 1 finished with value: 0.05227136978579683 and parameters: {'factor': 0.5169456077975207, 'self_conf': 3, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.5451874803231647, 'angle': 22.67277024078959, 'sigma': 0.10793701353628503}. Best is trial 1 with value: 0.05227136978579683.
[I 2024-12-11 22:48:36,504] Trial 2 finished with value: 1.0261298978520017e-05 and parameters: {'factor': 0.817199429271955, 'self_conf': 3, 'swarm_conf': 3, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7900000967376587, 'angle': 23.70869394114079, 'sigma': 0.11797946250734857}. Best is trial 2 with value: 1.0261298978520017e-05.
[I 2024-12-11 22:48:37,437] Trial 3 finished with value: 0.00020505880751375827 and parameters: {'factor': 0.8087463374771444, 'self_conf': 2.54, 'swarm_conf': 3, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.529864662563049, 'angle': 22.220451153231014, 'sigma': 0.22269163272878803}. Best is trial 2 with value: 1.0261298978520017e-05.
[I 2024-12-11 22:48:38,361] Trial 4 finished with value: 0.07474114335215809 and parameters: {'factor': 0.5647631075153376, 'self_conf': 2.54, 'swarm_conf': 3, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7333596630880851, 'angle': 24.486966010531372, 'sigma': 0.14596187250296008}. Best is trial 2 with value: 1.0261298978520017e-05.
[I 2024-12-11 22:48:39,346] Trial 5 finished with value: 0.00027992103279750324 and parameters: {'factor': 0.5037570934413165, 'self_conf': 3, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8712626052611133, 'angle': 23.815778792224624, 'sigma': 0.16749987722010481}. Best is trial 2 with value: 1.0261298978520017e-05.
[I 2024-12-11 22:48:40,250] Trial 6 finished with value: 3.668326087336027e-09 and parameters: {'factor': 0.8820404656250973, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8228081721888326, 'angle': 24.303487097389812, 'sigma': 0.25975019484575884}. Best is trial 6 with value: 3.668326087336027e-09.
[I 2024-12-11 22:48:41,192] Trial 7 finished with value: 0.037356916679421204 and parameters: {'factor': 0.8832160894375394, 'self_conf': 3, 'swarm_conf': 2.56, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6213372511427164, 'angle': 20.37762417536314, 'sigma': 0.23566337116534133}. Best is trial 6 with value: 3.668326087336027e-09.
[I 2024-12-11 22:48:42,103] Trial 8 finished with value: 0.05291887529057959 and parameters: {'factor': 0.836526435685853, 'self_conf': 3, 'swarm_conf': 2.56, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6045003110607415, 'angle': 23.574676040519005, 'sigma': 0.19977949664458805}. Best is trial 6 with value: 3.668326087336027e-09.
[I 2024-12-11 22:48:43,011] Trial 9 finished with value: 0.047664318425239216 and parameters: {'factor': 0.8084330818065287, 'self_conf': 3, 'swarm_conf': 2.56, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6255892915449502, 'angle': 21.195928123781112, 'sigma': 0.23041192441512404}. Best is trial 6 with value: 3.668326087336027e-09.
[I 2024-12-11 22:48:43,927] Trial 10 finished with value: 3.981960539078955e-09 and parameters: {'factor': 0.6736767843639464, 'self_conf': 2.54, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8915785091697312, 'angle': 24.84405037135323, 'sigma': 0.29055376555551865}. Best is trial 6 with value: 3.668326087336027e-09.
