Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.5671016665946682, 'self_conf': 2.4962970506032396, 'swarm_conf': 2.678726884808572, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.7393945211724444, 'angle': 23.60180783887696, 'sigma': 0.18428581227094326}
Mejor rendimiento encontrado:
1.5003376319100425e-10

Stderr:
[I 2024-12-11 22:56:21,401] A new study created in memory with name: no-name-3bf904bf-7e3b-4827-93f7-690b449c4701
[I 2024-12-11 22:56:25,212] Trial 0 finished with value: 0.9313624492371844 and parameters: {'factor': 0.7356077269482099, 'self_conf': 2.8547248825603737, 'swarm_conf': 2.566058597930354, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.2848843765936872, 'angle': 12.718454288391383, 'sigma': 0.0805014657413127}. Best is trial 0 with value: 0.9313624492371844.
[I 2024-12-11 22:56:26,186] Trial 1 finished with value: 0.0007079676392418577 and parameters: {'factor': 0.47800548514292845, 'self_conf': 1.7951993546167282, 'swarm_conf': 2.177090054146647, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.8202149430674921, 'angle': 18.538847990409874, 'sigma': 0.19033947540970775}. Best is trial 1 with value: 0.0007079676392418577.
[I 2024-12-11 22:56:27,140] Trial 2 finished with value: 6.855293328555945e-07 and parameters: {'factor': 0.8467038850902355, 'self_conf': 2.4709624282903437, 'swarm_conf': 2.306620039806253, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8627295010773679, 'angle': 24.2285781044879, 'sigma': 0.1318610826475937}. Best is trial 2 with value: 6.855293328555945e-07.
[I 2024-12-11 22:56:28,096] Trial 3 finished with value: 2.8085022949902605 and parameters: {'factor': 0.8149435139973776, 'self_conf': 1.8327994570364852, 'swarm_conf': 2.839399409946375, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.14619292645128149, 'angle': 6.905875360592148, 'sigma': 0.19616374260256902}. Best is trial 2 with value: 6.855293328555945e-07.
[I 2024-12-11 22:56:29,150] Trial 4 finished with value: 1.548179927443031 and parameters: {'factor': 0.8535953986593021, 'self_conf': 2.5672558834152484, 'swarm_conf': 2.277849193322035, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.2997350214409387, 'angle': 16.452002705469695, 'sigma': 0.14922335119132987}. Best is trial 2 with value: 6.855293328555945e-07.
[I 2024-12-11 22:56:30,110] Trial 5 finished with value: 6.8306870599317255 and parameters: {'factor': 0.3077867843561682, 'self_conf': 2.780483171750296, 'swarm_conf': 2.931473655917617, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.12632940680133703, 'angle': 13.288017933586826, 'sigma': 0.2344226338537783}. Best is trial 2 with value: 6.855293328555945e-07.
[I 2024-12-11 22:56:31,068] Trial 6 finished with value: 0.09980354739398312 and parameters: {'factor': 0.7824498418247088, 'self_conf': 2.6569713879863763, 'swarm_conf': 2.481810403416105, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8007351779167601, 'angle': 18.38236639253768, 'sigma': 0.11074552849223203}. Best is trial 2 with value: 6.855293328555945e-07.
[I 2024-12-11 22:56:31,999] Trial 7 finished with value: 0.00020926360038142633 and parameters: {'factor': 0.4828132640579429, 'self_conf': 2.9406300191784394, 'swarm_conf': 2.8430441243148032, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8609798740624445, 'angle': 22.574843822870765, 'sigma': 0.19037220138075456}. Best is trial 2 with value: 6.855293328555945e-07.
[I 2024-12-11 22:56:32,958] Trial 8 finished with value: 1.5003376319100425e-10 and parameters: {'factor': 0.5671016665946682, 'self_conf': 2.4962970506032396, 'swarm_conf': 2.678726884808572, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.7393945211724444, 'angle': 23.60180783887696, 'sigma': 0.18428581227094326}. Best is trial 8 with value: 1.5003376319100425e-10.
[I 2024-12-11 22:56:33,898] Trial 9 finished with value: 1.2465643194745013 and parameters: {'factor': 0.8768887020046947, 'self_conf': 1.721417425491065, 'swarm_conf': 2.3261117143273515, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.42055835906968747, 'angle': 17.48210935810976, 'sigma': 0.04190443096871952}. Best is trial 8 with value: 1.5003376319100425e-10.
[I 2024-12-11 22:56:34,854] Trial 10 finished with value: 0.004394058657473998 and parameters: {'factor': 0.5578215515580923, 'self_conf': 2.1649994554332768, 'swarm_conf': 2.0077426418915643, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6023112004992062, 'angle': 6.570359776121187, 'sigma': 0.29428800460012045}. Best is trial 8 with value: 1.5003376319100425e-10.
