Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.7574914690256405, 'self_conf': 2.395542397934781, 'swarm_conf': 2.9572829929249633, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.808511781191633, 'angle': 20.969083836847016}
Mejor rendimiento encontrado:
6.090695414684433e-08

Stderr:
[I 2024-12-11 23:02:11,975] A new study created in memory with name: no-name-a8901790-47cf-46e3-8548-ed8c0811d2e9
[I 2024-12-11 23:02:14,858] Trial 0 finished with value: 0.004871333948146983 and parameters: {'factor': 0.6729110790826628, 'self_conf': 2.815318542452781, 'swarm_conf': 2.7329162460733203, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8645144312022355, 'angle': 22.50324889375987}. Best is trial 0 with value: 0.004871333948146983.
[I 2024-12-11 23:02:15,829] Trial 1 finished with value: 2.4533947184934846e-06 and parameters: {'factor': 0.6941626615429873, 'self_conf': 2.236271980382599, 'swarm_conf': 2.8610553740292946, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.7426553785023734, 'angle': 20.181601754284927}. Best is trial 1 with value: 2.4533947184934846e-06.
[I 2024-12-11 23:02:16,856] Trial 2 finished with value: 1.9244856197531135e-07 and parameters: {'factor': 0.7902245015009278, 'self_conf': 2.6221963581351613, 'swarm_conf': 2.8612056269417443, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.8386176476572336, 'angle': 22.230884522917822}. Best is trial 2 with value: 1.9244856197531135e-07.
[I 2024-12-11 23:02:17,810] Trial 3 finished with value: 2.8709158588213768e-06 and parameters: {'factor': 0.7199616036648351, 'self_conf': 2.2579120453216426, 'swarm_conf': 2.4728245402139715, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7175966778854737, 'angle': 22.37819759311688}. Best is trial 2 with value: 1.9244856197531135e-07.
[I 2024-12-11 23:02:18,779] Trial 4 finished with value: 3.14445817011233e-05 and parameters: {'factor': 0.6673046530051017, 'self_conf': 2.0988276254094758, 'swarm_conf': 2.4165364254920143, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7886586458407255, 'angle': 21.538505382850488}. Best is trial 2 with value: 1.9244856197531135e-07.
[I 2024-12-11 23:02:19,762] Trial 5 finished with value: 0.00021099647791089637 and parameters: {'factor': 0.5321089657253357, 'self_conf': 2.4698456936837907, 'swarm_conf': 2.065221814115085, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.7832120706302272, 'angle': 23.949821094414386}. Best is trial 2 with value: 1.9244856197531135e-07.
[I 2024-12-11 23:02:20,720] Trial 6 finished with value: 0.0038395877629859854 and parameters: {'factor': 0.6681229718595776, 'self_conf': 2.9341365196020055, 'swarm_conf': 2.501233305694335, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8426658705350955, 'angle': 22.88715584671491}. Best is trial 2 with value: 1.9244856197531135e-07.
[I 2024-12-11 23:02:21,682] Trial 7 finished with value: 0.001598567166068321 and parameters: {'factor': 0.6878605571162243, 'self_conf': 2.7313205069259583, 'swarm_conf': 2.7729163332862816, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.7540761636666713, 'angle': 23.288238418776775}. Best is trial 2 with value: 1.9244856197531135e-07.
[I 2024-12-11 23:02:22,630] Trial 8 finished with value: 0.000976876116615344 and parameters: {'factor': 0.5852181519750369, 'self_conf': 2.055631165370678, 'swarm_conf': 2.7065708540056295, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8868326296281552, 'angle': 23.724693073071844}. Best is trial 2 with value: 1.9244856197531135e-07.
[I 2024-12-11 23:02:23,580] Trial 9 finished with value: 0.0009700255136948499 and parameters: {'factor': 0.6825932741800042, 'self_conf': 2.80364153636471, 'swarm_conf': 2.0144171828256234, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.7464263957213249, 'angle': 22.52390038697041}. Best is trial 2 with value: 1.9244856197531135e-07.
[I 2024-12-11 23:02:24,577] Trial 10 finished with value: 2.109909296166279e-07 and parameters: {'factor': 0.7897806651407255, 'self_conf': 2.5666051154207166, 'swarm_conf': 2.967358553619035, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.8271404245463333, 'angle': 21.022634010742763}. Best is trial 2 with value: 1.9244856197531135e-07.
