Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.26539548694017, 'self_conf': 2.0056335037496824, 'swarm_conf': 0.9035840517873581, 'version': 'constriction', 'distribution': 'uniform', 'angle': 23.84400382909626, 'sigma': 0.06481045949545582}
Mejor rendimiento encontrado:
4.2543746303636e-13

Stderr:
[I 2024-12-11 23:23:34,427] A new study created in memory with name: no-name-b6f52b1d-913f-41d9-a848-f1eb2b73ed7c
[I 2024-12-11 23:23:38,741] Trial 0 finished with value: 4.4191081064168936 and parameters: {'factor': 0.589803308168178, 'self_conf': 1.1898541467007109, 'swarm_conf': 2.0603173613832295, 'version': 'inertial', 'distribution': 'gaussian', 'angle': 22.995311626107725, 'sigma': 0.05076645096442803}. Best is trial 0 with value: 4.4191081064168936.
[I 2024-12-11 23:23:40,077] Trial 1 finished with value: 0.17930472564918265 and parameters: {'factor': 0.2998276766956149, 'self_conf': 2.188808229703762, 'swarm_conf': 0.5656272959090771, 'version': 'constriction', 'distribution': 'gaussian', 'angle': 24.67943812711879, 'sigma': 0.046560303999503}. Best is trial 1 with value: 0.17930472564918265.
[I 2024-12-11 23:23:41,398] Trial 2 finished with value: 0.00019894184338387078 and parameters: {'factor': 0.125638029375859, 'self_conf': 2.5263975651427355, 'swarm_conf': 0.631497538404246, 'version': 'constriction', 'distribution': 'gaussian', 'angle': 24.06202226883772, 'sigma': 0.04900888529751169}. Best is trial 2 with value: 0.00019894184338387078.
[I 2024-12-11 23:23:42,676] Trial 3 finished with value: 5.066428820669343 and parameters: {'factor': 0.838260788129463, 'self_conf': 2.2307619522702846, 'swarm_conf': 1.3361851575898545, 'version': 'inertial', 'distribution': 'gaussian', 'angle': 24.351698509393003, 'sigma': 0.0185790578443625}. Best is trial 2 with value: 0.00019894184338387078.
[I 2024-12-11 23:23:43,934] Trial 4 finished with value: 2.9209602899083524 and parameters: {'factor': 0.841466134603993, 'self_conf': 1.0628888955761622, 'swarm_conf': 1.2482168025549552, 'version': 'inertial', 'distribution': 'uniform', 'angle': 22.710520962749225, 'sigma': 0.04892680925784607}. Best is trial 2 with value: 0.00019894184338387078.
[I 2024-12-11 23:23:45,317] Trial 5 finished with value: 3.898902333232491 and parameters: {'factor': 0.7087572422925649, 'self_conf': 2.5460985583605527, 'swarm_conf': 0.8570267453587003, 'version': 'inertial', 'distribution': 'levy', 'angle': 24.40275795231125, 'sigma': 0.054234570586507935}. Best is trial 2 with value: 0.00019894184338387078.
[I 2024-12-11 23:23:46,597] Trial 6 finished with value: 4.848179891548135 and parameters: {'factor': 0.7632300241141607, 'self_conf': 1.6539549181567872, 'swarm_conf': 2.328078180990049, 'version': 'constriction', 'distribution': 'levy', 'angle': 23.044519148621905, 'sigma': 0.010228104778992438}. Best is trial 2 with value: 0.00019894184338387078.
[I 2024-12-11 23:23:47,858] Trial 7 finished with value: 4.017249966185451 and parameters: {'factor': 0.41026671955777244, 'self_conf': 1.593797061324251, 'swarm_conf': 2.1520451092285344, 'version': 'inertial', 'distribution': 'gaussian', 'angle': 22.620995179940042, 'sigma': 0.07529659249780687}. Best is trial 2 with value: 0.00019894184338387078.
[I 2024-12-11 23:23:49,108] Trial 8 finished with value: 4.348583672320504 and parameters: {'factor': 0.5408701485416928, 'self_conf': 1.4635952332729008, 'swarm_conf': 2.0952214968769796, 'version': 'constriction', 'distribution': 'gaussian', 'angle': 22.868442611138658, 'sigma': 0.03781678506780203}. Best is trial 2 with value: 0.00019894184338387078.
[I 2024-12-11 23:23:50,387] Trial 9 finished with value: 0.008126189407994033 and parameters: {'factor': 0.5713485881242456, 'self_conf': 0.4096023134814748, 'swarm_conf': 0.42407075034114877, 'version': 'constriction', 'distribution': 'gaussian', 'angle': 24.140217578549954, 'sigma': 0.09169010224400696}. Best is trial 2 with value: 0.00019894184338387078.
[I 2024-12-11 23:23:51,718] Trial 10 finished with value: 0.00031348288164423366 and parameters: {'factor': 0.10462050164395187, 'self_conf': 2.9848636328054265, 'swarm_conf': 0.10495668101310962, 'version': 'constriction', 'distribution': 'uniform', 'angle': 23.705435512586973, 'sigma': 0.07333664264992207}. Best is trial 2 with value: 0.00019894184338387078.
[I 2024-12-11 23:23:53,030] Trial 11 finished with value: 0.0002610455763427666 and parameters: {'factor': 0.11040368003314545, 'self_conf': 2.937713982281937, 'swarm_conf': 0.13332785681246323, 'version': 'constriction', 'distribution': 'uniform', 'angle': 23.65370724646507, 'sigma': 0.07349046513199425}. Best is trial 2 with value: 0.00019894184338387078.
[I 2024-12-11 23:23:54,332] Trial 12 finished with value: 0.00015323812364442801 and parameters: {'factor': 0.13741169920733456, 'self_conf': 2.8323849133107344, 'swarm_conf': 0.11052335418546078, 'version': 'constriction', 'distribution': 'uniform', 'angle': 23.66814967159527, 'sigma': 0.06959882851381788}. Best is trial 12 with value: 0.00015323812364442801.
[I 2024-12-11 23:23:55,762] Trial 13 finished with value: 0.0362577952431975 and parameters: {'factor': 0.24546854430736348, 'self_conf': 2.456313182958521, 'swarm_conf': 2.9047827915152116, 'version': 'constriction', 'distribution': 'uniform', 'angle': 24.981946064498946, 'sigma': 0.031128868528331056}. Best is trial 12 with value: 0.00015323812364442801.
[I 2024-12-11 23:23:57,106] Trial 14 finished with value: 4.2543746303636e-13 and parameters: {'factor': 0.26539548694017, 'self_conf': 2.0056335037496824, 'swarm_conf': 0.9035840517873581, 'version': 'constriction', 'distribution': 'uniform', 'angle': 23.84400382909626, 'sigma': 0.06481045949545582}. Best is trial 14 with value: 4.2543746303636e-13.
