Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.10020311837133605, 'self_conf': 2.009970420691297, 'swarm_conf': 2.2652497069607644, 'version': 'inertial', 'distribution': 'uniform', 'angle': 18.745830145881584, 'sigma': 0.0948785842435465}
Mejor rendimiento encontrado:
0.0

Stderr:
[I 2024-12-11 23:51:51,110] A new study created in memory with name: no-name-5b325754-ab92-4233-92b6-2166dbc917ff
[I 2024-12-11 23:51:55,620] Trial 0 finished with value: 3.946096108634533 and parameters: {'factor': 0.44020842164397217, 'self_conf': 0.5287141813748496, 'swarm_conf': 2.348477158887736, 'version': 'constriction', 'distribution': 'levy', 'angle': 12.92278025876875, 'sigma': 0.0760552873459803}. Best is trial 0 with value: 3.946096108634533.
[I 2024-12-11 23:51:57,000] Trial 1 finished with value: 2.137605518370833e-06 and parameters: {'factor': 0.5092289433336964, 'self_conf': 2.5465167469391927, 'swarm_conf': 1.667493511513023, 'version': 'inertial', 'distribution': 'uniform', 'angle': 12.037225197708436, 'sigma': 0.05948256978263293}. Best is trial 1 with value: 2.137605518370833e-06.
[I 2024-12-11 23:51:58,315] Trial 2 finished with value: 3.430371089751876 and parameters: {'factor': 0.5824432534949466, 'self_conf': 0.22374947118694838, 'swarm_conf': 1.2877175186887868, 'version': 'constriction', 'distribution': 'gaussian', 'angle': 14.643628224804038, 'sigma': 0.010028026499091226}. Best is trial 1 with value: 2.137605518370833e-06.
[I 2024-12-11 23:51:59,727] Trial 3 finished with value: 2.696446957162685 and parameters: {'factor': 0.5250340880954215, 'self_conf': 1.5044570107672497, 'swarm_conf': 1.1965594931549317, 'version': 'inertial', 'distribution': 'levy', 'angle': 23.046853831019426, 'sigma': 0.035133689277263805}. Best is trial 1 with value: 2.137605518370833e-06.
[I 2024-12-11 23:52:01,053] Trial 4 finished with value: 0.8642181287837447 and parameters: {'factor': 0.27503730198198445, 'self_conf': 2.520188807223401, 'swarm_conf': 0.5523191819375498, 'version': 'inertial', 'distribution': 'gaussian', 'angle': 10.860373237646158, 'sigma': 0.057074128293016564}. Best is trial 1 with value: 2.137605518370833e-06.
[I 2024-12-11 23:52:02,435] Trial 5 finished with value: 8.924759793416115e-07 and parameters: {'factor': 0.7727770597165042, 'self_conf': 1.2298934169687925, 'swarm_conf': 0.35614330746253203, 'version': 'inertial', 'distribution': 'uniform', 'angle': 3.77026934329849, 'sigma': 0.08304729193732412}. Best is trial 5 with value: 8.924759793416115e-07.
[I 2024-12-11 23:52:03,712] Trial 6 finished with value: 0.8979579887336913 and parameters: {'factor': 0.6960771703919736, 'self_conf': 0.5986055258524897, 'swarm_conf': 1.336052875180512, 'version': 'constriction', 'distribution': 'uniform', 'angle': 24.427054069383964, 'sigma': 0.033884846951803306}. Best is trial 5 with value: 8.924759793416115e-07.
[I 2024-12-11 23:52:05,036] Trial 7 finished with value: 4.472967733153196 and parameters: {'factor': 0.48508489384009135, 'self_conf': 2.890162932311513, 'swarm_conf': 1.8790846065886229, 'version': 'inertial', 'distribution': 'gaussian', 'angle': 24.32058296287606, 'sigma': 0.01400567760404945}. Best is trial 5 with value: 8.924759793416115e-07.
[I 2024-12-11 23:52:06,347] Trial 8 finished with value: 0.002332193679364991 and parameters: {'factor': 0.5397923634417937, 'self_conf': 1.2489183094428664, 'swarm_conf': 0.11823401766844292, 'version': 'inertial', 'distribution': 'gaussian', 'angle': 5.6628510756518935, 'sigma': 0.06603913308917032}. Best is trial 5 with value: 8.924759793416115e-07.
[I 2024-12-11 23:52:07,641] Trial 9 finished with value: 0.0008220387449062727 and parameters: {'factor': 0.7572270544421745, 'self_conf': 1.5125557836408419, 'swarm_conf': 0.9619235598301941, 'version': 'constriction', 'distribution': 'uniform', 'angle': 4.487777232753731, 'sigma': 0.048012805113561326}. Best is trial 5 with value: 8.924759793416115e-07.
[I 2024-12-11 23:52:08,919] Trial 10 finished with value: 0.22567872613731677 and parameters: {'factor': 0.859867153109486, 'self_conf': 1.959414758274919, 'swarm_conf': 2.9738264274647253, 'version': 'inertial', 'distribution': 'uniform', 'angle': 1.0405188109072392, 'sigma': 0.09823933590605295}. Best is trial 5 with value: 8.924759793416115e-07.
[I 2024-12-11 23:52:10,339] Trial 11 finished with value: 3.552713678800501e-15 and parameters: {'factor': 0.12051365639127787, 'self_conf': 2.2743147391275693, 'swarm_conf': 1.9380539880307828, 'version': 'inertial', 'distribution': 'uniform', 'angle': 17.229095523775346, 'sigma': 0.0902428311589418}. Best is trial 11 with value: 3.552713678800501e-15.
[I 2024-12-11 23:52:11,696] Trial 12 finished with value: 0.0 and parameters: {'factor': 0.10020311837133605, 'self_conf': 2.009970420691297, 'swarm_conf': 2.2652497069607644, 'version': 'inertial', 'distribution': 'uniform', 'angle': 18.745830145881584, 'sigma': 0.0948785842435465}. Best is trial 12 with value: 0.0.
[I 2024-12-11 23:52:13,064] Trial 13 finished with value: 0.0 and parameters: {'factor': 0.12903990685170408, 'self_conf': 2.12477788804358, 'swarm_conf': 2.3093815044941355, 'version': 'inertial', 'distribution': 'uniform', 'angle': 18.519057387711296, 'sigma': 0.09843261257736098}. Best is trial 12 with value: 0.0.
[I 2024-12-11 23:52:14,385] Trial 14 finished with value: 3.552713678800501e-15 and parameters: {'factor': 0.10920387131143282, 'self_conf': 1.9652914204839536, 'swarm_conf': 2.441019181551167, 'version': 'inertial', 'distribution': 'uniform', 'angle': 19.164300659617254, 'sigma': 0.09988186340067476}. Best is trial 12 with value: 0.0.
