Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.11161435089451066, 'self_conf': 0.7437183165648471, 'swarm_conf': 1.8570832509765818, 'version': 'inertial', 'distribution': 'uniform', 'angle': 17.67738587697603, 'sigma': 0.04517401090904237}
Mejor rendimiento encontrado:
2.6645352591003757e-15

Stderr:
[I 2024-12-12 00:19:46,343] A new study created in memory with name: no-name-6de49aaa-200f-4ea5-aebd-8a906bc289e2
[I 2024-12-12 00:19:50,676] Trial 0 finished with value: 5.309070116865655e-07 and parameters: {'factor': 0.20789609440382117, 'self_conf': 0.1744727368682599, 'swarm_conf': 0.5131488820411991, 'version': 'inertial', 'distribution': 'gaussian', 'angle': 12.393910222316244, 'sigma': 0.0936523638692916}. Best is trial 0 with value: 5.309070116865655e-07.
[I 2024-12-12 00:19:52,162] Trial 1 finished with value: 3.9386729701322185 and parameters: {'factor': 0.640779254040716, 'self_conf': 1.9049391309159591, 'swarm_conf': 1.114646195157454, 'version': 'constriction', 'distribution': 'gaussian', 'angle': 1.662224561900351, 'sigma': 0.06567214972325654}. Best is trial 0 with value: 5.309070116865655e-07.
[I 2024-12-12 00:19:53,493] Trial 2 finished with value: 5.841324730389121 and parameters: {'factor': 0.8255264213092008, 'self_conf': 1.080034117658513, 'swarm_conf': 1.9364088723430501, 'version': 'constriction', 'distribution': 'gaussian', 'angle': 12.246489094091883, 'sigma': 0.08348833673421846}. Best is trial 0 with value: 5.309070116865655e-07.
[I 2024-12-12 00:19:54,808] Trial 3 finished with value: 3.195163693035095 and parameters: {'factor': 0.1570852466144219, 'self_conf': 1.049782822798751, 'swarm_conf': 2.7612251345866006, 'version': 'inertial', 'distribution': 'gaussian', 'angle': 12.446118659637657, 'sigma': 0.013016076760640758}. Best is trial 0 with value: 5.309070116865655e-07.
[I 2024-12-12 00:19:56,129] Trial 4 finished with value: 3.39443909435935 and parameters: {'factor': 0.6491033354300837, 'self_conf': 0.31976652530911004, 'swarm_conf': 0.7099187721330356, 'version': 'constriction', 'distribution': 'levy', 'angle': 11.824875803931716, 'sigma': 0.06438256416548799}. Best is trial 0 with value: 5.309070116865655e-07.
[I 2024-12-12 00:19:57,609] Trial 5 finished with value: 7.105427357601002e-15 and parameters: {'factor': 0.18533227969037896, 'self_conf': 0.42538339090952315, 'swarm_conf': 1.611831311397007, 'version': 'inertial', 'distribution': 'uniform', 'angle': 8.075778845067104, 'sigma': 0.05543624022966878}. Best is trial 5 with value: 7.105427357601002e-15.
[I 2024-12-12 00:19:58,924] Trial 6 finished with value: 4.132007636695984 and parameters: {'factor': 0.5627244953283198, 'self_conf': 1.4490087604026929, 'swarm_conf': 2.048349450289629, 'version': 'constriction', 'distribution': 'gaussian', 'angle': 10.188595011305683, 'sigma': 0.09501171405481733}. Best is trial 5 with value: 7.105427357601002e-15.
[I 2024-12-12 00:20:00,244] Trial 7 finished with value: 0.42291789430494386 and parameters: {'factor': 0.2858233221217514, 'self_conf': 1.360118420339046, 'swarm_conf': 1.1939263820627106, 'version': 'inertial', 'distribution': 'gaussian', 'angle': 11.671535587277933, 'sigma': 0.08735037513352645}. Best is trial 5 with value: 7.105427357601002e-15.
[I 2024-12-12 00:20:01,569] Trial 8 finished with value: 0.802066493838713 and parameters: {'factor': 0.26684255580241684, 'self_conf': 1.5745548406387477, 'swarm_conf': 1.3228792742344995, 'version': 'constriction', 'distribution': 'levy', 'angle': 20.746506282244273, 'sigma': 0.028871916777360607}. Best is trial 5 with value: 7.105427357601002e-15.
[I 2024-12-12 00:20:02,882] Trial 9 finished with value: 4.66907731710466 and parameters: {'factor': 0.47467664878689697, 'self_conf': 2.6126479205158146, 'swarm_conf': 2.6134570451368293, 'version': 'inertial', 'distribution': 'levy', 'angle': 1.9853224562649041, 'sigma': 0.08228275987601591}. Best is trial 5 with value: 7.105427357601002e-15.
[I 2024-12-12 00:20:04,255] Trial 10 finished with value: 1.8897023945640967e-07 and parameters: {'factor': 0.3973347751351071, 'self_conf': 0.6436662279345985, 'swarm_conf': 0.15062068970476172, 'version': 'inertial', 'distribution': 'uniform', 'angle': 20.016061374866894, 'sigma': 0.04414121348381818}. Best is trial 5 with value: 7.105427357601002e-15.
[I 2024-12-12 00:20:05,613] Trial 11 finished with value: 6.887573917424561e-06 and parameters: {'factor': 0.3722695008405883, 'self_conf': 0.5816162605049258, 'swarm_conf': 0.18186763508553844, 'version': 'inertial', 'distribution': 'uniform', 'angle': 21.13903015133858, 'sigma': 0.04449501989883903}. Best is trial 5 with value: 7.105427357601002e-15.
[I 2024-12-12 00:20:07,088] Trial 12 finished with value: 2.6645352591003757e-15 and parameters: {'factor': 0.11161435089451066, 'self_conf': 0.7437183165648471, 'swarm_conf': 1.8570832509765818, 'version': 'inertial', 'distribution': 'uniform', 'angle': 17.67738587697603, 'sigma': 0.04517401090904237}. Best is trial 12 with value: 2.6645352591003757e-15.
