Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.6530853098033981, 'self_conf': 2.738447829043458, 'swarm_conf': 2.3508596275202795, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
7.67682082597402

Stderr:
[I 2025-01-13 12:52:50,275] A new study created in memory with name: no-name-ecb0bc68-7cf2-45ec-9687-bb6129cdedde
[I 2025-01-13 12:52:53,522] Trial 0 finished with value: 14.148910656746864 and parameters: {'factor': 0.21919547426405847, 'self_conf': 2.408596415824282, 'swarm_conf': 2.133882283810088, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 14.148910656746864.
[I 2025-01-13 12:52:54,973] Trial 1 finished with value: 13.274583542615998 and parameters: {'factor': 0.12751257034501526, 'self_conf': 2.7618876572523354, 'swarm_conf': 2.210200189264562, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 1 with value: 13.274583542615998.
[I 2025-01-13 12:52:56,457] Trial 2 finished with value: 14.050847751826895 and parameters: {'factor': 0.1642615099934459, 'self_conf': 2.94286498001193, 'swarm_conf': 2.6149612781178715, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 1 with value: 13.274583542615998.
[I 2025-01-13 12:52:57,937] Trial 3 finished with value: 13.756314473365121 and parameters: {'factor': 0.3137068343765923, 'self_conf': 2.497220879226091, 'swarm_conf': 2.6905296923688975, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 1 with value: 13.274583542615998.
[I 2025-01-13 12:52:59,401] Trial 4 finished with value: 12.781081618126851 and parameters: {'factor': 0.6974609515847054, 'self_conf': 2.1257383792890994, 'swarm_conf': 2.8102913053974534, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 4 with value: 12.781081618126851.
[I 2025-01-13 12:53:00,885] Trial 5 finished with value: 15.964776396685798 and parameters: {'factor': 0.32570418697178016, 'self_conf': 2.5968835741211547, 'swarm_conf': 2.078988191621751, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 4 with value: 12.781081618126851.
[I 2025-01-13 12:53:02,387] Trial 6 finished with value: 14.035474329537736 and parameters: {'factor': 0.7136703330809157, 'self_conf': 2.3468358771423294, 'swarm_conf': 2.049442530260676, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 4 with value: 12.781081618126851.
[I 2025-01-13 12:53:03,883] Trial 7 finished with value: 14.920915831737954 and parameters: {'factor': 0.824106883857119, 'self_conf': 2.3554655198526033, 'swarm_conf': 2.092656004521295, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 4 with value: 12.781081618126851.
[I 2025-01-13 12:53:05,433] Trial 8 finished with value: 15.253866790216323 and parameters: {'factor': 0.4000685614782634, 'self_conf': 2.4048445223463824, 'swarm_conf': 2.80901262997883, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 4 with value: 12.781081618126851.
[I 2025-01-13 12:53:06,922] Trial 9 finished with value: 8.675271961579476 and parameters: {'factor': 0.5813160224447569, 'self_conf': 2.8733330078363366, 'swarm_conf': 2.945441665153397, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 9 with value: 8.675271961579476.
[I 2025-01-13 12:53:08,419] Trial 10 finished with value: 9.811681938676765 and parameters: {'factor': 0.5638947974176732, 'self_conf': 2.931280582470445, 'swarm_conf': 2.994170428072895, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 9 with value: 8.675271961579476.
[I 2025-01-13 12:53:09,950] Trial 11 finished with value: 10.550740419960944 and parameters: {'factor': 0.5497056065499135, 'self_conf': 2.9986303566395276, 'swarm_conf': 2.9961773303664434, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 9 with value: 8.675271961579476.
[I 2025-01-13 12:53:11,573] Trial 12 finished with value: 9.339763676875613 and parameters: {'factor': 0.5580505775729796, 'self_conf': 2.760440806193114, 'swarm_conf': 2.9652406013600556, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 9 with value: 8.675271961579476.
[I 2025-01-13 12:53:13,197] Trial 13 finished with value: 7.67682082597402 and parameters: {'factor': 0.6530853098033981, 'self_conf': 2.738447829043458, 'swarm_conf': 2.3508596275202795, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 13 with value: 7.67682082597402.
[I 2025-01-13 12:53:14,989] Trial 14 finished with value: 7.938407414463996 and parameters: {'factor': 0.6964293022137555, 'self_conf': 2.7656775600853933, 'swarm_conf': 2.3245503776556857, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 13 with value: 7.67682082597402.
