Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.7233602653431558, 'self_conf': 2.986489751514858, 'swarm_conf': 2.9927603817862773, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
6.75839074137344

Stderr:
[I 2025-01-13 14:19:28,977] A new study created in memory with name: no-name-be952a38-52e2-4238-9602-f0f3ba8fd8ef
[I 2025-01-13 14:19:32,453] Trial 0 finished with value: 8.0258785818047 and parameters: {'factor': 0.8714934303704674, 'self_conf': 2.809128238953112, 'swarm_conf': 2.354590570336124, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 8.0258785818047.
[I 2025-01-13 14:19:33,918] Trial 1 finished with value: 13.257054580491193 and parameters: {'factor': 0.3523131079404138, 'self_conf': 2.854058103864986, 'swarm_conf': 2.7430209037480684, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 8.0258785818047.
[I 2025-01-13 14:19:35,448] Trial 2 finished with value: 14.194963283036403 and parameters: {'factor': 0.9070841448655604, 'self_conf': 2.2555366554285783, 'swarm_conf': 2.0154395817133226, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 8.0258785818047.
[I 2025-01-13 14:19:37,072] Trial 3 finished with value: 14.971171490739358 and parameters: {'factor': 0.7430220140355454, 'self_conf': 2.3761354906549337, 'swarm_conf': 2.0055017429520343, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 0 with value: 8.0258785818047.
[I 2025-01-13 14:19:38,632] Trial 4 finished with value: 14.079093325106905 and parameters: {'factor': 0.1711003676591466, 'self_conf': 2.3644445617181518, 'swarm_conf': 2.377078627013431, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 0 with value: 8.0258785818047.
[I 2025-01-13 14:19:40,140] Trial 5 finished with value: 9.622848017258134 and parameters: {'factor': 0.8598473310333454, 'self_conf': 2.4683021998359824, 'swarm_conf': 2.169449689752115, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 8.0258785818047.
[I 2025-01-13 14:19:41,690] Trial 6 finished with value: 14.667497511859601 and parameters: {'factor': 0.9288054444200092, 'self_conf': 2.6734771421353014, 'swarm_conf': 2.241616574706293, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 0 with value: 8.0258785818047.
[I 2025-01-13 14:19:43,214] Trial 7 finished with value: 8.738043968406604 and parameters: {'factor': 0.5099613611004591, 'self_conf': 2.3551957756743453, 'swarm_conf': 2.4832780380755164, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 8.0258785818047.
[I 2025-01-13 14:19:44,781] Trial 8 finished with value: 13.997291703380693 and parameters: {'factor': 0.9259786135943386, 'self_conf': 2.8983172870818765, 'swarm_conf': 2.4450238966153073, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 8.0258785818047.
[I 2025-01-13 14:19:46,298] Trial 9 finished with value: 14.806935836855182 and parameters: {'factor': 0.4638935164525526, 'self_conf': 2.508580448127098, 'swarm_conf': 2.38200364941636, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 8.0258785818047.
[I 2025-01-13 14:19:47,821] Trial 10 finished with value: 12.334371804947063 and parameters: {'factor': 0.6900984862400502, 'self_conf': 2.040358556954243, 'swarm_conf': 2.7577642768389046, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 0 with value: 8.0258785818047.
[I 2025-01-13 14:19:49,356] Trial 11 finished with value: 8.060165470481664 and parameters: {'factor': 0.603803793940711, 'self_conf': 2.6960551425031167, 'swarm_conf': 2.5894127585072986, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 8.0258785818047.
[I 2025-01-13 14:19:50,887] Trial 12 finished with value: 7.072439331211734 and parameters: {'factor': 0.6979241488102205, 'self_conf': 2.714622557673346, 'swarm_conf': 2.9472735520616777, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 12 with value: 7.072439331211734.
[I 2025-01-13 14:19:52,405] Trial 13 finished with value: 7.241185215272866 and parameters: {'factor': 0.7573064879072162, 'self_conf': 2.993860754450303, 'swarm_conf': 2.9473337756944216, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 12 with value: 7.072439331211734.
[I 2025-01-13 14:19:53,934] Trial 14 finished with value: 6.75839074137344 and parameters: {'factor': 0.7233602653431558, 'self_conf': 2.986489751514858, 'swarm_conf': 2.9927603817862773, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 14 with value: 6.75839074137344.
