Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.1747939738025944, 'self_conf': 1.532348394683104, 'swarm_conf': 2.361703429336575, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
2.6382493540921814e-06

Stderr:
[I 2025-01-13 14:58:58,893] A new study created in memory with name: no-name-90de332a-152b-4691-8866-89ce910d4e62
[I 2025-01-13 14:59:02,074] Trial 0 finished with value: 1.833460186959325 and parameters: {'factor': 0.35290545187263855, 'self_conf': 2.6837225063724865, 'swarm_conf': 1.6866468934433232, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 1.833460186959325.
[I 2025-01-13 14:59:03,524] Trial 1 finished with value: 0.09986061372365551 and parameters: {'factor': 0.1246002978639246, 'self_conf': 2.001791965663167, 'swarm_conf': 1.984182591998227, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 0.09986061372365551.
[I 2025-01-13 14:59:04,938] Trial 2 finished with value: 9.114600676925974 and parameters: {'factor': 0.5334240412776826, 'self_conf': 2.044090182539102, 'swarm_conf': 1.717596867674025, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 1 with value: 0.09986061372365551.
[I 2025-01-13 14:59:06,399] Trial 3 finished with value: 7.164116353449088 and parameters: {'factor': 0.40681887965070895, 'self_conf': 2.2693484780688964, 'swarm_conf': 2.0661250316825175, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 1 with value: 0.09986061372365551.
[I 2025-01-13 14:59:07,840] Trial 4 finished with value: 0.27064054285872885 and parameters: {'factor': 0.7589684299119123, 'self_conf': 2.6579397744264077, 'swarm_conf': 1.7797554254235302, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 0.09986061372365551.
[I 2025-01-13 14:59:09,312] Trial 5 finished with value: 10.862349070179109 and parameters: {'factor': 0.5274239242034783, 'self_conf': 1.5740293223026436, 'swarm_conf': 1.7952719078743578, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 1 with value: 0.09986061372365551.
[I 2025-01-13 14:59:10,734] Trial 6 finished with value: 0.25833609396952184 and parameters: {'factor': 0.5347608728038383, 'self_conf': 1.7752555341535288, 'swarm_conf': 2.8902982329446836, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 0.09986061372365551.
[I 2025-01-13 14:59:12,163] Trial 7 finished with value: 14.001726170078497 and parameters: {'factor': 0.7889057755780418, 'self_conf': 2.7971699759596063, 'swarm_conf': 2.5377514372159258, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 1 with value: 0.09986061372365551.
[I 2025-01-13 14:59:13,608] Trial 8 finished with value: 0.00019883456991198756 and parameters: {'factor': 0.17960483194050944, 'self_conf': 1.5688699314406511, 'swarm_conf': 1.7725398763683051, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 8 with value: 0.00019883456991198756.
[I 2025-01-13 14:59:15,038] Trial 9 finished with value: 11.999604946613989 and parameters: {'factor': 0.7050475458127206, 'self_conf': 1.8650773399730485, 'swarm_conf': 2.763435346952033, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 8 with value: 0.00019883456991198756.
[I 2025-01-13 14:59:16,459] Trial 10 finished with value: 0.00017883220863534888 and parameters: {'factor': 0.12528973526485437, 'self_conf': 1.523305933982503, 'swarm_conf': 2.348894959304407, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 10 with value: 0.00017883220863534888.
[I 2025-01-13 14:59:17,888] Trial 11 finished with value: 2.6382493540921814e-06 and parameters: {'factor': 0.1747939738025944, 'self_conf': 1.532348394683104, 'swarm_conf': 2.361703429336575, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 11 with value: 2.6382493540921814e-06.
[I 2025-01-13 14:59:19,326] Trial 12 finished with value: 0.0006798836641337402 and parameters: {'factor': 0.2574157294618208, 'self_conf': 1.504483807399563, 'swarm_conf': 2.426921710625958, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 11 with value: 2.6382493540921814e-06.
[I 2025-01-13 14:59:20,778] Trial 13 finished with value: 1.307823363995606 and parameters: {'factor': 0.28127497600488216, 'self_conf': 2.3398790281955955, 'swarm_conf': 2.2469656791838974, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 11 with value: 2.6382493540921814e-06.
[I 2025-01-13 14:59:22,203] Trial 14 finished with value: 0.6560076791476259 and parameters: {'factor': 0.11076255933889771, 'self_conf': 1.7614444036109895, 'swarm_conf': 2.513837669316578, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 11 with value: 2.6382493540921814e-06.
