Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.12823664329219397, 'self_conf': 2.1921663542467806, 'swarm_conf': 2.351511510427442, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.25144911945234516, 'scale': 1.7495637899187189}
Mejor rendimiento encontrado:
3.0464519795714295e-13

Stderr:
[I 2025-01-13 15:05:31,766] A new study created in memory with name: no-name-895b214d-aafd-4f1f-93ff-f29efbf3c230
[I 2025-01-13 15:05:35,555] Trial 0 finished with value: 8.812790548518024e-05 and parameters: {'factor': 0.7581522946081994, 'self_conf': 2.3285105547879406, 'swarm_conf': 2.9965247574476965, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.4193617914913885, 'scale': 0.9922275606352156}. Best is trial 0 with value: 8.812790548518024e-05.
[I 2025-01-13 15:05:37,255] Trial 1 finished with value: 7.930299161272561 and parameters: {'factor': 0.19064465307300005, 'self_conf': 2.6050114245330587, 'swarm_conf': 2.2554726088378225, 'version': 'inertial', 'distribution': 'levy', 'probability': 0.982926851955278, 'scale': 1.1675101489502557}. Best is trial 0 with value: 8.812790548518024e-05.
[I 2025-01-13 15:05:38,949] Trial 2 finished with value: 9.72506038912451 and parameters: {'factor': 0.6533680197890855, 'self_conf': 2.692159736527793, 'swarm_conf': 2.1966649044306363, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.20292475882563005, 'scale': 0.5964017778286717}. Best is trial 0 with value: 8.812790548518024e-05.
[I 2025-01-13 15:05:40,582] Trial 3 finished with value: 1.5014158805115585e-09 and parameters: {'factor': 0.2342898475413212, 'self_conf': 2.292707274662256, 'swarm_conf': 2.467336123268766, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.4637678111528166, 'scale': 1.6061075648284615}. Best is trial 3 with value: 1.5014158805115585e-09.
[I 2025-01-13 15:05:42,240] Trial 4 finished with value: 12.66124712541074 and parameters: {'factor': 0.4425723709786371, 'self_conf': 2.6497340696786793, 'swarm_conf': 2.8197048994002425, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.7583602222411245, 'scale': 1.920424125162906}. Best is trial 3 with value: 1.5014158805115585e-09.
[I 2025-01-13 15:05:43,874] Trial 5 finished with value: 1.971858338833954e-07 and parameters: {'factor': 0.288698633598371, 'self_conf': 2.4417241369412164, 'swarm_conf': 2.5238834422736103, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.5217536441593416, 'scale': 1.6347416863509279}. Best is trial 3 with value: 1.5014158805115585e-09.
[I 2025-01-13 15:05:45,542] Trial 6 finished with value: 0.008298280859147411 and parameters: {'factor': 0.6351546111529437, 'self_conf': 2.530341186964389, 'swarm_conf': 2.1300915123795234, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.8886472107767978, 'scale': 1.5851565932878524}. Best is trial 3 with value: 1.5014158805115585e-09.
[I 2025-01-13 15:05:47,208] Trial 7 finished with value: 7.2775251959455645 and parameters: {'factor': 0.6097906606022584, 'self_conf': 2.9471125535312375, 'swarm_conf': 2.0439971075337695, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.5642041995259773, 'scale': 0.774258840352656}. Best is trial 3 with value: 1.5014158805115585e-09.
[I 2025-01-13 15:05:48,949] Trial 8 finished with value: 0.24849190099907403 and parameters: {'factor': 0.5348442824597344, 'self_conf': 2.8463057885865, 'swarm_conf': 2.3331712652906953, 'version': 'constriction', 'distribution': 'levy', 'probability': 0.10413221838061569, 'scale': 0.8027720818524978}. Best is trial 3 with value: 1.5014158805115585e-09.
[I 2025-01-13 15:05:50,623] Trial 9 finished with value: 0.3069651713521173 and parameters: {'factor': 0.3385989985983142, 'self_conf': 2.99153028429189, 'swarm_conf': 2.498826237917962, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.6417608231760725, 'scale': 1.9577931918568694}. Best is trial 3 with value: 1.5014158805115585e-09.
[I 2025-01-13 15:05:52,278] Trial 10 finished with value: 4.126284441902757 and parameters: {'factor': 0.8882410917033094, 'self_conf': 2.0064150184745246, 'swarm_conf': 2.6535832123382668, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.3369472614357715, 'scale': 1.441483468695496}. Best is trial 3 with value: 1.5014158805115585e-09.
[I 2025-01-13 15:05:53,951] Trial 11 finished with value: 1.4948930981972808e-11 and parameters: {'factor': 0.1598611692056255, 'self_conf': 2.2663817423665384, 'swarm_conf': 2.4943350810290483, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.39187625998468784, 'scale': 1.626547955529844}. Best is trial 11 with value: 1.4948930981972808e-11.
[I 2025-01-13 15:05:55,641] Trial 12 finished with value: 2.9025670755800093e-12 and parameters: {'factor': 0.14565492176244868, 'self_conf': 2.1806866226279396, 'swarm_conf': 2.426399558795506, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.3531813966846126, 'scale': 1.7106770521287575}. Best is trial 12 with value: 2.9025670755800093e-12.
[I 2025-01-13 15:05:57,318] Trial 13 finished with value: 1.646505154440092e-11 and parameters: {'factor': 0.1010697393133182, 'self_conf': 2.0713790958137857, 'swarm_conf': 2.6296169451873284, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.3557022349941097, 'scale': 1.3616801834698626}. Best is trial 12 with value: 2.9025670755800093e-12.
[I 2025-01-13 15:05:59,030] Trial 14 finished with value: 3.0464519795714295e-13 and parameters: {'factor': 0.12823664329219397, 'self_conf': 2.1921663542467806, 'swarm_conf': 2.351511510427442, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.25144911945234516, 'scale': 1.7495637899187189}. Best is trial 14 with value: 3.0464519795714295e-13.
