Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.5114368946114641, 'self_conf': 2.8903584004228193, 'swarm_conf': 1.6333491491525924, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.3237269837221421, 'scale': 1.7386596656668696}
Mejor rendimiento encontrado:
2.281930822078948e-08

Stderr:
[I 2025-01-13 15:12:58,956] A new study created in memory with name: no-name-83bb8bbf-d8ab-47da-a594-2de5ad93aeb3
[I 2025-01-13 15:13:03,087] Trial 0 finished with value: 18.524265918434786 and parameters: {'factor': 0.3529713460096173, 'self_conf': 2.835543388590631, 'swarm_conf': 2.067635032756187, 'version': 'inertial', 'distribution': 'levy', 'probability': 0.34356537225640416, 'scale': 1.228431228643341}. Best is trial 0 with value: 18.524265918434786.
[I 2025-01-13 15:13:04,759] Trial 1 finished with value: 18.378539201184317 and parameters: {'factor': 0.8800991849528078, 'self_conf': 1.0806694759253475, 'swarm_conf': 1.0647476835104144, 'version': 'constriction', 'distribution': 'levy', 'probability': 0.7164286265794492, 'scale': 1.6856927978387815}. Best is trial 1 with value: 18.378539201184317.
[I 2025-01-13 15:13:06,491] Trial 2 finished with value: 18.36092187788255 and parameters: {'factor': 0.343093092847932, 'self_conf': 2.6779470038041637, 'swarm_conf': 1.6231741433782538, 'version': 'inertial', 'distribution': 'levy', 'probability': 0.6469646212031186, 'scale': 0.5544889104101146}. Best is trial 2 with value: 18.36092187788255.
[I 2025-01-13 15:13:08,183] Trial 3 finished with value: 8.388590195659251 and parameters: {'factor': 0.8295419607794765, 'self_conf': 2.376589655048858, 'swarm_conf': 2.446690320995769, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.7270745160687669, 'scale': 0.11139238760760928}. Best is trial 3 with value: 8.388590195659251.
[I 2025-01-13 15:13:09,915] Trial 4 finished with value: 19.3905900423553 and parameters: {'factor': 0.6949350942156451, 'self_conf': 1.9725839964966358, 'swarm_conf': 2.1397115112576213, 'version': 'inertial', 'distribution': 'levy', 'probability': 0.5106696825293895, 'scale': 0.29916245789649143}. Best is trial 3 with value: 8.388590195659251.
[I 2025-01-13 15:13:11,651] Trial 5 finished with value: 2.281930822078948e-08 and parameters: {'factor': 0.5114368946114641, 'self_conf': 2.8903584004228193, 'swarm_conf': 1.6333491491525924, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.3237269837221421, 'scale': 1.7386596656668696}. Best is trial 5 with value: 2.281930822078948e-08.
[I 2025-01-13 15:13:13,292] Trial 6 finished with value: 19.665141221719015 and parameters: {'factor': 0.9483440527814702, 'self_conf': 1.3700432387715438, 'swarm_conf': 2.392270176900143, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.9301579201040516, 'scale': 0.7344173808833736}. Best is trial 5 with value: 2.281930822078948e-08.
[I 2025-01-13 15:13:14,970] Trial 7 finished with value: 12.024676198966887 and parameters: {'factor': 0.3222433133507243, 'self_conf': 2.753702958450594, 'swarm_conf': 1.972921980467061, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.49461911018835797, 'scale': 1.3605311934258777}. Best is trial 5 with value: 2.281930822078948e-08.
[I 2025-01-13 15:13:16,642] Trial 8 finished with value: 17.915446976615414 and parameters: {'factor': 0.9530074033906553, 'self_conf': 2.17793445468885, 'swarm_conf': 1.4302032866343233, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.6672583071753331, 'scale': 1.6102298595156934}. Best is trial 5 with value: 2.281930822078948e-08.
[I 2025-01-13 15:13:18,366] Trial 9 finished with value: 19.13343764607105 and parameters: {'factor': 0.3319928992819144, 'self_conf': 2.857150810606208, 'swarm_conf': 1.8334585680333217, 'version': 'inertial', 'distribution': 'levy', 'probability': 0.7122200104022639, 'scale': 0.6055477209166011}. Best is trial 5 with value: 2.281930822078948e-08.
[I 2025-01-13 15:13:20,019] Trial 10 finished with value: 16.23096526449617 and parameters: {'factor': 0.10144432158548472, 'self_conf': 1.7305913892166993, 'swarm_conf': 2.90827910835194, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.2536555669811567, 'scale': 1.942377525917867}. Best is trial 5 with value: 2.281930822078948e-08.
[I 2025-01-13 15:13:21,792] Trial 11 finished with value: 4.636337110558827 and parameters: {'factor': 0.6550367984722892, 'self_conf': 2.373712131014356, 'swarm_conf': 2.612198745330907, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.8675067385078734, 'scale': 0.1341755911090474}. Best is trial 5 with value: 2.281930822078948e-08.
[I 2025-01-13 15:13:23,576] Trial 12 finished with value: 4.503548749333472 and parameters: {'factor': 0.5828586947603561, 'self_conf': 2.5014033791600427, 'swarm_conf': 2.9119102594505977, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.9813572055869387, 'scale': 0.9208018545389418}. Best is trial 5 with value: 2.281930822078948e-08.
[I 2025-01-13 15:13:25,357] Trial 13 finished with value: 0.008867816514429805 and parameters: {'factor': 0.5389916963336272, 'self_conf': 2.4962034244517772, 'swarm_conf': 2.965101476940405, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.47460494561515365, 'scale': 0.8589504394814916}. Best is trial 5 with value: 2.281930822078948e-08.
[I 2025-01-13 15:13:27,088] Trial 14 finished with value: 2.56016108757251e-07 and parameters: {'factor': 0.45773018560952855, 'self_conf': 2.975898478255485, 'swarm_conf': 1.354412571626641, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.4188515638166177, 'scale': 1.0201421891643858}. Best is trial 5 with value: 2.281930822078948e-08.
