Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.7914467490412056, 'angle': 16.023558905438794, 'sigma': 0.09642051121211145, 'factor': 0.3980461229105199, 'self_conf': 0.7122981189516797, 'swarm_conf': 0.41354600220014226, 'version': 'inertial', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
3.1267772336331274e-23

Stderr:
[I 2024-11-21 08:17:43,349] A new study created in memory with name: no-name-7f4c7c39-f6e9-47ea-9715-ca33c8d86763
[I 2024-11-21 08:17:45,652] Trial 0 finished with value: 1.027531202739047e-15 and parameters: {'radius': 0.6566458607938844, 'angle': 23.618949408082365, 'sigma': 0.14857194989387154, 'factor': 0.3543311610365537, 'self_conf': 1.8187684940816307, 'swarm_conf': 2.994189772557379, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 0 with value: 1.027531202739047e-15.
[I 2024-11-21 08:17:46,403] Trial 1 finished with value: 4.830416074470477e-05 and parameters: {'radius': 0.6760622616802133, 'angle': 14.227269434961107, 'sigma': 0.21848824661541147, 'factor': 0.03675117501280763, 'self_conf': 0.9849408435261724, 'swarm_conf': 1.9764763013018989, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 1.027531202739047e-15.
[I 2024-11-21 08:17:47,139] Trial 2 finished with value: 3.0229381230651132e-12 and parameters: {'radius': 0.43143069505208875, 'angle': 9.101331283950735, 'sigma': 0.11594873765933866, 'factor': 0.11894502646628574, 'self_conf': 2.5941849632789347, 'swarm_conf': 1.610093458758529, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 1.027531202739047e-15.
[I 2024-11-21 08:17:47,944] Trial 3 finished with value: 6.384265588039364e-18 and parameters: {'radius': 0.5756321277041729, 'angle': 6.757639442520319, 'sigma': 0.0588048770670883, 'factor': 0.2528692288805512, 'self_conf': 1.820914135227245, 'swarm_conf': 0.7404327280724599, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 3 with value: 6.384265588039364e-18.
[I 2024-11-21 08:17:48,695] Trial 4 finished with value: 3.372302437298913e-15 and parameters: {'radius': 0.1619897285812137, 'angle': 2.0849994931493065, 'sigma': 0.04179407429184418, 'factor': 0.08613411565067816, 'self_conf': 2.757816324612051, 'swarm_conf': 2.609574763551616, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 3 with value: 6.384265588039364e-18.
[I 2024-11-21 08:17:49,452] Trial 5 finished with value: 0.011607398492974543 and parameters: {'radius': 0.32224984624229625, 'angle': 5.84687948138694, 'sigma': 0.21430602136971186, 'factor': 0.20529877266263027, 'self_conf': 2.962399236195887, 'swarm_conf': 2.0023486866338778, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 3 with value: 6.384265588039364e-18.
[I 2024-11-21 08:17:50,246] Trial 6 finished with value: 0.00158468000958628 and parameters: {'radius': 0.37084945346877646, 'angle': 22.865200104474834, 'sigma': 0.21960865886743702, 'factor': 0.024208497371583374, 'self_conf': 1.8052495681092429, 'swarm_conf': 0.7813428762142981, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 3 with value: 6.384265588039364e-18.
[I 2024-11-21 08:17:51,036] Trial 7 finished with value: 2.355669303419487e-13 and parameters: {'radius': 0.6105668078577644, 'angle': 6.0910906775205795, 'sigma': 0.2016521661259515, 'factor': 0.139273412491057, 'self_conf': 0.3218966536402084, 'swarm_conf': 1.997623036587362, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 3 with value: 6.384265588039364e-18.
[I 2024-11-21 08:17:51,759] Trial 8 finished with value: 8.881784197001574e-16 and parameters: {'radius': 0.14710651680899992, 'angle': 11.367316572617616, 'sigma': 0.16217388497815136, 'factor': 0.2721402657695975, 'self_conf': 0.2052436532049939, 'swarm_conf': 2.7738924861515026, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 3 with value: 6.384265588039364e-18.
[I 2024-11-21 08:17:52,487] Trial 9 finished with value: 3.5608412456967186e-22 and parameters: {'radius': 0.7820521674591269, 'angle': 4.938698014534214, 'sigma': 0.1281545019008341, 'factor': 0.4953892571504906, 'self_conf': 0.6054684235067767, 'swarm_conf': 0.4781084453402846, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 9 with value: 3.5608412456967186e-22.
[I 2024-11-21 08:17:53,199] Trial 10 finished with value: 2.539551502699381e-18 and parameters: {'radius': 0.8614104716392403, 'angle': 0.39481626570666695, 'sigma': 0.29771933238338494, 'factor': 0.48889371290866507, 'self_conf': 0.9554538310782157, 'swarm_conf': 0.4261686469630481, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 9 with value: 3.5608412456967186e-22.
