Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.34316621870032304, 'self_conf': 2.3228496503732363, 'swarm_conf': 2.8107266599298266, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6290397809245795, 'angle': 22.036932254436593, 'sigma': 0.04655189667691042}
Mejor rendimiento encontrado:
0.0

Stderr:
[I 2025-01-21 23:04:11,291] A new study created in memory with name: no-name-0e6e385b-b86f-4803-beae-65e1da93b497
[I 2025-01-21 23:04:15,301] Trial 0 finished with value: 0.0 and parameters: {'factor': 0.34316621870032304, 'self_conf': 2.3228496503732363, 'swarm_conf': 2.8107266599298266, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6290397809245795, 'angle': 22.036932254436593, 'sigma': 0.04655189667691042}. Best is trial 0 with value: 0.0.
[I 2025-01-21 23:04:16,749] Trial 1 finished with value: 1.825334233061549 and parameters: {'factor': 0.9621857267753772, 'self_conf': 2.740144214324843, 'swarm_conf': 2.6026756207445825, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8747749043976877, 'angle': 24.92688527792413, 'sigma': 0.23753203104720125}. Best is trial 0 with value: 0.0.
[I 2025-01-21 23:04:18,219] Trial 2 finished with value: 0.0 and parameters: {'factor': 0.7069315149580819, 'self_conf': 2.139211314650775, 'swarm_conf': 2.6551690069981166, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7188559691051837, 'angle': 24.651117400484985, 'sigma': 0.20768800984139482}. Best is trial 0 with value: 0.0.
[I 2025-01-21 23:04:19,689] Trial 3 finished with value: 0.3147967290806541 and parameters: {'factor': 0.12495199762367437, 'self_conf': 2.4862784803219697, 'swarm_conf': 2.971192117163459, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5486518037039458, 'angle': 24.121142694909558, 'sigma': 0.2936061105524134}. Best is trial 0 with value: 0.0.
[I 2025-01-21 23:04:21,128] Trial 4 finished with value: 0.0005284886380476916 and parameters: {'factor': 0.5065334699913939, 'self_conf': 2.183570149552092, 'swarm_conf': 2.830556630300967, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7920116578101078, 'angle': 24.61067458151374, 'sigma': 0.22195490912151852}. Best is trial 0 with value: 0.0.
[I 2025-01-21 23:04:22,596] Trial 5 finished with value: 1.689481887723332e-13 and parameters: {'factor': 0.6044675739861393, 'self_conf': 2.8905151016123165, 'swarm_conf': 2.4491906727075525, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.7966867059933413, 'angle': 23.133498098266287, 'sigma': 0.033745933077948084}. Best is trial 0 with value: 0.0.
[I 2025-01-21 23:04:24,065] Trial 6 finished with value: 0.0017401592971147128 and parameters: {'factor': 0.3039498399834142, 'self_conf': 2.891077768536842, 'swarm_conf': 2.669363837251977, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.6780845251961598, 'angle': 22.747831552064774, 'sigma': 0.043987607307717495}. Best is trial 0 with value: 0.0.
[I 2025-01-21 23:04:25,493] Trial 7 finished with value: 1.4391543512459748e-12 and parameters: {'factor': 0.9338882947449182, 'self_conf': 2.395447082704239, 'swarm_conf': 2.5602763255626013, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6925732147678286, 'angle': 21.023416882805243, 'sigma': 0.09015623770281762}. Best is trial 0 with value: 0.0.
[I 2025-01-21 23:04:26,939] Trial 8 finished with value: 0.0 and parameters: {'factor': 0.8099982984694697, 'self_conf': 2.8113585214328127, 'swarm_conf': 2.108740241661664, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5003612555037045, 'angle': 20.56842826978841, 'sigma': 0.04525828444961907}. Best is trial 0 with value: 0.0.
[I 2025-01-21 23:04:28,327] Trial 9 finished with value: 0.0002720605207089666 and parameters: {'factor': 0.4564654584125126, 'self_conf': 2.5627772516299414, 'swarm_conf': 2.3830668019959833, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.5780406873431468, 'angle': 20.392827449637846, 'sigma': 0.1466465195548849}. Best is trial 0 with value: 0.0.
[I 2025-01-21 23:04:29,747] Trial 10 finished with value: 0.0005885382490976865 and parameters: {'factor': 0.28951543666533375, 'self_conf': 2.310809913089093, 'swarm_conf': 2.9747064732176476, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.6141830601497277, 'angle': 21.76197810490012, 'sigma': 0.12477698343410398}. Best is trial 0 with value: 0.0.
[I 2025-01-21 23:04:31,182] Trial 11 finished with value: 0.0 and parameters: {'factor': 0.7348614253668724, 'self_conf': 2.026037111538884, 'swarm_conf': 2.7982666756871315, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7560898225991518, 'angle': 23.572911554555876, 'sigma': 0.19978826713702377}. Best is trial 0 with value: 0.0.
[I 2025-01-21 23:04:32,635] Trial 12 finished with value: 0.0 and parameters: {'factor': 0.6748780472617995, 'self_conf': 2.141876961470705, 'swarm_conf': 2.28315691036357, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6453308574377651, 'angle': 21.995813982016593, 'sigma': 0.17778932884953894}. Best is trial 0 with value: 0.0.
[I 2025-01-21 23:04:34,086] Trial 13 finished with value: 0.0 and parameters: {'factor': 0.37588649352972014, 'self_conf': 2.2625168493430303, 'swarm_conf': 2.7827364192531356, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.743512488352873, 'angle': 21.699860980848054, 'sigma': 0.26441184426752407}. Best is trial 0 with value: 0.0.
[I 2025-01-21 23:04:35,552] Trial 14 finished with value: 0.0 and parameters: {'factor': 0.18329529550442494, 'self_conf': 2.0514173241105667, 'swarm_conf': 2.661825331429923, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6441115178783827, 'angle': 23.6480819593245, 'sigma': 0.1071424674191576}. Best is trial 0 with value: 0.0.
