Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.04969096566537046, 'distribution': 'levy', 'gravity': 0.009979710504533262, 'alpha': 0.09956868962981212, 'beta': 1.539453683691987, 'dt': 1.935104919105281}
Mejor rendimiento encontrado:
0.036521676828347005

Stderr:
[I 2025-01-23 09:29:27,457] A new study created in memory with name: no-name-f03893ab-cca8-419a-b2fa-5ee54a1506bf
[I 2025-01-23 09:29:30,740] Trial 0 finished with value: 0.31771552415687043 and parameters: {'scale': 0.031908299480682974, 'distribution': 'uniform', 'gravity': 0.006162803550185822, 'alpha': 0.022259204251415598, 'beta': 3.4223720774591206, 'dt': 0.5524168235521152}. Best is trial 0 with value: 0.31771552415687043.
[I 2025-01-23 09:29:32,167] Trial 1 finished with value: 0.24624059574806795 and parameters: {'scale': 0.016511913597342408, 'distribution': 'gaussian', 'gravity': 0.0023363413782346533, 'alpha': 0.047642633239034615, 'beta': 3.8098303438927603, 'dt': 0.5080620976935559}. Best is trial 1 with value: 0.24624059574806795.
[I 2025-01-23 09:29:33,576] Trial 2 finished with value: 0.29757417549874465 and parameters: {'scale': 0.08679104301820104, 'distribution': 'gaussian', 'gravity': 0.0022686976356989796, 'alpha': 0.07279127026440167, 'beta': 2.591563964476904, 'dt': 1.1117292149808065}. Best is trial 1 with value: 0.24624059574806795.
[I 2025-01-23 09:29:35,015] Trial 3 finished with value: 0.4255797578167032 and parameters: {'scale': 0.06469290976940059, 'distribution': 'uniform', 'gravity': 0.004908506402819047, 'alpha': 0.08589103209275688, 'beta': 2.7909629709893746, 'dt': 0.5271741808793565}. Best is trial 1 with value: 0.24624059574806795.
[I 2025-01-23 09:29:36,419] Trial 4 finished with value: 0.821711219294394 and parameters: {'scale': 0.08623444444901766, 'distribution': 'gaussian', 'gravity': 0.004863269395060868, 'alpha': 0.05785515832479078, 'beta': 3.308518920592723, 'dt': 1.5499471408044372}. Best is trial 1 with value: 0.24624059574806795.
[I 2025-01-23 09:29:37,880] Trial 5 finished with value: 0.6432974192652169 and parameters: {'scale': 0.08800461615378884, 'distribution': 'levy', 'gravity': 0.006548160472383534, 'alpha': 0.058144446954338035, 'beta': 4.134951149338685, 'dt': 0.5655119305273939}. Best is trial 1 with value: 0.24624059574806795.
[I 2025-01-23 09:29:39,346] Trial 6 finished with value: 0.040601947120680326 and parameters: {'scale': 0.0740435132442817, 'distribution': 'gaussian', 'gravity': 0.0083364831637323, 'alpha': 0.08453546474445155, 'beta': 1.5324771748120574, 'dt': 0.5516932804690855}. Best is trial 6 with value: 0.040601947120680326.
[I 2025-01-23 09:29:40,905] Trial 7 finished with value: 0.08372268270947189 and parameters: {'scale': 0.07210390708485638, 'distribution': 'gaussian', 'gravity': 0.004581526231468593, 'alpha': 0.013294413253888996, 'beta': 2.034634807297855, 'dt': 1.4619589588091038}. Best is trial 6 with value: 0.040601947120680326.
[I 2025-01-23 09:29:42,494] Trial 8 finished with value: 0.44648348728828036 and parameters: {'scale': 0.03866760339926429, 'distribution': 'gaussian', 'gravity': 0.005225643172236231, 'alpha': 0.04264037194924531, 'beta': 3.5439058946379904, 'dt': 0.6566110458936898}. Best is trial 6 with value: 0.040601947120680326.
[I 2025-01-23 09:29:44,009] Trial 9 finished with value: 0.5214466214431814 and parameters: {'scale': 0.08596584891729976, 'distribution': 'uniform', 'gravity': 0.007200383525799541, 'alpha': 0.018962860391029054, 'beta': 2.566909444161867, 'dt': 1.4089339794980682}. Best is trial 6 with value: 0.040601947120680326.
[I 2025-01-23 09:29:45,480] Trial 10 finished with value: 0.04449500086196062 and parameters: {'scale': 0.04999285174250297, 'distribution': 'levy', 'gravity': 0.009628355737115186, 'alpha': 0.09787466304909619, 'beta': 1.6559439132664227, 'dt': 1.913702893772466}. Best is trial 6 with value: 0.040601947120680326.
[I 2025-01-23 09:29:46,938] Trial 11 finished with value: 0.036521676828347005 and parameters: {'scale': 0.04969096566537046, 'distribution': 'levy', 'gravity': 0.009979710504533262, 'alpha': 0.09956868962981212, 'beta': 1.539453683691987, 'dt': 1.935104919105281}. Best is trial 11 with value: 0.036521676828347005.
[I 2025-01-23 09:29:48,444] Trial 12 finished with value: 0.04010953200290504 and parameters: {'scale': 0.05920294514302435, 'distribution': 'levy', 'gravity': 0.009797329982357106, 'alpha': 0.09834109641125018, 'beta': 1.5317485935012007, 'dt': 1.0040313783182244}. Best is trial 11 with value: 0.036521676828347005.
[I 2025-01-23 09:29:49,889] Trial 13 finished with value: 0.22337029464326108 and parameters: {'scale': 0.0531054448841377, 'distribution': 'levy', 'gravity': 0.009804409206627058, 'alpha': 0.0990528370290589, 'beta': 2.0368313885601874, 'dt': 0.9822293210453604}. Best is trial 11 with value: 0.036521676828347005.
[I 2025-01-23 09:29:51,327] Trial 14 finished with value: 0.20300371913920376 and parameters: {'scale': 0.03809230137354046, 'distribution': 'levy', 'gravity': 0.008211026335507332, 'alpha': 0.07683083866814418, 'beta': 2.089385263528769, 'dt': 1.9509153987530825}. Best is trial 11 with value: 0.036521676828347005.
