Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.012640636606838769, 'distribution': 'gaussian', 'gravity': 0.0032700418189004618, 'alpha': 0.005346405305791056, 'beta': 1.559891064980173, 'dt': 0.6152369399489788}
Mejor rendimiento encontrado:
0.03126487523831939

Stderr:
[I 2025-01-23 09:36:39,249] A new study created in memory with name: no-name-ab269da0-0ccb-4f2d-8284-c3a5ce87c4f2
[I 2025-01-23 09:36:42,398] Trial 0 finished with value: 0.03692228230859326 and parameters: {'scale': 0.015067333527703867, 'distribution': 'gaussian', 'gravity': 0.004572890513866286, 'alpha': 0.005027850203352145, 'beta': 1.5246832418442886, 'dt': 0.6250837382011051}. Best is trial 0 with value: 0.03692228230859326.
[I 2025-01-23 09:36:44,047] Trial 1 finished with value: 1.1171461496381767 and parameters: {'scale': 0.019179532801331868, 'distribution': 'gaussian', 'gravity': 0.00924233194325006, 'alpha': 0.011103903851967127, 'beta': 4.142472099968693, 'dt': 1.9022349437667718}. Best is trial 0 with value: 0.03692228230859326.
[I 2025-01-23 09:36:45,671] Trial 2 finished with value: 0.13289436936362817 and parameters: {'scale': 0.05048107649190896, 'distribution': 'uniform', 'gravity': 0.007805500346480252, 'alpha': 0.0048249165775821334, 'beta': 1.6197410901816953, 'dt': 0.8614830162802852}. Best is trial 0 with value: 0.03692228230859326.
[I 2025-01-23 09:36:47,286] Trial 3 finished with value: 0.06654734082799849 and parameters: {'scale': 0.010854830392237912, 'distribution': 'uniform', 'gravity': 0.004542589171989629, 'alpha': 0.0029338944327659865, 'beta': 1.850677873848785, 'dt': 1.379818247733178}. Best is trial 0 with value: 0.03692228230859326.
[I 2025-01-23 09:36:48,893] Trial 4 finished with value: 1.1329783562856959 and parameters: {'scale': 0.08791655501812168, 'distribution': 'gaussian', 'gravity': 0.008694627999284377, 'alpha': 0.013736418634472065, 'beta': 3.268954203097465, 'dt': 1.7093336780465023}. Best is trial 0 with value: 0.03692228230859326.
[I 2025-01-23 09:36:50,507] Trial 5 finished with value: 0.5883191019937839 and parameters: {'scale': 0.07360864080143927, 'distribution': 'uniform', 'gravity': 0.009272504307543946, 'alpha': 0.018921311862722695, 'beta': 2.436556433631113, 'dt': 1.5006711892745548}. Best is trial 0 with value: 0.03692228230859326.
[I 2025-01-23 09:36:52,102] Trial 6 finished with value: 0.9406402008730114 and parameters: {'scale': 0.01157962396270056, 'distribution': 'gaussian', 'gravity': 0.009927646631472723, 'alpha': 0.013952153158785324, 'beta': 4.20431815073241, 'dt': 1.9755929186180823}. Best is trial 0 with value: 0.03692228230859326.
[I 2025-01-23 09:36:53,701] Trial 7 finished with value: 0.09360155610163229 and parameters: {'scale': 0.03927425758490923, 'distribution': 'gaussian', 'gravity': 0.009491498304831585, 'alpha': 0.010363531379832168, 'beta': 1.6166493005318623, 'dt': 1.649538838626999}. Best is trial 0 with value: 0.03692228230859326.
[I 2025-01-23 09:36:55,285] Trial 8 finished with value: 1.0111302609484587 and parameters: {'scale': 0.03866200381461229, 'distribution': 'uniform', 'gravity': 0.0061222340790721376, 'alpha': 0.004918030793791095, 'beta': 4.368654764741178, 'dt': 1.5144682889633636}. Best is trial 0 with value: 0.03692228230859326.
[I 2025-01-23 09:36:56,868] Trial 9 finished with value: 0.761003314617626 and parameters: {'scale': 0.06684847216147852, 'distribution': 'uniform', 'gravity': 0.0011215372707630046, 'alpha': 0.017551151816982438, 'beta': 4.129445299453115, 'dt': 1.550858365103944}. Best is trial 0 with value: 0.03692228230859326.
[I 2025-01-23 09:36:58,455] Trial 10 finished with value: 0.6633229945615337 and parameters: {'scale': 0.09925784430629722, 'distribution': 'gaussian', 'gravity': 0.003274567179110785, 'alpha': 0.007608672572339251, 'beta': 3.0609666746870468, 'dt': 0.5141791807487269}. Best is trial 0 with value: 0.03692228230859326.
[I 2025-01-23 09:37:00,050] Trial 11 finished with value: 0.2301106335524951 and parameters: {'scale': 0.024710866732848395, 'distribution': 'uniform', 'gravity': 0.004477962976563047, 'alpha': 0.0014464422253814887, 'beta': 2.2154473903256937, 'dt': 1.1282172446674754}. Best is trial 0 with value: 0.03692228230859326.
[I 2025-01-23 09:37:01,634] Trial 12 finished with value: 0.1378174262962688 and parameters: {'scale': 0.03023238251000377, 'distribution': 'uniform', 'gravity': 0.005495410828299035, 'alpha': 0.0019737902494625257, 'beta': 2.170213502195487, 'dt': 1.0445747560958054}. Best is trial 0 with value: 0.03692228230859326.
[I 2025-01-23 09:37:03,230] Trial 13 finished with value: 0.03126487523831939 and parameters: {'scale': 0.012640636606838769, 'distribution': 'gaussian', 'gravity': 0.0032700418189004618, 'alpha': 0.005346405305791056, 'beta': 1.559891064980173, 'dt': 0.6152369399489788}. Best is trial 13 with value: 0.03126487523831939.
[I 2025-01-23 09:37:04,814] Trial 14 finished with value: 0.4552939911313069 and parameters: {'scale': 0.04948975336581744, 'distribution': 'gaussian', 'gravity': 0.0022314450552746784, 'alpha': 0.0067347954389491305, 'beta': 2.666493155936684, 'dt': 0.5263156857963417}. Best is trial 13 with value: 0.03126487523831939.
