Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.4180393565758949, 'angle': 25, 'sigma': 0.3044470463928741, 'factor': 0.3066589294185214, 'self_conf': 2, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
1.2047197181646017e-106

Stderr:
[I 2024-11-21 11:23:37,397] A new study created in memory with name: no-name-6501f4e4-7b7d-40b2-b15d-05fb7ca5f5e9
[I 2024-11-21 11:23:41,214] Trial 0 finished with value: 1.2966700660279576e-17 and parameters: {'radius': 0.8698943240612768, 'angle': 20, 'sigma': 0.3172790684824399, 'factor': 0.7940116142144629, 'self_conf': 2, 'swarm_conf': 2, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 1.2966700660279576e-17.
[I 2024-11-21 11:23:42,274] Trial 1 finished with value: 3.905903984823716e-89 and parameters: {'radius': 0.3493843825913008, 'angle': 25, 'sigma': 0.23130670617448607, 'factor': 0.476470550093301, 'self_conf': 2, 'swarm_conf': 2, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 3.905903984823716e-89.
[I 2024-11-21 11:23:43,293] Trial 2 finished with value: 1.0496076529426837e-44 and parameters: {'radius': 0.32850554654329844, 'angle': 20, 'sigma': 0.1705507704206477, 'factor': 0.8888286743184795, 'self_conf': 2, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 3.905903984823716e-89.
[I 2024-11-21 11:23:44,401] Trial 3 finished with value: 0.0005799450134432317 and parameters: {'radius': 0.14233127261247064, 'angle': 20, 'sigma': 0.030139541693291815, 'factor': 0.5137846430175967, 'self_conf': 3, 'swarm_conf': 2, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 3.905903984823716e-89.
[I 2024-11-21 11:23:45,418] Trial 4 finished with value: 2.415056115333965e-12 and parameters: {'radius': 0.8454832550058062, 'angle': 25, 'sigma': 0.21297552278410845, 'factor': 0.6266423843667516, 'self_conf': 3, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 3.905903984823716e-89.
[I 2024-11-21 11:23:46,476] Trial 5 finished with value: 1.2092224162972362e-27 and parameters: {'radius': 0.2688236967936632, 'angle': 25, 'sigma': 0.06516947205455449, 'factor': 0.7353925566335745, 'self_conf': 3, 'swarm_conf': 2, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 3.905903984823716e-89.
[I 2024-11-21 11:23:47,558] Trial 6 finished with value: 8.655579889731139e-22 and parameters: {'radius': 0.6032314110618421, 'angle': 25, 'sigma': 0.46764250808080665, 'factor': 0.6172271100329079, 'self_conf': 3, 'swarm_conf': 2, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 3.905903984823716e-89.
[I 2024-11-21 11:23:48,574] Trial 7 finished with value: 1.5135013283993175e-10 and parameters: {'radius': 0.6604424390391694, 'angle': 25, 'sigma': 0.23520509132694004, 'factor': 0.6430234255694525, 'self_conf': 2, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 3.905903984823716e-89.
[I 2024-11-21 11:23:49,598] Trial 8 finished with value: 5.744533630630635e-13 and parameters: {'radius': 0.6433328611447696, 'angle': 25, 'sigma': 0.1756349428931261, 'factor': 0.6002940586633114, 'self_conf': 3, 'swarm_conf': 2, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 3.905903984823716e-89.
[I 2024-11-21 11:23:50,613] Trial 9 finished with value: 1.4893769294609062e-44 and parameters: {'radius': 0.13363018249039077, 'angle': 20, 'sigma': 0.4069910356801253, 'factor': 0.8106521966397464, 'self_conf': 3, 'swarm_conf': 2, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 3.905903984823716e-89.
[I 2024-11-21 11:23:51,641] Trial 10 finished with value: 1.4924673393965358e-102 and parameters: {'radius': 0.424785899699182, 'angle': 25, 'sigma': 0.35081278321732334, 'factor': 0.3148473491212743, 'self_conf': 2, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 10 with value: 1.4924673393965358e-102.
[I 2024-11-21 11:23:52,664] Trial 11 finished with value: 1.2047197181646017e-106 and parameters: {'radius': 0.4180393565758949, 'angle': 25, 'sigma': 0.3044470463928741, 'factor': 0.3066589294185214, 'self_conf': 2, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 11 with value: 1.2047197181646017e-106.
[I 2024-11-21 11:23:53,651] Trial 12 finished with value: 4.343902716980981e-85 and parameters: {'radius': 0.48938488481564174, 'angle': 25, 'sigma': 0.3360085544082366, 'factor': 0.325459986721353, 'self_conf': 2, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 11 with value: 1.2047197181646017e-106.
[I 2024-11-21 11:23:54,643] Trial 13 finished with value: 2.6854329829298398e-95 and parameters: {'radius': 0.45663344183598686, 'angle': 25, 'sigma': 0.3457790095354727, 'factor': 0.3093076754927403, 'self_conf': 2, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 11 with value: 1.2047197181646017e-106.
[I 2024-11-21 11:23:55,667] Trial 14 finished with value: 2.3908718072159044e-79 and parameters: {'radius': 0.4174449273538938, 'angle': 25, 'sigma': 0.480276334776381, 'factor': 0.4161929405715936, 'self_conf': 2, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 11 with value: 1.2047197181646017e-106.
