Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.5901184183341445, 'self_conf': 2.6, 'swarm_conf': 2.5, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.826289787291214, 'angle': 25, 'sigma': 0.10754341897275338}
Mejor rendimiento encontrado:
1.0093384241876526e-24

Stderr:
[I 2024-11-21 11:27:57,930] A new study created in memory with name: no-name-c305bee0-a231-43e3-9ece-3d8056f80eee
[I 2024-11-21 11:28:00,992] Trial 0 finished with value: 0.0001245148933220025 and parameters: {'factor': 0.665872980555337, 'self_conf': 2.6, 'swarm_conf': 2.5, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.32217083442640676, 'angle': 25, 'sigma': 0.20676368816627413}. Best is trial 0 with value: 0.0001245148933220025.
[I 2024-11-21 11:28:01,917] Trial 1 finished with value: 4.046851443767222e-08 and parameters: {'factor': 0.4292741272864582, 'self_conf': 2.5, 'swarm_conf': 2.5, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.5618704451063684, 'angle': 25, 'sigma': 0.24735954751970937}. Best is trial 1 with value: 4.046851443767222e-08.
[I 2024-11-21 11:28:02,715] Trial 2 finished with value: 480.0940531134966 and parameters: {'factor': 0.37926319061213115, 'self_conf': 2.5, 'swarm_conf': 2.6, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.2160756530912029, 'angle': 25, 'sigma': 0.14821439708059206}. Best is trial 1 with value: 4.046851443767222e-08.
[I 2024-11-21 11:28:03,424] Trial 3 finished with value: 5.648734000108447e-13 and parameters: {'factor': 0.19192324436454805, 'self_conf': 2.7, 'swarm_conf': 2.5, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7620407339491753, 'angle': 25, 'sigma': 0.17980150277569207}. Best is trial 3 with value: 5.648734000108447e-13.
[I 2024-11-21 11:28:04,138] Trial 4 finished with value: 3.3468850669687625e-14 and parameters: {'factor': 0.7048084057308799, 'self_conf': 2.7, 'swarm_conf': 2.7, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.497887306759755, 'angle': 25, 'sigma': 0.2772472831482422}. Best is trial 4 with value: 3.3468850669687625e-14.
[I 2024-11-21 11:28:04,847] Trial 5 finished with value: 1.0093384241876526e-24 and parameters: {'factor': 0.5901184183341445, 'self_conf': 2.6, 'swarm_conf': 2.5, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.826289787291214, 'angle': 25, 'sigma': 0.10754341897275338}. Best is trial 5 with value: 1.0093384241876526e-24.
[I 2024-11-21 11:28:05,549] Trial 6 finished with value: 8.455308871221748e-05 and parameters: {'factor': 0.650762525960114, 'self_conf': 2.7, 'swarm_conf': 2.5, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6197050231991383, 'angle': 25, 'sigma': 0.14789950189837814}. Best is trial 5 with value: 1.0093384241876526e-24.
[I 2024-11-21 11:28:06,256] Trial 7 finished with value: 5.502747847776953e-08 and parameters: {'factor': 0.88167163818872, 'self_conf': 2.5, 'swarm_conf': 2.7, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6835739732751471, 'angle': 25, 'sigma': 0.13167894305346403}. Best is trial 5 with value: 1.0093384241876526e-24.
[I 2024-11-21 11:28:06,987] Trial 8 finished with value: 1.3482425759464335e-05 and parameters: {'factor': 0.35840087639950585, 'self_conf': 2.6, 'swarm_conf': 2.7, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.42918748944363583, 'angle': 25, 'sigma': 0.11403528035051105}. Best is trial 5 with value: 1.0093384241876526e-24.
[I 2024-11-21 11:28:07,784] Trial 9 finished with value: 6.419124710421232e-05 and parameters: {'factor': 0.554833522917715, 'self_conf': 2.7, 'swarm_conf': 2.7, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.48172185847541305, 'angle': 25, 'sigma': 0.11172792304198345}. Best is trial 5 with value: 1.0093384241876526e-24.
[I 2024-11-21 11:28:08,549] Trial 10 finished with value: 1.8594351435364623e-16 and parameters: {'factor': 0.8788196735872817, 'self_conf': 2.6, 'swarm_conf': 2.6, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8780655798862378, 'angle': 25, 'sigma': 0.20262308724733152}. Best is trial 5 with value: 1.0093384241876526e-24.
[I 2024-11-21 11:28:09,286] Trial 11 finished with value: 2.0059026270132723e-14 and parameters: {'factor': 0.8915504714266607, 'self_conf': 2.6, 'swarm_conf': 2.6, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8911552430354631, 'angle': 25, 'sigma': 0.21714234470942986}. Best is trial 5 with value: 1.0093384241876526e-24.
[I 2024-11-21 11:28:10,228] Trial 12 finished with value: 2.8627214567710924e-15 and parameters: {'factor': 0.7632374797434716, 'self_conf': 2.6, 'swarm_conf': 2.6, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.88090757701209, 'angle': 25, 'sigma': 0.18113819411486698}. Best is trial 5 with value: 1.0093384241876526e-24.
[I 2024-11-21 11:28:11,002] Trial 13 finished with value: 4.792357909759444e-23 and parameters: {'factor': 0.5348763988801635, 'self_conf': 2.6, 'swarm_conf': 2.6, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7848254003239287, 'angle': 25, 'sigma': 0.24127087751342138}. Best is trial 5 with value: 1.0093384241876526e-24.
[I 2024-11-21 11:28:11,742] Trial 14 finished with value: 3.692851566696398e-23 and parameters: {'factor': 0.5577041782665071, 'self_conf': 2.6, 'swarm_conf': 2.5, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7399736011801232, 'angle': 25, 'sigma': 0.29143277823810043}. Best is trial 5 with value: 1.0093384241876526e-24.
