Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.5384700783312015, 'self_conf': 2.477398542339028, 'swarm_conf': 2.004308479932476, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6208829572204041, 'angle': 13.60785680948365, 'sigma': 0.19780007656525256}
Mejor rendimiento encontrado:
8.10169317581031e-06

Stderr:
[I 2025-01-21 20:11:04,229] A new study created in memory with name: no-name-eb4e223e-7667-42a8-8ac3-a745ff88fdc1
[I 2025-01-21 20:11:07,095] Trial 0 finished with value: 0.5394084588973661 and parameters: {'factor': 0.5168242818860862, 'self_conf': 2.2897761917522477, 'swarm_conf': 2.075753828647458, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5892577598653016, 'angle': 13.888316542813369, 'sigma': 0.1821555094856806}. Best is trial 0 with value: 0.5394084588973661.
[I 2025-01-21 20:11:08,116] Trial 1 finished with value: 94250.06352815285 and parameters: {'factor': 0.9109993570530206, 'self_conf': 2.2565046835243034, 'swarm_conf': 2.5432271608681556, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.6976487772634474, 'angle': 16.878182883739054, 'sigma': 0.19411086377918874}. Best is trial 0 with value: 0.5394084588973661.
[I 2025-01-21 20:11:09,152] Trial 2 finished with value: 348711.2338710901 and parameters: {'factor': 0.7654964265363776, 'self_conf': 2.055685090956262, 'swarm_conf': 2.334856149675238, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8534524632432425, 'angle': 17.705026558689525, 'sigma': 0.14844943463810248}. Best is trial 0 with value: 0.5394084588973661.
[I 2025-01-21 20:11:10,258] Trial 3 finished with value: 82818.65603162354 and parameters: {'factor': 0.5425933688333571, 'self_conf': 2.1026815382252546, 'swarm_conf': 2.5354243474967166, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8133269168481743, 'angle': 18.4531613838072, 'sigma': 0.14899266175075881}. Best is trial 0 with value: 0.5394084588973661.
[I 2025-01-21 20:11:11,297] Trial 4 finished with value: 13922.829789977115 and parameters: {'factor': 0.7228343258734464, 'self_conf': 2.222410932798193, 'swarm_conf': 2.4919893994287956, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.5771245909132899, 'angle': 22.522409442524186, 'sigma': 0.13862048975793773}. Best is trial 0 with value: 0.5394084588973661.
[I 2025-01-21 20:11:12,353] Trial 5 finished with value: 2.854998728308143e-05 and parameters: {'factor': 0.5241493518020587, 'self_conf': 2.431709226696128, 'swarm_conf': 2.139878633276422, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8625703907566744, 'angle': 17.454622212012552, 'sigma': 0.08958780560764398}. Best is trial 5 with value: 2.854998728308143e-05.
[I 2025-01-21 20:11:13,395] Trial 6 finished with value: 0.702850791409133 and parameters: {'factor': 0.5853943132163176, 'self_conf': 2.562314550361595, 'swarm_conf': 2.332459908999758, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7735689155349033, 'angle': 18.00100878491766, 'sigma': 0.05385305820738076}. Best is trial 5 with value: 2.854998728308143e-05.
[I 2025-01-21 20:11:14,440] Trial 7 finished with value: 14.481335107392617 and parameters: {'factor': 0.8167784460175165, 'self_conf': 2.2957849128757486, 'swarm_conf': 2.8856056516840427, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6699540770252401, 'angle': 20.04808092527434, 'sigma': 0.11355969095791195}. Best is trial 5 with value: 2.854998728308143e-05.
[I 2025-01-21 20:11:15,466] Trial 8 finished with value: 375448.16634590586 and parameters: {'factor': 0.7580772968490672, 'self_conf': 2.7531873992265767, 'swarm_conf': 2.1501459657244233, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8801421873380516, 'angle': 11.775134798860492, 'sigma': 0.09541413105110239}. Best is trial 5 with value: 2.854998728308143e-05.
[I 2025-01-21 20:11:16,478] Trial 9 finished with value: 304483.94139290834 and parameters: {'factor': 0.9288248220241571, 'self_conf': 2.0812043928118613, 'swarm_conf': 2.0417977140243115, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8093702974434575, 'angle': 21.03608026363349, 'sigma': 0.1438011622770426}. Best is trial 5 with value: 2.854998728308143e-05.
[I 2025-01-21 20:11:17,599] Trial 10 finished with value: 4287.127530528941 and parameters: {'factor': 0.6421930437783919, 'self_conf': 2.9236209242071727, 'swarm_conf': 2.9887945132487124, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5188544455343582, 'angle': 24.40832364599493, 'sigma': 0.06831408206189962}. Best is trial 5 with value: 2.854998728308143e-05.
[I 2025-01-21 20:11:18,654] Trial 11 finished with value: 8.10169317581031e-06 and parameters: {'factor': 0.5384700783312015, 'self_conf': 2.477398542339028, 'swarm_conf': 2.004308479932476, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6208829572204041, 'angle': 13.60785680948365, 'sigma': 0.19780007656525256}. Best is trial 11 with value: 8.10169317581031e-06.
