Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.5379951507174552, 'self_conf': 2.2066179675032926, 'swarm_conf': 2.908707377861898, 'version': 'constriction', 'distribution': 'gaussian', 'gravity': 1.0209118706642564, 'alpha': 0.013626684817614582}
Mejor rendimiento encontrado:
2.345671293981622e-08

Stderr:
[I 2025-01-21 20:35:08,613] A new study created in memory with name: no-name-1715d904-549a-4a28-b3aa-e6a52caf5241
[I 2025-01-21 20:35:11,908] Trial 0 finished with value: 736.0280681640807 and parameters: {'factor': 0.8328998510818394, 'self_conf': 2.459634962338051, 'swarm_conf': 2.657537214522559, 'version': 'inertial', 'distribution': 'levy', 'gravity': 1.2072265709456524, 'alpha': 0.027263274610612447}. Best is trial 0 with value: 736.0280681640807.
[I 2025-01-21 20:35:13,414] Trial 1 finished with value: 1570.5747068845908 and parameters: {'factor': 0.9818998789133335, 'self_conf': 2.277550839424195, 'swarm_conf': 2.623304232297977, 'version': 'inertial', 'distribution': 'levy', 'gravity': 1.1657121102607053, 'alpha': 0.026526688027625242}. Best is trial 0 with value: 736.0280681640807.
[I 2025-01-21 20:35:14,950] Trial 2 finished with value: 0.020655887114818878 and parameters: {'factor': 0.6944377714059655, 'self_conf': 2.6283511465324843, 'swarm_conf': 2.013199004877042, 'version': 'constriction', 'distribution': 'levy', 'gravity': 1.2409672416563493, 'alpha': 0.02679591908747376}. Best is trial 2 with value: 0.020655887114818878.
[I 2025-01-21 20:35:16,467] Trial 3 finished with value: 623.6324702018035 and parameters: {'factor': 0.8278111011950535, 'self_conf': 2.458978677209759, 'swarm_conf': 2.9462333881729297, 'version': 'inertial', 'distribution': 'gaussian', 'gravity': 1.448949943050835, 'alpha': 0.018523147079823964}. Best is trial 2 with value: 0.020655887114818878.
[I 2025-01-21 20:35:18,019] Trial 4 finished with value: 64.89268673581303 and parameters: {'factor': 0.5071254080971875, 'self_conf': 2.542626113312816, 'swarm_conf': 2.549852755725754, 'version': 'inertial', 'distribution': 'levy', 'gravity': 0.8151835434985399, 'alpha': 0.011295971951295568}. Best is trial 2 with value: 0.020655887114818878.
[I 2025-01-21 20:35:19,559] Trial 5 finished with value: 317.99916424774426 and parameters: {'factor': 0.711029528815342, 'self_conf': 2.988665741364067, 'swarm_conf': 2.8231096462491605, 'version': 'inertial', 'distribution': 'gaussian', 'gravity': 0.7764478964589074, 'alpha': 0.013234479866335904}. Best is trial 2 with value: 0.020655887114818878.
[I 2025-01-21 20:35:21,089] Trial 6 finished with value: 2.345671293981622e-08 and parameters: {'factor': 0.5379951507174552, 'self_conf': 2.2066179675032926, 'swarm_conf': 2.908707377861898, 'version': 'constriction', 'distribution': 'gaussian', 'gravity': 1.0209118706642564, 'alpha': 0.013626684817614582}. Best is trial 6 with value: 2.345671293981622e-08.
[I 2025-01-21 20:35:22,616] Trial 7 finished with value: 1973.2314774458 and parameters: {'factor': 0.9786505732263329, 'self_conf': 2.795796363654733, 'swarm_conf': 2.983919474667945, 'version': 'inertial', 'distribution': 'gaussian', 'gravity': 1.0684524942632223, 'alpha': 0.015511639487158405}. Best is trial 6 with value: 2.345671293981622e-08.
[I 2025-01-21 20:35:24,147] Trial 8 finished with value: 493.08411843555746 and parameters: {'factor': 0.5241137514706771, 'self_conf': 2.3860842445416686, 'swarm_conf': 2.351811854622601, 'version': 'constriction', 'distribution': 'uniform', 'gravity': 1.0290159833237547, 'alpha': 0.023798974834565896}. Best is trial 6 with value: 2.345671293981622e-08.
[I 2025-01-21 20:35:25,700] Trial 9 finished with value: 0.009348225401268295 and parameters: {'factor': 0.8396818903987403, 'self_conf': 2.648240132550648, 'swarm_conf': 2.53681409274393, 'version': 'constriction', 'distribution': 'levy', 'gravity': 0.6592222010556382, 'alpha': 0.024837637550726}. Best is trial 6 with value: 2.345671293981622e-08.
[I 2025-01-21 20:35:27,238] Trial 10 finished with value: 621.8802521169058 and parameters: {'factor': 0.6422617944093818, 'self_conf': 2.0826338271215006, 'swarm_conf': 2.305352834243737, 'version': 'constriction', 'distribution': 'uniform', 'gravity': 0.5130826666711147, 'alpha': 0.020258784651019462}. Best is trial 6 with value: 2.345671293981622e-08.
[I 2025-01-21 20:35:28,785] Trial 11 finished with value: 0.017597813982449657 and parameters: {'factor': 0.8479094083902363, 'self_conf': 2.058761418997165, 'swarm_conf': 2.7482289358909897, 'version': 'constriction', 'distribution': 'gaussian', 'gravity': 0.8065031145685889, 'alpha': 0.02226465868258211}. Best is trial 6 with value: 2.345671293981622e-08.
[I 2025-01-21 20:35:30,337] Trial 12 finished with value: 0.001508625725000726 and parameters: {'factor': 0.6016144814538134, 'self_conf': 2.7321589985716854, 'swarm_conf': 2.3640987871163075, 'version': 'constriction', 'distribution': 'levy', 'gravity': 0.5058273956967387, 'alpha': 0.016534588700684697}. Best is trial 6 with value: 2.345671293981622e-08.
[I 2025-01-21 20:35:31,876] Trial 13 finished with value: 2.530889501130069e-05 and parameters: {'factor': 0.5957302529063492, 'self_conf': 2.209479327227479, 'swarm_conf': 2.341842201632529, 'version': 'constriction', 'distribution': 'gaussian', 'gravity': 0.9219658895152925, 'alpha': 0.016354805512043106}. Best is trial 6 with value: 2.345671293981622e-08.
[I 2025-01-21 20:35:33,434] Trial 14 finished with value: 0.00020888743746645905 and parameters: {'factor': 0.574101380351348, 'self_conf': 2.2477359716947727, 'swarm_conf': 2.1085213715441093, 'version': 'constriction', 'distribution': 'gaussian', 'gravity': 0.9375138891401602, 'alpha': 0.014302497755021926}. Best is trial 6 with value: 2.345671293981622e-08.
